Review Title|Review Date|Review Score|Review Text
ays ago|Great Food!|5|The food was excellent! We had a great experience celebrating a friends birthday. We were one of a few tables occupied and while the service was good, I wouldn't say our particular server was outstanding. We would certainly go back!
ays ago|Good but not great|3|Decor is very interesting and nice, but aside from that all else was just ok. The tuna was good but nothing special, the swordfish was mediocre, and the truffle ravioli with turnips atop was heavy and strange. The only great dish was the calamari app. Our waiter was a bit weird and he seemed impatient to get us to order quickly and give our check at the end of the meal. Overall we all thought that the restaurant is very over rated given RI Monthly's Best awards. Too many other great places to go in Providence.
ays ago|Fantastic food, large portions, great  p...|5|Fantastic food, large portions, great presentation, wonderful ambiance
ays ago|CAV never disappoints. We highly recomme...|5|CAV never disappoints. We highly recommend CAV for a married couple's night out. Bravo!
February 25, 2016|Always feels special|5|The service, food, and ambience are always stellar. Always one of my top picks.
February 21, 2016|Great food|5|Food was excellent . Atmosphere was wonderful as was service.
February 21, 2016|Amazing..just amazing!!|5|My husband and I were happy from the moment we entered. This has a wonderful vibe..and service..and food...and everything..we will be back.
February 20, 2016|Another great evening at CAV|5|Always love this place, and my companions do, as well.
February 20, 2016|One of the finest restaurants I've been ...|5|One of the finest restaurants I've been to. The atmosphere is unique and the staff friendly and the food was outstanding.
February 20, 2016|Our favorite place but avoid the lobster bisque|5|We took our out-of-town guests here because the food and atmosphere are wonderful. The only item that was universally disliked was the lobster bisque. If you love rich bisque with a savory sherry taste, you will not like this bisque. Variations can sometimes open one's palate to a delightful discovery. This is not the case with CAV's lobster bisque. It is almost guaranteed to disappoint.
February 20, 2016|meh.|2|The chowder tasts like Snows. The searfed tuna was tough as shark skin.
February 15, 2016|Wonderful food, creative; fun, avant-gar...|5|Wonderful food, creative; fun, avant-garde atmosphere and décor, attentive service.
February 14, 2016|Amazing find|5|Took my girlfriend here for Valentine's day and she was blown away. We are both adventurous people with a love to travel , and we felt very comfortable surrounded by the amazing cultural art pieces from around the world displayed on the walls, as well as the brilliant ethnic antiques and artifacts. It wasn't gimmicky either. The atmosphere was elegantly designed. The host and waiter both had different accents which added to the experience. Can't wait to go back!
February 14, 2016|Great, as always|5|Visit after visit CAV always delights. Tucked away off a little park this beautiful little restaurant has a great staff, serves great food, and is a staple in the community. Highly recommended. I last went on Valentine's Day and everything was perfect.
February 14, 2016|Fantastic decor...worth price of admission!|4|However, limited dinner menu, I would go for ambiance, lunch/brunch and probably would think better of overall experience.
February 14, 2016|Christine|5|Beautiful eatery with a very romantic atmosphere with great food and service!!
February 14, 2016|Still one of the best hidden gems!|5|CAV never disappoints! We wanted a romantic place for Valentine's Day, with good food , a place that would not rush us. They had a prix fix menu but we still could order off the regular dinner menu too. Great ambiance, and perfect for a Sunday afternoon. Great for brunches also, and also a great place for small plates and sharing. And the food....always wonderful, fresh and innovative without being over the top.
February 14, 2016|Great experience... Once we got to the table|4|Amazing brunch experience with only one complaint; the host. We arrived before our reservation time of 10am and walked into a well prepared restaurant with smiling servers anxious to begin a busy Valentines Day. Tables were set and polished, and no last minute scrambling like you might expect at opening. Only problem was, the host (manager?) was not there to seat us. We stood for 5+ minutes, and it even concerned the servers who noticed us but were unable to seat us. There must be some rule that servers can't seat tables or something, but if that's the case, the host stand shouldn't be left unattended for more than the 30 seconds it takes to bring guests to their table. Once the gentleman working the front arrived, he brought us to the table. Fortunately, our server watched from afar and saw that the host hadn't sat us with menus, so he brought them with a warm greeting and everything was great once he (Curt) took over. 10 minutes into seating, the same host from earlier came by to confirm the name on our reservation. He must've forgotten to mark us in the computer. Either way, server was great! Prompt, friendly, attentive. Food was excellent, lobster bisque could use some chunks of lobster though. Overall, a great time. Get it together host stand! You're the first impression!
February 13, 2016|Excellent...|5|Favorite place in providence... Plenty of parking and awesome food and service.
February 13, 2016|The ambiance is beautiful and the server...|1|The ambiance is beautiful and the server was delightful. It was a mistake to go on Valentine's Day eve with a packed house and two dining options - pre-fixe and a la carte. After a lengthy wait for our starters, we waited almost 90 minutes for our entree which was lukewarm. No manager ever came over to apologize nor was any peace offering proferred. We didn't bother to stay for dessert and coffee. Huge disappointment after rave reviews by others.
February 13, 2016|What could have been a disaster, turned out okay!|4|This was our first visit to CAV and it was Valentine’s Day weekend – our waiter remarked that it was the busiest he had ever seen the restaurant - So, factoring that into the experience, overall CAV did fairly well. We were seated on time at a quaint table. Water and bread were brought over promptly. Our waiter stopped by, explained the Prix Fixe menu special and said he would be right back to take our drink order. After quite some time, he returned, took our drink order and we ordered the Prix Fixe menu. We ordered a pair of classic cocktails – Negroni and Side Car. After an interminable wait – like almost 15 minutes, the cocktails arrived. Both were completely wrong and were just awful. We told the waiter and he took them away and fortunately they were taken off the bill. Dinner continued on an upswing – food was very good and the wine list was decent with about a twice-retail markup depending on the bottle. Service was always polite and friendly and although we waited quite a long time for the awful cocktails, the pace from that point on was fine. Judging by our experience, the back of the house and wait staff seem fine. The bar, again, from my vantage point needs lots of work. I should have suspected something based on the ample list of “specialty martini’s” at the table… We will return – prices were reasonable and the food, service and wine hit the mark.
February 13, 2016|The duck was outstanding. I recommend tr...|4|The duck was outstanding. I recommend trying the espresso martini as well as the chocolate covered strawberry martini(if they have it)
February 13, 2016|Yum!|5|Love the lobster scrambled eggs on Portuguese sweet bread. Lobster. Need I have said more?
February 12, 2016|The service here was quite good. The atm...|3|The service here was quite good. The atmosphere was a bit overwhelming but to be fair I believe they also sell antiques out of there. The food ranged from..just meh...to not good. We had the coconut shrimp app. And their special ahi seared sliced tuna. The shrimp was OK. Not an ounce of coconut flavor, way too chewy and the sauce was pretty unimpressive. The tuna had good flavor and the aioli sauce was tasty, but I could barely get through the tuna with a knife. It was ridiculously chewy and the texture was off. Now...dinner. I had the duck confit and he had the filet mignon. The duck was well prepared and it was a good quality meat. However... The sauce tasted like I had just swallowed a mouthful of salt. The sweet potato had a wonderful texture but lacked flavor. The cranberry chutney was pretty basic. This was the first time I have been out to a nice restaurant where there pretty much wasn't anything I liked. His filet was also well prepared but incredibly salty as well. Both items were taken back and made again, however it took forever both times and by when we got it back it was less salty. But still kind of sub par. Now....the service was pretty good and the manager and owner did try to make us happy. But overall I will not make the effort to try it again. This should have been a nice romantic out of town treat...but I had better food the next day at a little local joint.
January 31, 2016|My Mom and I traveled from Boston to Pro...|5|My Mom and I traveled from Boston to Providence to see a show at THE PPAC and then spend the night at The Biltmore. I wanted to choose a special place to eat dinner so I browsed through Open Table and decide on CAV Restaurant. From the minute we walked through the door, we knew we were somewhere special. The decor was magical and whimsical. Our table was great and we were greeted by a welcoming waiter. The menu was diverse and creative. We loved our food and cocktails. The service was impeccable. I can't say enough about CAV. It has to be experienced to be believed. A+++
January 31, 2016|Hidden Gem|5|Very eclectic. Unique decor and amazing flavor! Great food combinations on the menu. Went for brunch with picky eaters and they were satisfied too.
January 31, 2016|I had pistachio crushed crab cakes, fabu...|5|I had pistachio crushed crab cakes, fabulous!!
January 30, 2016|Surprisingly slow|3|Extremely slow service on our Sat. Eve reservation for 4. Seemed a problem in the kitchen. The waiter was apologizing and pleasant and comped us extras which was very helpful. It was a bit crowded and noisy but nice atmosphere. Food was very good, although hard to appreciate with the continued waiting.
January 30, 2016|Visited CAV for brunch and we were not d...|5|Visited CAV for brunch and we were not disappointed! Started with Bloody Mary and Mimosa - both excellent. I had the seared salmon over roasted vegetables with a small green salad and it was very tasty. The Lobster Benedict provided a generous amount of lobster, the perfect serving of sauce and the bread (not English muffin) was nicely toasted and crispy.
January 23, 2016|Overall Visit|4|The food was excellent, seating was ok, facility's aroma was poor, service was ok, could of been more appetizers in one dish, was expecting 4 shrimp in one dish. Overall I'd rate CAV 3 1/2 stars out of 5.
January 3, 2016|Ok experience.|3|I was disappointed in the table we were placed at. We were a party of 6 and we were squeezed into a table built for 4 right in front of the bar. We were backed into another table for 4--very awkward. There were plenty of tables near the windows that remained empty during our stay so they could have easily accommodated us. Also, 3 guests ordered latte's. Waiter had to be reminded twice after serving regular coffee to other guests at table. When they finally arrived they were no longer warm. We did advise the waiter of this issue and we did not get charged. He seemed distracted because we had to also keep asking for more water. Perhaps they were understaffed for brunch that Sunday morning following New Years. Food was pretty good. Atmosphere great.
January 1, 2016|Need to check out this hidden gem!|4|My boyfriend and I ate here on New Year's Day evening. We found it slightly difficult to find, it is tucked away in an alley type road but were pleasantly surprised when we walked in. The decor is very artsy and romantic. Dim lights, chandeliers and very interesting artwork and sculptures tucked into wooden bookcases and surrounding shelving. We were seated on a raised platform which only had 2 tables on it, a very nice touch for the romantic time we were wanting. Our server, Jennifer, came over promptly and served us water and gave us ample time to decide on drinks. Their wine list by the glass was very reasonable priced and notable. My boyfriend chose the craft beer flight for $8, which was four 4oz. pours from their offering of tap beer. Served on a wooden board with a tasting card, it was a fun way to try new things. Menu is moderately priced and offers a bit of everything. French influence is apparent but not overbearing as to intimidate those who may not like French food. For an appetizer, my boyfriend chose the New England clam chowder. Thick, creamy, brimming with clams, but a bit too heavy on the onion flavor for my tastes. The crusty, fresh baked baguette bread with it was worth the wait. I chose the duck confit and grilled breast with blood orange compote for my entree. Confit was fall off the bone, served with a sweet potato mash, and a delicious sauce. The breast was served at proper temperature, sliced on a lovely blood orange warm compote. The skin on the breast was undercooked and unpleasant. It needed to be much crispier to be edible. The breast meat was tender and went well with the tart compote. My boyfriend had the wild mushroom risotto. It was a bowl filled with a wild mushroom ragout of sorts with a cone of risotto in the middle. The mushrooms were deliciously woody and chunky. The rice almost seemed to be a side dish for the mushrooms. Not what we expected but pleasantly surprised. No room for dessert, but would return.
December 31, 2015|So over booked we had a 60 minute wait f...|2|So over booked we had a 60 minute wait from our reservation time.
December 30, 2015|Enjoyed our meal and the ambiance.  Will...|4|Enjoyed our meal and the ambiance. Will plan to return for another meal.
December 27, 2015|Great meal in a warm atmosphere!|5|We had a great meal: fresh food and great service. The flavors are great. We had the calamari appetizer, the shrimp and cannelloni meal and a lamb dinner special.
December 24, 2015|Simply terrific|5|Everything about CAV is wonderful. Decor, ambiance, menu, service, FOOD!
December 24, 2015|Christmas eve, so restaurant was very bu...|4|Christmas eve, so restaurant was very busy when we arrived and seating was backed up. It was a bit uncomfortable standing near door as we waited. We were seated about 15-20 minutes after our reservation time, but very much enjoyed our experience. In particular our server was excellent given the busy situation.
December 24, 2015|Disappointing Lunch|3|Used to dine at CAV regularly when I was in college. Loved the atmosphere, service, and the food. This visit I loved the atmosphere. While initially visible, the server was later absent from sight for long periods, including when I wanted to flag him down to let him know that the soup (lobster bisque) was barely warm. The Brie wpappetizer was fine, but the lemon risotto was just okay, missing the delicious flavor I remember from long ago. With so many excellent restaurants in the area, I'm very disappointed I chose CAV after visiting Trinity Rep.
December 23, 2015|Overpriced and forgettable.|2|Honetsly the wine mark up is extreme and the vegetarian food was boring and tasteless. This restaurant is pretty much riding on reputation.
Dined on December 19, 2015|Very attentive, helpful and friendly sta...|5|Very attentive, helpful and friendly staff. Really liked the decor as it didn't have a particular theme but there was a cohesiveness to it that worked really well. Individual areas are kind of sectioned off by nothing more than differences in elevation or a small railing and a doorway with no walls. Very cool effect. The food was outstanding. I highly recommend the wild mushroom risotto. It was so earthy and fragrant that the taste stayed with me long after I left the restaurant. It was a very pleasant experience and the parking situation at night can't be beat. Huge free lot right across the street. I would definitely go back to CAV.
December 18, 2015|Excellent food but order only wine or beer.|4|Our party of four all agreed the food was excellent - I had sushi tuna dinner which was perfectly prepared with sauce to die for. The service was very good; the only gaff was that the waiter forgot to bring my coffee and brought the bill instead - very minor. Wine was excellent and a glass held plenty. Our only whine was that the mixed drinks were mostly ice and had little flavor. I would give CAV 4 stars rather than 5 because of the mixed drinks - no excuse for that. Overall we enjoyed the decor and ambiance, dinner and wine. Would definitely recommend it and we'll go back.
December 12, 2015|Holiday cheer at The CAV|5|We brought our foodie friends to The CAV to celebrate the holidays and we had a fantastic meal. We all cleaned our plates. The server was friendly and knowledgable. I would recommend The CAV anytime you're looking for a fun night with great food and drink!
December 11, 2015|This was amazing!|5|This was amazing!
December 11, 2015|Consistently awesome!|5|This is my 2nd time dining here with my wife, both times were amazing! This most recent time we started with the calamari (very fresh and perfectly cooked), and both of our meals were cooked and seasoned perfectly (Filet Mignon and Braised Lamb Shank). I will definitely be going back
December 11, 2015|Looking forward to our next visit!|5|Charming atmosphere, outstanding food and wonderful service. Varied menu and reasonably priced. Save room for dessert!
November 29, 2015|My son and I went to CAV for Sunday brun...|4|My son and I went to CAV for Sunday brunch around 11:30am. The restaurant was not crowded just yet, but we were waiting at the front entrance for about 4 minutes for a hostess to walk over and greet us. This was quite odd since again the restaurant was not crowded. (Most brunchers show up to CAV around 12:30pm) The only reason I did not give CAV 5 stars was the fact we had to wait for a while to be seated. Once we were seated our waiter was extremely friendly and attended to all of our needs with ease and swiftness. We had the coconut shrimp for an appetizer and it was yummy, just the perfect amount of coconut. For our main course I ordered the scrambled eggs with the Maine lobster and a side of bacon. All were scrumptious! My child ordered the Belgian waffle and raved about how great it tasted. The endless cups of coffee were wonderful as well. You cannot beat the ambiance as the decor makes for a wonderful conversation over your meal. Also, can't beat the free parking in the lot across the street! I cannot wait to go back to CAV and try other things in the menu!
November 28, 2015|Casual but refined dining in Providence|5|"Went to CAV last Saturday with my grown kids and their significant others and had a pleasant and enjoyable evening. At the same time ecletic, easy going and refined atmosphere as if at a ""fancy"" restaurant, but they do it right so that you feel you are at a local neighborhood eatery. Food is excellent and varied, with friendly, courteous and knowledgable waitstaff. We'll be going again!"
November 21, 2015|Amazing find in Providence|5|From the moment I was greeted from the maitre d' I knew I found a hidden gem in Providence. The ambiance is beatiful with funky crystal chandeliers and antique tin mirrors throughout. Service was 5 star along with our meals. We were there on a busy Saturday evening and service was flawless. We found our new special place!!
November 20, 2015|The food was delicious with very rich fl...|5|The food was delicious with very rich flavors.
November 14, 2015|Another wonderful experience|5|Waitress was terrific, food was great. Love the setting and the interesting décor.
November 14, 2015|As Always!|5|"CAV never disappoints. When I asked ""Where should we go?"" I never hesitate to respond, ""Let's go to CAV."" The food and the service and the ambiance always combine to make any visit special."
November 13, 2015|Great Food and Unique Atmosphere!|4|"CAV has a unique decor that makes it cozy, warm, and elegant at the same time. Its red brick walls are decorated with unique antiques and pieces of art, and beautiful glass chandeliers hang from the ceiling. The space is very comfortable and conducive to conversation. Now on to the food. Enjoyed a wonderful poached lobster appetizer and a delicious ravioli stuffed with broccolini in black truffle oil and topped with shavings of sweet turnip. It was a great combination of flavors! My only complaint is that the portion for the ravioli was a bit large for a ""fine dining"" experience. That being said, I still ate the whole thing because it was so delicious. Nevertheless I felt stuffed afterwards and couldn't enjoy what seemed like marvelous desserts."
November 13, 2015|CAV experience!|5|My husband and I enjoyed our evening at the CAV restaurant. Our food was excellent, the atmosphere was enchanting, and the staff was very welcoming. We will definitely return and recommend this rare find to our friends.
November 12, 2015|A little deception...|3|"I had made a reservation on Open table for a 1000 point timeframe. My friends arrived before me, and the host claimed he did not have the reservation. When I arrived, I showed it to him on my phone - his response was ""oh, I did see that"". Also, the restaurant offers a prix fixe menu on the night we were there. They did not offer the menu - had to ask for it. The food was good and ambiance great, but these two incidents make me reluctant to return. There are plenty of other restaurants that are much more customer friendly."
November 7, 2015|The food was excellent. I will definitel...|5|The food was excellent. I will definitely be coming back here.
November 7, 2015|Wonderful as always|4|We took a group of five friends this past Saturday evening. It was the busiest I've ever seen it, but our table was ready. The food was awesome and the service met our expectations. CAV has a very special atmosphere that is better experienced than described. Dine at CAV, you won't regret it.
November 7, 2015|Cool place to go for dinner|4|This was definitely a cool place to go for dinner. The ambiance was eclectic and different. We had a reservation, and were seated right away. The host even pulled out my chair (I love when they do that). The waiter was very knowledgeable about the menu and gave us a ton of information to mull over. I decided to try their scallop dish with lemon risotto, and my boyfriend had their Sautéed Lobster meat over fresh-cut Pappardelle. We are new to New England, and are not used to ordering fresh seafood in restaurants. As we embrace New England we have been trying to order seafood dishes to ease our way in whenever we're confident it will be of high quality. We both enjoyed our dishes very much. I'd love to go back and try their chicken! In addition, they had a substantive wine list, and my boyfriend ordered a very good old fashioned. The tiramisu was delicious as well. For the two of us, we were just under $120 with a healthy tip. The patio looked really nice too, though it was too cold for us to sit out there.
November 1, 2015|"Great service and excellent food 
Our wa..."|5|Great service and excellent food Our waitress Sarah was superb
November 1, 2015|Birthday Brunch|5|We had a group of eight, three generations, two birthdays to celebrate. The staff was welcoming, friendly, and attentive. Many of us had a hard time choosing what to order because of the wonderful offerings. Our vegan had only one menu item open to him; he said it was very good. Perhaps one additional vegan offering would be appreciated. In any case, all of the food was delicious, we were not rushed, and everyone enjoyed the time together over a nice meal.
October 31, 2015|Fanstic Dining Experience at the CAV|5|This restaurant is elegant, unique and the menu is exceptional. The waiters are extremely personable and very knowledgeable about the menu and the wine selection. The Filet Mignon dinner is out of this world. My husband and I have been back 3 weeks in a row for dinner. All in all a fantastic dining experience. I highly recommend the CAV for any occasion.
October 31, 2015|Outstanding dining experience!|5|Highly recommend this establishment for a casual lunch or celebratory dinner. From the mouth watering appetizers to the unique entree specials and the extensive menu of staples, the most fussy eater will be easily satisfied. One would not want to rush their meal in order to take a peek at all of the unusual pieces of art and antiques that adorn the entire restaurant - which truly makes this dining experience outstanding!!
October 30, 2015|"""hidden away from downtown"""|5|Fabulous, magnificently presented and most exquisite dining for New England. The lamb shank was very tender & juicy. The Sophia Salad for 2 was a generous portion, enough for 3 to 4! We didn't have to wait, the wait staff guided us to an area above the main floor and gave us a choice of tables which made us feel as though we were 'royalty'. Elegant, yet rustic atmosphere which made us feel as though we were in the middle of Europe........without leaving New England. The service was just ideal and again, the food was extraordinary.
October 24, 2015|The food was amazing as usual. Though wh...|4|The food was amazing as usual. Though while the service was good there were small tweaks to be made to make it really exceptional.
October 24, 2015|Dinner was delicious|5|The duck was wonderful, wines and cocktails were great and the service was good. A little noisy but in a pleasant way.
October 24, 2015|great place to go with friends|5|We have been to the CAV many times and continue to enjoy the atmosphere and food. We have recommended it to many of our friends. Sylvia is a wonderful inspiration to all who go there!
October 23, 2015|Great as always|5|CAV has been consistently good for years, and our most recent visit was no exception. Food was excellent, specialty cocktails were tasty and interesting, and the ambiance at CAV is a great combination of cozy/romantic/artsy/fun.
October 23, 2015|I have been to CAV on numerous occasions...|5|I have been to CAV on numerous occasions and always have an outstanding meal.
October 21, 2015|A Celebration|4|My wife and I shared the Bruschetta and it was delicious and just enough for the two of us. My wife ordered the Scallop and Shrimp dish and found it to me too salty to eat. The waiter graciously replaced the entrée with a less salty version. I selected the swordfish special. I also found it to be more salty than I would have liked, but I did not send it back. We both felt that the portion size was perfect for us. We are looking forward to trying Brunch!
October 18, 2015|Had to wait more than 30 minutes despite...|3|Had to wait more than 30 minutes despite reservations.
October 18, 2015|Just ok for a Sunday brunch!|3|We dined there on Sunday 10/21 at 10:30 am as a party of 6. Very noisy and crowded, slow food service as a result. Restaurant staff very attentive overall, given how busy the restaurant was. Restaurant cancelled via email our OpenTable reservation the night before without explanation and I had to call the next morning before arriving to get us reinstated (kudos to staff member, Jason, for doing so!). Manager at the hostess desk was not very pleasant overall to deal with when we first checked in and did not follow-up as promised to reinstate the OT dining points; I had to follow-up directly with OT to resolve this problem, which was done promptly and seamlessly. Meal portions were good-sized except for the salmon salad--the salmon, while cooked perfectly and delicious, was disappointingly tiny in size.
October 17, 2015|My mussels were a bit spicy and very ver...|3|My mussels were a bit spicy and very very congested and unorganized when we first walked in the door
October 17, 2015|The lamb sham was one the best in Provid...|5|The lamb sham was one the best in Providence.
October 16, 2015|Best of Providence|5|The Cav is fantastic. The service was phenomenal. The food was outstanding. And the decor was SO Cool. There management was great, too. We had reservations for 7:15, and were stuck in traffic. A quick phone call and they were able to seat us at 8:00. This has become my favorite restaurant in Providence, and there are so many great ones in that city, too...
October 10, 2015|This place gets everything just right|5|I'm not sure how long this place has been around, but I wish I had known about it sooner. Everything about the dinner was just about perfect, from the interesting decor (mostly African statuary and old crystal chandeliers) to the nonsense-free but extremely attentive service, to the delicious and artfully plated food itself. And to top it off, quite reasonably priced. A very very satisfying experience.
October 8, 2015|Lovely birthday evening....|4|I surprised my spouse with dinner here, for his birthday, having driven up from Newport. We ordered from the prix fixe menu, which was well priced: he had steak tips with roasted vegetables and I tilapia with a stunning red onion jam. Both were perfectly cooked, although his beef proved to be a little tough. Accompanying salads before and raspberry sorbet (I think it was actually sherbet) after were tasty but small and uninspired. We both loved the outlandish and eclectic decor, and the restaurant's tucked-away, almost secret location delighted us on this first visit. Loved the free parking, too. The service was excellent. I would order a la carte next time. Strangely, the only reservation available was at 6pm, far earlier than I'd hoped, but there were many tables available throughout our dinner hour (on a mid-October Thursday). The service was so swift (though not at all rushed) that we were back in the car by seven. We left a little chagrined that we hadn't drawn out the evening longer.
October 3, 2015|Top notch service|4|Top notch service
October 3, 2015|Not your typical dinner, eclectic & fun|5|From our first foot in the door till we left, we had great customer service. The atmosphere is so different, due to their eclectic antique decor. We had lobster bisque - sweet & savory served piping hot & delicious, lamb shank, fall off the bone goodness, seared scallops with lemon risotto, every bite was heaven. Our server was great and all the staff worked well together. Highly recommend!
October 3, 2015|Not a experience|2|We picked CAV because it seemed like the perfect place for a raw and chilly night. And it was. The martinis were great, wine was good, but when it came to the food, so-so is about all I can say. The vegetables might have been good if they were warm. But they weren't. The crackers with the brie appentizer looked like they were just taken from a box and put on the plate without care. The meat was very fatty and while I realize that adds flavor, there was a lot and finding the actual meat was a challenge. That said, it was tasty, but lukewarm. It would be hardto recommend the restaurant.
September 26, 2015|Little hidden gem.|5|This restaurant is tucked away in what looks like an old mill building. The interior has a great ambiance and soft candle lighting. Very romantic and cozy. There are a lot of antiques and various light fixtures which give this restaurant an old world vibe. My husband and I went there on his birthday for a romantic evening and it did not disappoint. Our waiter was also very attentive and knowledgeable about the menu.
