Review Title|Review Date|Review Score|Review Text
ays ago|busy night|4|service was not as good as usual, our server had many busy tables. restaurant was busy but waiting over 30 mins and then having to ask for bread for the table disappointing. food was excellent
ays ago|Love this restaurant!|5|Great restaurant with lovely atmosphere. Our waiter was perfect! Although I can't remember his name now. Food is wonderful and portions are generous.
February 20, 2016|"""Scrumptious""!!"|4|Everything about our dinner was just perfect! The food, service & atmosphere could not have been better. We'll definitely be coming back.
February 19, 2016|Service top notch.  Sommelier fantastic.|4|Service top notch. Sommelier fantastic.
February 15, 2016|Everything was spot on, great food, grea...|5|Everything was spot on, great food, great atmosphere and service. It was our first time and we hope to go back for another date night in the future.
February 14, 2016|Amazing|5|Probably the best meal I've had in Providence, and not the most expensive (although also not cheap). Would highly recommend!!
February 14, 2016|By far the best! Service and food is exq...|5|By far the best! Service and food is exquisite! They never disappoint!!
February 14, 2016|It was a fabulous experience as always. ...|5|It was a fabulous experience as always. My fiancé and I enjoy dinner here quite frequently and they never disappoint. Service is impeccable and the food is always delicious and perfectly prepared. We are from RI but we would recommend cafe nuovo to all but especially out of towners who are looking for an enjoyable dinner and evening out.
February 13, 2016|The food and service was amazing! Would ...|5|The food and service was amazing! Would recommend everyone to try it out!
February 13, 2016|After 4 years up in Providence visiting ...|5|After 4 years up in Providence visiting my son at school this is the first time I have tried Cafe Nuovo it is outstanding. The menu has a wide choice of dishes along with its beautiful presentation the food amazing and an absolute must to go to. I will be back again very soon. The wait staff is friendly and efficient and has a notable wine list
February 13, 2016|The Valentines Filet special was delicio...|4|The Valentines Filet special was delicious.
February 13, 2016|High quality meal. Great valet service o...|4|High quality meal. Great valet service on extremely cold night.
February 13, 2016|Great Restaurant|5|Top 3 restaurants that we have been to. Excellent taste!
February 11, 2016|Never Disapoints|5|Have been here multiple times, mostly for business dinners. This was a special night out with SO. Had an amazing dinner. It was a cold night and Café Nuovo definitely warmed us up. The wine selection was it's usual excellent as was the food. Will continue to come back.
February 6, 2016|Everything was perfect.  We love this re...|5|Everything was perfect. We love this restaurant for friends and family. We hope it is around for ever. Would love to have dinner outside during a WaterFire night.
January 21, 2016|Nice for business lunch|4|Lovely lunch environment. Not too crowded or noisy but still with a good energy. Ordered the special salmon and it was good but nothing special.
January 16, 2016|Fabulous|5|Café Nuovo is the best restaurant I've been to in a long time. The service was excellent and the food was outstanding. The food presentation was as fabulous as the taste. This is certainly a restaurant I will visit again.
January 15, 2016|Awesome time, great service.|5|will highly recommend to our friends, great food, service and atmosphere cant wait to go back
January 12, 2016|The best overall|5|It's the best full service restaurant bar none in down city. They actually truly care about the whole experience from greeting to exit. No other place does this in PVD.
January 9, 2016|A special occasion place|5|We had our wedding reception here and celebrated my wife's birthday. Our server was incredibly helpful tailoring a gluten & lactose free menu. The lump crab, shrimp, clam appetizers were delicious. Our filet mignon entrees were perfectly cooked and served with wonderful sides. Saturday was busy with three deep at the bar. But the buzz never interfered with the meal or the service.
January 9, 2016|We always go to Cafe Nuovo for special o...|4|We always go to Cafe Nuovo for special occasions, birthdays, etc. Love this place and have been going for years. Menu and specials are always delicious. Using some local seafood and farm items is nice as well.
January 8, 2016|I really liked the appetizers but not th...|3|I really liked the appetizers but not the entrees which I found expensive and not so good. The ambiance was fine and the waiters quite nice. The view is great, but I think the restaurant is overpriced.
January 6, 2016|Always a great meal.|5|Ive been numerous times and every time, it's always perfect.
December 31, 2015|New Year's Eve and Birthday Celebration|5|We spend our New Year's Eve at Café Nuovo every year. The food is amazing as well as the service. There is an extensive wine list. We had our 14 and 11 year old with us and the kitchen prepared chicken fingers and fries for them. The restaurant is beautifully decorated and has a great view of the city. There is a $15 per person surcharge on NYE for the 9:30 seating which includes the noise makers and hats and DJ. In the past there has been a champagne toast. There was no toast this year.
December 31, 2015|Gift card user|5|Restaurant was very nice and service and food were great. My only complaint was that we were seated close to five college students. Need I say more.
December 31, 2015|Absolute Pristine Dining|5|My husband took me here for our 5th wedding anniversary it was absolutely perfect! All the way from them taking us to our table which overlooked the Providence River...to the food and the service...I cant say better things about our waiter, I believe his name was Rob, who knew exactly how to do such a great presentation of the food and what it entailed before we even ordered it. The noise level was perfect ...considering it was New Years Eve, I was able to enjoy a nice conversation with my husband over our wonderful meal and glasses of wine..and the dessert...oh my what a wonderful dessert it was. Everything was perfect! Atmosphere, food, service..down to valet who had our car nice and warm and toasty for us. I cant wait to go back here again...this time in the summer time so we can sit outside.
December 28, 2015|Christmas celebration|5|Wonderful meal, our waiter was outstanding, very attentive but not pushy
December 26, 2015|Beautiful Food and View|5|We were shown to a lovely table overlooking Providence all lit up for the holiday season. The restaurant was softly decorated in silver and white, the table was perfectly positioned. The server was excellent in recommending wines to accompany our veal and lobster. The entrees were gorgeously presented and we ended with coffee. A wonderful evening with valet parking.
December 24, 2015|One of our favorites|4|Wonderful restaurant for special family meals. Our first time having lunch at the restaurant and it's a winner. Only complaint was the fish was slightly bland and the service a tad slow (odd, given that it was much less busy than when we've had dinner there).
December 23, 2015|Excellent in every way.|5|We thoroughly enjoyed our evening at Cafe Nuovo. The food was beautifully presented, delicious and plentiful. Our server was very professional and knowledgable about the menu, including the selection of wine and craft beers. The pace of the dinner was pleasant too. We look forward to returning soon.
December 2, 2015|What's going on here?|1|This is a nice location, perfectly attractive dining room. It was half empty and I can see why. We sat at about 12:30 and waited for a waiter, then had to correct drink orders, waited an hour for our lunches. Food was heavy, unattractivly presented. Desserts lovely but too too. Finally done at 3:00. Never again.
December 1, 2015|Phenomenal service, food and the holiday...|5|Phenomenal service, food and the holiday decor was very classy and sophisticated.
November 28, 2015|Delicious meals,  every time!|5|Delicious meals, every time!
November 23, 2015|Awesome|5|The food ambiance waitstaff was amazing. Our waiter was exceptional. The desert was yumm.
