Review Title|Review Date|Review Score|Review Text
ays ago|We booked a table at Camille's based on ...|5|We booked a table at Camille's based on a quick internet search. We were looking for a nice Italian restaurant in a convenient part of town. Camille's was all that and so much more. The ambiance, service and food make Camille's a destination restaurant. Don't miss it!
February 25, 2016|Ambience is perfect for a private conver...|5|Ambience is perfect for a private conversation.
February 19, 2016|A place to Dine!|5|This restaurant is certainly a dining experience. The staff all around made us feel special and treated us as such. The food is incredible!!
February 18, 2016|oldie but goodie|5|"We have gone to Camille's a few times over the past 20 years and have never been disappointed. The service is always outstanding. The wait staff is very attentive but not ""in your face"". The decor is beautiful and males you feel like you are in a very special place. The food could not be better. This time I ordered the lasagna which was quite ample in quantity and absolutely delicious, made with Camille's own home-made pasta sheets. My husband had the filet mignon which was cooked exactly as he ordered it and was tender and tasty. My friend had a seafood special that she said was the best of its kind she had ever eaten. The dinner was pricey but well worth it."
February 15, 2016|I enjoyed the scallops on saffron risott...|4|I enjoyed the scallops on saffron risotto with a gladd of champagne. And the rice ball/goat cheese app special was tasty too!
February 14, 2016|Great!|5|Went here for Valentine's Day 2016 with my husband. I had the lobster ravioli which was red heart shaped pasta and he had the filet mignon and they were both great. It is a bit pricey but very worth it for the quality and the romance. The server was always checking on us and so polite. The only reason for the 4 star ambiance is the tables are all right side by side so you are sitting next to strangers and have to talk over them. If you can handle that it is an awesome place to be.
February 14, 2016|Great food and atmosphere|5|Dined there for Valentine's day. What a great meal. Food and service was both outstanding. Its a perfect place for special occasions and celebration or just a nice night out. Moderate to high to price range, but worth every penny. You must go and try it for yourself.
February 13, 2016|Historic gem in Providence|5|Stunning service. Great food. Lucky to get a reservation. A bit too packed for me, but it was a wonderful dining experience.
February 12, 2016|Special Evening - Special Place|5|My wife and I dined here celebrating Valentine's Day. We have been here several times and tried many different dishes. Never a disappointment. The food was superb, the service fantastic and the evening was special! Cannot recommend this restaurant any higher - simply the best food in Providence and the service is just as remarkable.
February 12, 2016|Exceptional evening|5|Food and service was excellent, our server was professional and courteous. I would recommend Camille's for a romantic evening
February 11, 2016|Good old fashion food|4|Nice place, way of cooking is little old fashioned. Big portions, lots of oil ans salt. Overall nice expirience .
February 5, 2016|Awesome|5|Very nice place. Entertainment was fantastic. Food was very good. Waitstaff was top notch.
