Review Title|Review Date|Review Score|Review Text
ays ago|First time, won't be last!|5|"Dined for the first time with my wife Saturday night. Capriccio is an interesting place. Growing up across the river in Seekonk, it has always been a legendary place imbued with a certain mystique that made it almost unapproachable. In the 25 years or so that we've been going out to dinner on Federal Hill or around Providence, it never even occurred to me to go there for some reason. Decided to try it for her birthday and SOOO glad we did. The veal I had was paper thin and delicious. Her chicken was amazing. The soft mozzarella appetizer special was melt in your mouth. Portions were not huge, but the quality was wonderful. Our server wasn't the most polished server in the world but it all just added to the ambiance. It was a total throw back to how I picture Providence in the '80's. The menu is diverse which we appreciated since many of the high quality local restaurants seem to have much more limited options. Perhaps most surprising was the price. I was expecting to be bowled over by how expensive it would be and, instead, it was completely commensurate with other high quality local establishments. Not ""cheap"" by any means, but very very reasonable for the quality and location. Loved it. Will definitely be back, probably frequently. Only regret is that we waited so long to try it."
February 20, 2016|VERY NICE DINNING|4|GREAT RESTAURANT SERVICE ON TOP OF THE GAME ONLY DISAPPOINTMENT WAS THAT WE ORDERED A MEAL TO BE COOKED BY OUR TABLE AND IT WAS COOKED AWAY SO IT WAS VERY HARD TO SEE. EVEN THOUGH TABLES ARE TIGHT IT SEEMED OUR MEAL WAS THE ONLY ONE NOT COOKED BY THE TABLE. STILL WOULD RECOMMEND THE RESTAURANT AS IT HAS GREAT SERVICE AND GREAT FOOD .
February 19, 2016|Anniversary tradition|5|Our favorite anniversary celebration restaurant. We are never disappointed!
February 19, 2016|Nice restaurant for a special occasion!|4|The food was great, but a little pricey. Pretty large menu. Great restaurant for a special occasion. Very romantic atmosphere. The service was only okay, but I have dined here before with no problem. I think it was just a fluke. Would definitely recommend!
February 15, 2016|Gino was fabulous, as usual!|5|Gino was fabulous, as usual!
February 14, 2016|Great romantic table next to the firepla...|5|Great romantic table next to the fireplace. The food was great and the service.
February 14, 2016|The Scent of an Italian meal|5|My wife and I spent Valentine's Day at Capriccio's. It was our first time at this fabulous restaurant and we were not disappointed. There are many good Italian restaurants in the Providence area but Capriccio's is arguably one of the best. My wife had saltimbocca alla Vincenzo and I had lobster cardinal. To be honest, I have never seen my wife eat so much and the lobster was succulent and the cream sauce was very light and flavourful. We shared the chocolate mousse as a dessert and had a couple of drinks each. Total price $116. But the experience was priceless. We are definitely coming back in the near future, even though we live an hour away.
February 13, 2016|Sadly Disappointed|2|"We were so excited to try this restaurant for Valentine's Day after hearing how beautiful and romantic it is, and how good the food is. Unfortunately, our experience did not match up with those reviews. We were never greeted when we walked in, our champagne was not ONCE poured for us after it was opened, our appetizers took an hour, our dinner came out an hour after that, our ""tableside"" flambe was instead done three tables over behind a pole, the ice cream that we ordered with it came out after we were already done, and our server never ONCE asked how our food was. If not for the ambiance of the restaurant, I would have said our Vday dinner was ruined. Thankfully the interior kept us distracted enough to get us through our letdown, 3 hour meal."
February 13, 2016|Capriccio is one of my favorite restaurants, but|4|Capriccio is one of my favorite restaurants, but this night everyone seemed extra busy and not on their A-game. I love the Steak Diane, but it was undercooked for my liking. I like mine well. I saw red when I cut it. I ate half of it (around the edges) and wanted to take the rest home since it is a large piece. The waiter had it wrapped and said he would send it to my car. I asked how he knew what car was mine, he said they are good at guessing that. Well, my half steak, which is worth about $20.00 since the steak goes for almost $40.00, was not in my car when we left. They technically owe me a steak dinner!
February 13, 2016|2/13/16|5|I had never been to Capriccio's before and my wife and I were thoroughly satisfied! Waitstaff, Maitre' D, Flambe' gentleman, and management were all attentive and made sure we had a super time!
