Review Title|Review Date|Review Score|Review Text
ays ago|Lovely evening|5|Wonderful dinner, great ambiance and feel. Fantastic cocktails, great service. Would go again and again!
February 20, 2016|Usually if a waiter is new, the seasoned...|3|Usually if a waiter is new, the seasoned waitstaff would work alongside to ensure proper service. We had to ask for the specials and were told of just one. Later on we heard there were several including a tuna dish my wife would have ordered. When I questioned why the appetizer was taking so long, the waiter stated we did not order one. He eventually realized he wrote it at the bottom of his notes. Our drinks were also weak. Dinner was on the expensive side for what we received. Probably will not be back....
February 20, 2016|another great meal and time spent her th...|5|another great meal and time spent her this past Saturday for dinner (2/20/16) Service was better then the last time and the evening went fast. Management is constantly checking on the service and food. Everything has to A1 Ed Grossman Narragansett
February 19, 2016|Fantastic food.  Great place for a date ...|5|Fantastic food. Great place for a date or a time with good friends. Staff is wonderful. Can't wait to go back
February 16, 2016|It's the little things that count (or don't)|3|We went to Circe for dinner before a show at PPAC. We made a reservation for 5 pm so we would have plenty of time for a 7 pm curtain. Per Open table, they had valet parking only Wed - Sat, so as we were there on a Tuesday, we parked in the lot next door, which is only open until 9, so we had to repark for the show. As it happened, after we parked in the lot, it turned out they do offer valet on Tuesday! We were seated immediately at an odd shaped table in the front. There were four of us, so it was somewhat awkward as two people were along the banquet and the other two were on opposite ends of the rectangle. It made conversation a little difficult. A waiter came over relatively quickly, then went to get water and give us time to decide on the wine. I guess he forgot about us, because eventually the maitre d' came with water and took our drink order. When our waiter finally came back, we asked if they had any special additions to the menu. He offered to check with the kitchen. Once our food was ordered and received, it was delicious, but the service remained spotty. We had to rely on the Maitre D' for more drinks and water, and eventually to ask for the check. He assured us they would hold our car at the valet through the show. When we explained about the valet/garage dilemma, he said Tuesday Valet was a relatively new thing. We went to the show, opened the program and one of the very first pages was an ad for 10% off your meal at Circe with your show tickets! Just saying, it would have been nice if the Maitre D' had mentioned that during our conversation about getting to the show on time....
February 16, 2016|So glad I found you, Circe!|5|Valet parking on a torrential rain and windy night=perfect. Five minutes to the theater=perfect. Greeting and seating=perfect. Waitstaff attentive and helpful=perfect. Food exceptional=perfect. On a first time visit to Circe I was so happy that I found you on the internet and through Open Table. I have singing your praises to all I know. We had small plates. Each one was memorable. In particular I highly recommend the Maine lobster risotto with avacado ice cream. I also recommend the bomster scallop ceviche. Tucked away on lower Weybosset Street slightly opposite The Arcade, this is definitely a hidden gem. I will certainly return.
February 14, 2016|Valentines day dining|4|We went here for Valentines. I had the wild boar bolognese, it was good but not great. The bomster scallop ceviche as an appetizer was also good, maybe very good. My wife had the braised short rib, which was excellent. The service was good, it was busy so waiting and patience is understanding. The waiter did not ask if my wife wanted to take home her remaining portion though, which was substantial. She was disappointed with that. But, still, overall it was good to very good. I will try this place again. The braised short rib's made me re-think this place as we were leaving. and I liked the menu, it was interesting and thoughtful.
February 14, 2016|special V day dinner|5|Hubby took me out for V - day , it was perfect ! Items are large serving size , you wont leave hungry . Deserts are pretty good too.
February 14, 2016|Nice evening in Providence|4|"My wife and I found the menu to be rewarding in many ways. As this was Valentine's Day, I was glad to see that there was not a prix fixe menu, designed for the holiday. I order frutti dimari at many of the restaurants where we dine and Circe did not disappoint at all. I enjoyed not only the wonderful selection in the dish but also in its unique presentation. I found both the waitstaff and the management to be attentive without being overbearing. I also liked the fact that the host assisted when necessary in serving dishes and refreshing drinks. Oftentimes, there is a great divide between the two parts of the restaurant in this respect. My wife and I sat in the open area, second-floor, which was nice and warm on an extremely cold evening. Circe's knowledge of ""potions and herbs"" will definitely bring us back."
February 13, 2016|The only thing that was annoying was tha...|4|The only thing that was annoying was that it took over 10 minutes for a server to come to our table after we were seated. I didn't expect that from this restaurant, as we have dined her before.
