Review Title|Review Date|Review Score|Review Text
ays ago|Top notch dining|5|We eat at Flemings about once a month. Always a pleasure to eat there. Service is always wonderful as is the food. The couple times we have had an issue it as been handled just as you would expect when you are paying this amount for a level of high quality food and service. Matt Barnes is hands down the best server I have ever encountered. He remembers who you are, what your preference is as far as food and drinks, even others in your party that have been with you one visit. Matt makes every penny we spend worth it.
February 20, 2016|Outstanding experience all around!|5|My wife and I have been to Flemings Providence before and thoroughly enjoyed our dining experience. The service, food, drinks and vibe was perfect and made fir a great evening for our dear friends birthday celebration. The service from Jeff our waiter and attention and pleasnt greeting from Manny the Manager contribued to our wonderful time. Flemings in Providence is a must go if your looking for that perfect dining experience.
February 20, 2016|Celebrating double birthdays and the nig...|5|Celebrating double birthdays and the night was great! Calamari, homemade Burrata, Steaks were outstanding selected a variety of ribeye, NY strip, filet with the coffee rub or porcini mushrooms. And the chocolate lava cakes were made to order and outstanding. Service was perfect - just enough when you need it. Loved the bday gift the restaurant gave to the guests of honor very nice touch !!
February 19, 2016|Ask for Matt he is awesome!  Excellent s...|5|Ask for Matt he is awesome! Excellent service! Steak was a little over but the manager took care of us.
February 14, 2016|ran out of steak|1|busy valentines day, ordered after sitting for 30 mins. then 40 mins later i was told they were out of what i ordered. picked what they told me was left. then 30 mins later they told me they were out of that too and that our meal was free. took 2 plus hours to have a meal, was ridiculous. food is good but planning on their part was bad for a holiday weekend.
February 14, 2016|was just ok|2|We arrived early and notified hostess. We were sat 10 minutes later than my reservation, No big deal. This was Valentines Day do I know its busy. We were presented our menus and waiter took our drink order . Place had a strange selection of music playing for a fine dining Restaurant. After deciding what would like for dinner we were told they were out of the Filet .????Really Valentines Day and your out? Also no mashed potatoes ,,wow. I ordered the Prime Rib. ordered it Medium ,it looked as though it was put on the grill. Greyish on the outside with seared ends. The meat itself was medium rare when cut into. Other than that, my wife had the petite Filet which she enjoyed. With all the high end steak houses out there, I doubt Flemings will get my business again
February 14, 2016|Flemings|4|The food was delicious and service was wonderful. The warm bread and cheese spreads are to die for! And our ceasur salads had bacon, awesome. The wine was perfect. The meals and side also delicious. However for the price, the sides shoujld come with the meal. Very expensive restaurant and night out.
February 14, 2016|not as expected|1|My wife and I have gone to Flemings for many years and always go on valentine’s day. This year to our surprise Flemings a steakhouse was out of Ribeye steaks, this is unacceptable in my book. The waiter recommended the craftsman Ribeye which they did have and to our surprise it was horrible and not at all what we expected. This was a disappointing experience and our last time going to Flemings.
February 13, 2016|Service, food & wine were unbelievable! ...|5|Service, food & wine were unbelievable! 5 star all the way! My first time there... We'll be back! Filet mignon & lobster tail!
February 13, 2016|We always have a great meal...|5|We have eaten here many times and always enjoy a great meal. It was notable that on Valentine's weekend, that our service was especially outstanding. Jeremy went above and beyond being a very observant server. Thanks for a great night!
February 12, 2016|Great Steak!  Great Service!|5|The occasion was to celebrate our son's birthday. Upon arrival the hostess was nice but did not make us welcomed at first. Our table was not ready and after standing for a few mintues not sure what was the issue, she stated why we were waiting and apologized. The waiter was great and the manager greeted everyone to make sure the customers experience was to their liking. My children, although teenagers were spoken to and treated the same, which is rare in some restaurants. The food was fantastic and everyone's steak was cooked to perfection.
February 7, 2016|The server totally did not want to be th...|3|The server totally did not want to be there. We felt it. The food was okay, wasn't anything special. The kitchen you can see, but you just see the servers and manager hanging out. Wasn't very comforting. The host staff wasn't very friendly the closer hostess was more friendly then the one we first met.
January 30, 2016|Good meal|4|We have eaten here before and feel as if the service and the quality moderately fell this visit. The steak was not cook to perfection and in fact was a little underdone and the french fries were way over done. The salads were both great and the cheesecake was fantastic. They seem to trying to squeeze as many tables as possible into the space which diminishes from the ambiance.
January 30, 2016|Lovely evening|4|We reserved at Flemings since it was part of the Omni hotel where we were staying and it was very convenient. We were seated immediately upon arrival even though we were a bit early for our reservation. This was our choice as the hostess asked us if we wanted to have a drink at the bar first but we chose not to do so. The restaurant was not really crowded. The service was a little slow but, that being said, our waiter Edgar was very good - very personable and knowledgeable. My husband had mushoom ravioli for his appetizer and loved it! Our entrees were excellent - I had seared ahi and my husband had the bone-in filet. We were both very happy with our choices. The only issue we had was that it took forever for my husband to get his first glass of wine. My mixed drink came and we waited a while for his glass of wine. His appetizer was finished by the time it came. He also ordered another different wine to accompany his dinner but we waited a very long time for that as well. Our waiter did finally come back and tell us that they did not have the wine hubby ordered and that they even went to the sister restaurant on the second floor to check to see if they had it. We appreciated the effort but wish he would have come and told us why it was taking so long. He suggested another similar wine which was brought fairly quickly but my husband was almost done with his dinner by that time. We had reservations for 5:45 and were done at 7:15 - a little longer than I had planned to be at dinner but not a real issue since our tickets to Cabaret were for 8 pm. Still out in plenty of time. When we left, the place was hopping so I guess later dinner reservations would have made it harder for us to catch the show. All in All, we would probably go again!
January 22, 2016|Fantastic pork belly, perfectly cooked s...|5|Fantastic pork belly, perfectly cooked steak, but somewhat bland.
January 22, 2016|Staff extremely attentive.|5|Staff extremely attentive.
