Review Title|Review Date|Review Score|Review Text
ays ago|Had to wait an additional 25 minutes pas...|2|Had to wait an additional 25 minutes past reservation. I think they forgot about us. Seems to be people that they knew were seated first. When we inquired about our table they were a bit put off and sat us at that point. Was our first time there and this didn't start off the visit well. Positives- Valet Staff, waiter was very attentive, decor of place was excellent, view of water place park and Providence was awesome. The cons- the attentiveness and friendliness of check in staff was rather poor. I had expected a bit more from the food. It was okay but was expecting a bit more from this upscale venue. The drinks were very well made and were great. All in all not sure we would return for another visit.
ays ago|Server was great.  Food was not so great.|3|My husband and I wanted to try some different Asian Cuisine, so we ordered Appetizers and Entrees. Typically we'd stick with Sushi or some type of Hibachi, but decided to venture out of the box. Our black bean Clams Appetizer took a while to come out and when it did, the peppers were still crisp and it was very soupy. For the price we paid, it was not worth the money. My husband thought the clams were a bit undercooked. My GS Chicken breading was falling off as I was eating it. There was way too much sauce with it. My husband had the Pad Thai with Beef and the noodles were drenched in oil and again very soggy. The only thing we enjoyed were the Gyoza's. I wish we enjoyed the food because the location is great.
February 19, 2016|Great food, beautiful location|5|This was one of many visits to Jacky's and we have never been disappointed. Excellent quality food, generous servings and great service. Scenic location right on the canal. The valet parking takes away the challenge of parking in downtown Providence and return of our car was prompt and courteous. We were celebrating a special occasion and the loveliness of the settings, linen, flowers, added to that. Thanks!
February 18, 2016|Excellent again!|5|Awesome food, beautiful place, great view, attentive service. We will be back.
February 17, 2016|Mmm... okay but nothing great|3|Everything is ok here, but for the location and the price I would expect something better. I ordered the general tao's chicken breast, but the chicken was definitely not just chicken breast.
February 13, 2016|we have been to jackies north providence...|3|we have been to jackies north providence location and love everything about it so wanted to try downtown. the food is great in both locations but we were a little disappointed with the service at the prov location. also it was freezing in the restaurant that night. I would go again but wont have as high of an expectation
February 13, 2016|Honoring reservations|4|After reserving a spot for 6:45, we unfortunately were not seated until over half-hour later. The bar provides a nice place to wait, but we'd rather have timely seating!
February 13, 2016|Biggest night of my life!|5|I went online to make reservations saturday morning last minute and found a table at 1030 at night. I planned a proposal to my now fiancé . We are not necessarily late nighters and she didn't want to go but I though if I called I would be able to squeeze in earlier. Sure enough when I called the receptionist was incredibly nice and got us a table at 645. Long story short the sushi chefs and our waitress put together an amazing set of plates together for us leading to my proposal and ultimately the most important and greatest night of my life! We have had special experiences at Jackys and I hope that continues.
February 12, 2016|The sushi is absolutely amazing. And, th...|4|The sushi is absolutely amazing. And, the raw oysters were the freshest I've had in a while.
February 6, 2016|service ?|2|my sushi order got screwed up big time waiter did not know the difference between sushi nigiri and sashimi was, so the offer from the management was that the tip was included for a over $ 506.00 bill since we where 11 people, not satisfactory to me who paid the bill, but that was not my first bad experience in a Asian food restaurant.
February 5, 2016|My fiance and I were worried when we wal...|5|My fiance and I were worried when we walked in. There was a large party with many kids waiting to be seated and we wanted to be away form noise since we were celebrating our engagement with another couple. We were seated in a back room that was a lot more quiet than the rest of the restaurant. We had a great table overlooking the river away from a big party with children. We loved it!
February 4, 2016|Great food, great service , great ambien...|5|Great food, great service , great ambience. Always a great experience ! Whether lunch or dinner- it's a 10
January 30, 2016|not worth it|1|Took over an hour to get food. Waitress left off over half of our order and then we had to wait longer. Noisy. Average quality of food.
January 30, 2016|Excellent as usual. Love  this place!|5|Excellent as usual. Love this place!
January 17, 2016|Great food at even greater prices|4|This place had a great ambience, friendly staff, and their prix fix menu was delicious and very sumptuous. would definitely recommend for lunch or dinner! As an added bonus, they have free valet parking after 5pm!!
January 16, 2016|As Always enjoid the ambience and food a...|5|As Always enjoid the ambience and food at Jacky's Wateplce. One of our favorite spots
January 15, 2016|I have been a fan of Jacky's other locat...|5|I have been a fan of Jacky's other locations for years, but this was my first trip to the waterfront location. I have to admit, I was quite impressed. The food was excellent as expected. The service was as good, if not better, than their other locations. What sets the waterfront location apart is the decor and view - both are stunning. I will definitely add Jacky's Waterfront to my short list of favorites in the downtown area.
January 9, 2016|Too costlyand too much food|3|Our server did not tell us that the size of the entrees were meant to share. So we got way too many dishes. We wasted a lot of food and payed too much for what we needed. Our waiter should have guided us. The food was ok. The location was great and so was the ambience. But its really the food that should come first,and it was some what bland.
