Review Title|Review Date|Review Score|Review Text
February 20, 2016|Good food, good service, nice atmosphere|4|Enjoyed our dinner at Nami. The waitress was very helpful and attentive to our special requests. My wife enjoyed her Sushi and I enjoyed the Hibachi Chicken. Prepared very well, and not overpowering. Atmosphere was very nice and we were able to carry on a conversation without having to raise our voices. Not the easiest place to find parking, but not surprising for its location.
February 18, 2016|Love this place!!! Sushi is amazing|5|Love this place!!! Sushi is amazing
February 13, 2016|BEST SUSHI!|5|Best sushi in Rhode Island! Absolutely love the food here.
January 30, 2016|Great Service and food|4|First time at NAMI and the food, wine and service were a great surprise!
January 23, 2016|Great place|5|I had made reservations for my husbands birthday celebration. Due to the snow, we had very few in our group. We loved the service we were provided with. I think only 2 servers were working due to the weather and they were both awesome. They even sang Happy Birthday to my husband even though I insisted that they didn't have to since it was such a sad party. We enjoyed our drinks and meal and very much appreciate the staff for being so accommodating even in poor weather.
January 22, 2016|I went with a friend for Restaurant Week...|4|I went with a friend for Restaurant Week and we were both impressed. A wide variety to choose from on the RW menu. The Devil Roll was delicious and so was the fried cheesecake. I will definitely be back to try items from the regular menu. The service was awesome. Our waiter, Matt, was friendly, attentive, and gave great suggestions. The bartender even came over to make sure that I liked my sake choice.
January 16, 2016|Restaurant week visit|4|We had a great 4 course meal during Restaurant Week that had some unusual menu choices, all of which were very good. The service was friendly and helpful--we appreciated the chance to enjoy a quiet meal -- even with the football game on the bar's tv. The decor is cool and trendy. We will be back there with friends soon.
January 2, 2016|Nami - Not an actual Hibachi restaurant|3|"I googled Hibachi restaurants in PVD and this came up along with Mt. Fuji. Although they have Hibachi listed on the menu, it is not a Hibachi restaurant...this term ""to my friends and I"" implies that there will be a chef preparing the food fresh on a grill while guests are seated around it. This was not the case and we were very disappointed because although they have the grill seating, they currently do not have the ""Hibachi"" chef's???? I made the reservation on line and really should have called to get more information, my bad. The food was good, but again we were disappointed that there was not the ""live entertainment"" that makes the whole Hibachi experience so much fun!"
December 31, 2015|Great place|5|Went out for dinner on New Year's Eve. Everything was wonderful. Our server was very attentive and the food was delicious.
November 7, 2015|Great Sushi|4|The sushi was delicious and was plated beautifully! Our server was very attentive and the atmosphere was very nice.
October 29, 2015|Cool trendy place|4|Appetizing pretty food in a chic ambience. Have been twice and food and service were consistently good.
September 4, 2015|Nice surprise !|4|"Was in the mood for sushi while visiting Providence and was told by locals that this was the place to go. Honestly, wasn't expecting much, especially as the restaurant is touted as being a ""sushi and Japanese Steak house."" These combo places are usually just plain bad. So, imagine our surprise when we discovered that Nami had creativity innovation and great U.S. Style (cool combo rolls) sushi. Really loved the steamed pork sliders on the appetizer list too. Will definitely return the next time I am in town 😎"
August 29, 2015|Great dining but singer too loud|3|The service was great and the food was delicious. Lamb chops are my favorite and they were prepared to perfection. Appetizers delicious and plentiful. Especially enjoyed the calamari. My partner had sushi and it was prepared attractively and very good. The only criticism is that the diva singing was way too loud and lessened our experience.
February 14, 2015|Valentines Day|5|Our meal and our server were both fantastic. We went on Valentines day with a reservation. We arrived a few minutes early but were seated immediately. The server was very knowledgeable and was able to recommend a few specials based on things we told him we liked and didn't. In addition to a few things on the normal menu, we did order some specials and everything was absolutely delicious. I would go back any time!
