Review Title|Review Date|Review Score|Review Text
ays ago|Great Italian on The Hill|5|There's a lot of good Italian on the hill but these folks were great. Reservations on a tough night were well accommodated. Food was great. Annie, our server was a true pro. Super service without that over the top pushiness. Overall a great experience.
ays ago|"Perfect atmosphere and  good food.
I hav..."|5|Perfect atmosphere and good food. I have been going for years and have never been disappointed
ays ago|Gluten-free Godsend!!!!|5|This was my first time here and will definitely not be my last! We were warmly welcomed upon arrivaland taken to our table quickly. The man and woman at the front were incredibly nice. Our server was also great - she explained some of the gluten-free options for me, brought (AMAZING) gluten-free rolls and was overall very helpful. Our meals were great and the GF cheesecake was, as well. Definitely recommended!
February 25, 2016|Very nice ambience - great food and service.|5|The wine, food and service were excellent. Great recommendation from a local.
February 19, 2016|Our experience at Pano Vino was exceptional.|5|We had a phenomenal meal. The wine list was outstanding and staff has experience with all the wines on the extensive list. This restaurant is definitely a keeper!
February 19, 2016|Consistently Good|5|I always know I will get a good meal at Pane e Vino. The food and the service are consistently excellent. This last weekend, I had a friend visiting who is gluten-free, so I called ahead of time just to make sure they had a gluten free menu. Not only did they have a gluten free menu, but they had it waiting for us at our table when we arrived and the waitress immediately asked if she would like the gluten free roles (which were delicious!). I had the Caesar salad and the pasta with Shrimp. The Caesar was good, but a little lacking in the flavor and needed salt. The pasta was delicious and had plenty of shrimp. Once again, another great experience!
February 17, 2016|My girlfriend and I visited for the firs...|4|My girlfriend and I visited for the first time and loved it, everything from the food to the service, decor , and management. I had the bolognese and she had the gnocchi, both delicious. We also really enjoyed the tiramisu. Our server was attentive and very knowledgable and friendly. The host/manager seemed to really enjoy what he was doing, we will likely be back.
February 14, 2016|Loved it!|5|The food was delectable from start to finish. The service was great, and at a good speed for a sit down dinner. Overall a great Valentines Day experience! This place made a great first impression on my date and I, and I am so happy I found it!
February 14, 2016|Valentine's Day Disappointment|3|I can appreciate that Valentine's Day is one of their busiest nights, but the service was not very good and the food was mediocre. The tables were so close together it felt like you were part of the conversation of the couples to your left and right. I had a bone-in ribeye which was on their specials list and it was a VERY thin steak for $38. It was cooked perfectly, but still disappointed. There are so many great restaurants on Federal Hill that I don't think I'll be going back to this one anytime soon.
February 14, 2016|I've alway hear my coworker rave about t...|4|I've alway hear my coworker rave about this place. After eating there, we were all impressed with the freshness of the ingredients and the taste. Everything we ordered was delicious. We expected our bill to be more but it was a nice surprise that it wasn't. We all agreed we would go back again.
February 14, 2016|Duck and Ravioli dinner was absolutely d...|4|Duck and Ravioli dinner was absolutely delicious!! I'll be going back just for that dish!! on the other hand, my boyfriend's filet had to be recooked 2 differents times...
February 14, 2016|My wife and I have been to Pane e Vino s...|5|My wife and I have been to Pane e Vino several times, and have been happy with each visit. On this most recent visit, it was extremely cold outside, and we had our 6 month old son with us. When we finished our meal, the hostess offered to take our valet ticket and have the valet bring our car up while we got ready to go, so we shouldn't have to wait in the cold with the baby. It was a nice touch that was much appreciated.
February 13, 2016|We've been Smitten!|5|Our second annual visit to this delightful trattoria on Federal Hill was as consistent and delightful in every regard as our first visit, last year. Coming down from Boston annually to the Mardi Gras Ball, warms our souls and bodies in the depths of winter. We brought foodie friends last year and none of us wanted to leave the table! This year's meal and dining experience were equally pleasant. My husband enjoyed his veal dish; my baked halibut was moist, hot and beautifully presented with oven-roasted potatoes and crisp perfectly steamed asparagus. The sauce on each dish complimented the food without drowning or overwhelming it. We shared a lightly dressed Caesar salad; a light apple tart with a firm dollop of intense-flavored gelato provided a sweet finish, paired with strong coffee to boost our long evening of dancing! Additional perk: free valet parking in this bustling restaurant district is a great plus!
February 13, 2016|Not good for couples|5|Not a good place for a couple tables too close for a nice conversation without listening or if you're having one but if you are with a group it's a good place
February 13, 2016|Everything was perfect!|5|Everything was perfect!
February 12, 2016|Reliable|5|Never disappoints whenever in Providence we always try to fit one visit in. Friendly service excellent food
February 11, 2016|A staple for years to come.....|5|"Fantastic Resturant with fine food & many great wines. If your looking for Italian wines, their selection is broad & affordable. I for one, enjoyed the ""Super Tuscan"" selections. Service was top notch as there are plenty of people assisting the waitress. We were brought fresh glasses each time the wine changed. Appetizers were excellent, pork with fig, buratta, meatballs all were very tasty. As for entrees, Fradivablo, veal and seafood Fruti Di Mare were all high quality. Definitely a good choice for dinning with your better half and/or a group. Enjoy!"
February 6, 2016|Highly recommend.|5|This was our 2nd visit to Pane e Vino. A group of guys, we make at least 1 trip per year to Providence to catch a Providence College basketball game. This was the 2nd yr. in a row that we dined at Pane e Vino. They have been very accommodating to our group of 10-12. The food is excellent, top notch. The atmosphere is exactly what we want, more upscale. The prices are very reasonable. A wonderful experience. I have received nothing but positive comments after arranging dinner here.
February 5, 2016|"Really great food and nice ""snowstorm"" a..."|4|"Really great food and nice ""snowstorm"" ambiance. Service was friendly and efficient."
January 27, 2016|No other words to say other than AWESOME!|5|This place is fantastic, the food, service and attention to every detail was the best we've ever had. The quality, taste and delivery of the meal was awesome. The server (Jackie) was outstanding. She was so attentive to every detail and request, no matter how small. Additionally, her personality makes all the difference. She was amazing. No one should leave Federal Hill until they dine at Pane e Vino. We dined on Wednesday, January 27, 2016. This was our second time when visiting Providence and we will always go back. Thank you.
January 20, 2016|Service|3|As usual the food was outstanding however the service was more than lacking. The waitress had way too many tables to service and couldn't keep up. As a result we left there less than satisfied and told the maitre'd the same as we were leaving. It was disappointing because the restaurant has a great menu and the food is always above average.
January 19, 2016|Never disappoints!|5|I have been going there for years and no matter what I order I have not had a bad meal. Consistently delicious dinner .
January 18, 2016|Great gluten free selection with knowled...|5|Great gluten free selection with knowledgeable staff. Service was excellent and energetic. Food was fit for foodies and menu extensive. A great Providence find for a travelling foodie like me.
January 15, 2016|Pane e Vino|3|Restaurant week. Appetizer- beet salad very good, entree- red snapper blah purée under fish no flavor supposed to com with olives - I very small piece. Dessert - tiramisu too much whipped cream. Server young but trying very hard to do everything right- really nice young man!
January 10, 2016|A Special Dining Experience|5|This was our first time for dining at Pane e Vino and it was a most enriching experience. The food was oh-so-good - expertly prepared and presented. Salads were fresh and crispy with a nice light dressing. The main courses made you realize that whomever prepared it knew what he/she was doing in the kitchen - most satisfying. And, our server, Kevin was so courteous, cheerful and attentive - we hope to return to Pane e Vino and find him there once again. The restaurant, itself, is clean and well appointed. It is truly a great place to enjoy a wonderful meal.
January 9, 2016|Not worth a second trip|3|We waited 1/2 hour because the reservations were backed up. We certainly understand this happens, but a free appetizer or drink would have gone a long way in easing our distress. Restaurant was loud, and service okay. Food was good, but with all the other issues not good enough to go back.
January 9, 2016|We were put at the back table in the bac...|4|We were put at the back table in the back room which is not a good location.
January 7, 2016|Favorite restaurant on the Hill! 5 Star!...|5|Favorite restaurant on the Hill! 5 Star! I lived 3 years in Italy and this restaurant takes me back there!
