Review Title|Review Date|Review Score|Review Text
ays ago|A fun spit as always|5|Good was delicious as always but two plates of four were not very warm and had to go back. Serve was nice but a bit over extended. Still one of our favs!
ays ago|1st Time - great experience!|4|This was our first time at at Providence Oyster Bar, needless to say the oysters ordered as an appetizer were outstanding!! I had a sushi platter as an entree that was fresh & delicious. Everyone in our group enjoyed their meals - will definitely go back!!
ays ago|Providence Oyster Bar Supreme|5|Late afternoon we decided to check out the bar and the raw bar before returning for dinner. We were glad we did. The prices were great for the raw bar; all kinds of oysters, delectable shrimp and supreme sushi. Glad we stopped in for the happy hour. Later that evening we returned for dinner and were treated like celebrities’; yes, they remembered our earlier visit. What a nice touch, what a nice way to welcome customers. I had the evening special, which was local cod that was prepared with a light sauce made in the pan by the chef. My sidekick had a handpicked lobster, which was prepared to perfection. Besides the great food it is a truly enjoyable overall experience. And yes, the wine list is extensive so that you can choose a wine that pairs beautifully with any entree chosen. Great experience; definitely recommend going! We will definitely return.
February 20, 2016|Excellent food and wine, service was average|4|Great food. A bit pricey. Not much ambiance. Valley parking is plus.
February 12, 2016|Good oysters & atmosphere|3|Great oysters and atmosphere, the rest of the menu was sub-par. Didn't finish our apps because they were pretty gross. Wine selection was vast, but over-priced and not descriptive. Staff was ok, got the job done but were not outstanding.
January 31, 2016|Excellent experience|5|Overall outstanding experience. very good variety in choices on menu, especially starters. Would have liked to have tried several dishes; but that will have to wait till next time.
January 27, 2016|Outstanding service and food....best oys...|5|"Outstanding service and food....best oysters!!!! Found a new ""favorite"" cocktail...."
January 22, 2016|Food and service were outstanding! This ...|5|Food and service were outstanding! This is our favorite spot in Rhode Island for seafood. Great selection of local and Canadian oysters and the best Ahi Tuna you can find.
January 16, 2016|Restaurant week|4|I had a good experience at the Providence Oyster Bar. Everyone was very nice from the valet to the waitstaff. We started off with a variety of Oysters and calamari. The oysters were amazing, the calamari was ok. Then we moved on to the entrees. The first dish was grilled swordfish over lobster mashed potatoes and grilled asparagus. Phenomenal combination! The swordfish had pesto sauce over it that added some great flavor. The lobster mashed potatoes had chunks of lobster in it! The second dish was shrimp scampi over linguine. Unfortunately this dish was bland and we did not enjoy it at all. My wife doesn't like sending food back so we moved the shrimp over to my plate and shared my entree. The dessert was tiramisu. It was good but I wouldn't order it again. I will definitely go back for the oysters and the swordfish plate.
January 16, 2016|Service and food is always excellent!!|5|Service and food is always excellent!!
January 9, 2016|First time guest..|4|It is unfortunate that servers have the ability to make what could have been a 5-star all around experience, nothing more than mediocre. After being seated it took 10 solid minutes to get greeted by our server - not the worst thing but highly annoying. Overall she was below average and seemingly uninspired being at work. The food (most important part) was stellar.. Chilean sea bass special was ridiculously perfect - the coconut curry was so flavorful and the sea bass was cooked to perfection with crisp exterior and moist interior. Baked stuffed shrimp were moist but the stuffing was mostly mushy seasoned bread with little to no seafood in it. Raw PEI oysters were crisp and clean and the rockerfeller were delicious. First time here since we live in Boston and won't be our last.
December 26, 2015|Amazing!|5|Incredible! I need not say more. Our waitress Kelley was amazing even though it was super busy. We felt like her only one. (8 mos. pregnant) She was wonderful.
December 5, 2015|Wonderful Food in a Quaint Setting|5|We were with a group of 6 and all thought the food and service were great. The oysters were plentiful and I personally recommend the Lobster Saute. When leaving, we needed a cab and there were none around so one of the valets - Tony - offered to drive us to our downtown hotel. A very nice and unexpected favor.
November 30, 2015|Great food and service! The bacon wrappe...|5|Great food and service! The bacon wrapped scallops appetizer was amazing!
November 21, 2015|Energetic|4|We thoroughly enjoyed our visit to the Providence Oyster Bar. We ordered a bottle of wine on their menu, which they found that they hadn't chilled. They immediately went out and got a chilled one to make sure we had the wine we ordered. Our waitress was adorable and very attentive. The food was delicious. The restaurant was very busy, which made the noise level very loud. But, we would definitely go back there again when in the Providence area.
November 13, 2015|Great time|5|My visit was fantastic. My wife and I celebrated our anniversary and we could not have had a better time. The waitstaff prepared roses and allowed me to bring in my wife's favorite dessert. I would certainly recommend your establishment to others. Side note: I can't believe the chicken tenders are no longer on the menu. If possible, please bring back.
November 10, 2015|Mediocre at best...|3|Billed as a seafood restaurant, however they don't know how to cut and cook swordfish and offer nothing beyond standard seafood recipes. The swordfish was cut into a 2-3 inch wedge, which necessitated baking it after it was seared, resulting in dryness. No fish is served on the bone, meaning no whole trout, snapper, or bronzini available. Chowder not home made. Salads pedestrian. I wanted to like it, for there are so few seafood restaurants around, but it needs to improve its offerings and cooking techniques.
October 26, 2015|Very Disappointing|2|We were told this was one of the best seafood restaurants in Providence. Trendy place on federal hill. Our server seemed less than interested in being at work on the evening of our dinner. We ordered an appetizer that never showed up. Our entrees were served and when asked about the appetizer the server indicated they had forgotten to put the order in. I ordered fried oysters which were good (not great) but the French fries that came with them were soggy and greasy.
October 24, 2015|Bartender and bar servers were friendly ...|4|Bartender and bar servers were friendly and fun. Happy hour menu was outstanding!
September 13, 2015|The seafood was outstanding...|5|The seafood at POB was fresh, well cooked and just delicious. We had the POB seafood appetizer...YUM. Then the mussels in cream sauce and coconut shrimp. All outstanding. The seared tuna with seasame seeds were perfection and so were the Chilean Sea Bass and Block Island Swordfish. Well paired with their sides. We would go back again...particularly on Sun night when it is somewhat less of a vibrant bar scene (we are more the quiet foodie types). Great meal!!!
August 25, 2015|Would not return|2|The room has a nice feel but the food was not memorable and I would not recommend this place. Sorry.
August 4, 2015|My friend and I have recently embarked o...|4|My friend and I have recently embarked on a mission to experience all the restaurants on Federal Hill. We would be much further along if it wasn't for Providence Oyster Bar because we keep having to go back! ... We love their spider sushi roll with King Crab and their coconut shrimp appetizer. Seafood here is always fresh and delicious!
August 2, 2015|A great find at Providence Oyster Bar|5|On recommendation from a friend, we decided to try Providence Oyster Bar. I am so glad we chose to dine there. From the moment we walked in, I knew it was going to be a great experience. The waitress was very friendly and courteous. We sat at a spacious table and were pleasantly surprised by the great selection of wines. We chose the the lobster wontons to start and they were fantastic. My husband and I had the sea bass. It was outstanding and very fresh. The chowder was also a hit with our entire family. I can't wait to go back again on our next visit to Providence!
August 1, 2015|Hopping bar scene|5|We come to this restaurant often for the great oysters, fun bar scene & excellent service. The waitstaff is consistent & knowledge. The food options are solid & the whole setting is just fun. Highly recommended
July 25, 2015|pricey but worth every penny! the tuna w...|1|pricey but worth every penny! the tuna was to die for!
July 24, 2015|Food and service are always excellent! T...|5|Food and service are always excellent! They have the freshest seafood and the most pleasant waitstaff around. They make us feel like we are one of their family. I crave thier Tuna entree with lobster wontons on a daily basis
July 15, 2015|We had a very good dinner and excellent ...|5|We had a very good dinner and excellent service from Leila. Thank you
July 11, 2015|Disappointed|2|Once a restaurant we really enjoyed but on this visit the waiter was way below the level one might expect at a fine dining restaurant. A polite conversation with the manager on our way out was acknowledged as if he did not care....won't be back anytime soon.
July 5, 2015|Great food and great service. Went to th...|5|Great food and great service. Went to the bar first and had some fun cocktails. The bartenders we're very pleasant and engaging
June 19, 2015|Oysters galore|4|We had a good experience at the Providence Oyster Bar. We enjoyed the Oyster platter with oysters from all over and the lobster mac & cheese was fabulous. Layla was an excellent server and everyone enjoyed their meal. The only disappointment was that they were out of our wine of choice. We would come back.
June 13, 2015|Great seafood.  Expensive.|4|We had a wonderful meal - both of us enjoying a seafood specialty for the evening. Nicely presented, nicely prepared. Flavorful, without masking the taste of the fish. A bit pricey, though.
June 11, 2015|Date night OK|4|We started with Oysters Rockefeller, nothing spectacular. Also shared the mozzarella salad that was nicely prepared although a little heavy handed with a very sweet balsamic dressing. Enjoyed our dinner entrees; the scallops were nicely seared and accompaniments were fresh and tasty. Again a little heavy on the salt seasoning of the scallops. My husband ordered the sesame crusted tuna that was very creative, accompanied by several seafood filled fried dumplings and dipping sauce. It was cooked to perfection (rare) . The service was attentive. Would ordinarily have ordered a second cocktail but wasn't thrilled with their version of a Cosmopolitan, it tasted bitter (too much old lime juice) and very little vodka content. My husband's martini was also a little skimpy in the flavor department. Would probably try this place again, would like tyo sample other entrees and stick with wine from the bar
May 22, 2015|Seen better|3|Went for early dinner which was mistake due to packed bar during happy hour and very noisy. Food better than average, but sides waited too long at the pass waiting for mains and were served cold. They were prepared new but dinner nearly finished when they arrived. I would recommend, but not go back until I tried other restaurants in town.
May 16, 2015|Great seafood in a great part of town. T...|4|Great seafood in a great part of town. The scallops appetizer was amazing! Will definitely be back when we visit again.
May 10, 2015|Wonderful Brunch!!!|5|Shrimp and grits were delicious. Such a nice change from the typical brunch menu that you find everywhere. I highly recommend the Oyster Bar
May 8, 2015|Excellent food and service. I'll definitely return|4|Food, service, menu were all top notch. It's a small neighborhood place but that is not a negative. I would highly recommend it and certainly go back.
May 7, 2015|Excellent food and service|5|Excellent food and service
April 25, 2015|The place was hopping. The food outrageous.|5|The little necks with chorizo and saffron were off the hook. My sister had the paella and it was very flavorful, I had the lobster saute, the lobster was cooked to perfection. I say this is a gem in the neighborhood because I think Federal Hill is 90% Italian restaurants and they all look amazing but this really stands out for fresh over the top seafood.
April 19, 2015|We were visiting our son who's in colleg...|5|We were visiting our son who's in college and wanted to treat him to a good meal. We were not disappointed, the food was so good, we were all happy when we left Providence Oyster Bar. We will definitely go back.
Dined on April 18, 2015|The oysters were delicious!|5|I went there with four people. Every entree was a piece of art on the plate. I turned my jacket into 97 napkins it was so good. All of their seafood was so fresh you would've sworn it swam up to the table.
April 18, 2015|Perfect venue for the occasion|5|The Providence Oyster Bar is the perfect location for a romantic dinner or a celebration. The atmosphere is warm and inviting, and the menu is spectacular for those that enjoy seafood. The prices are excellent for a four star experience, and the service is impeccable. Our reservation was absolutely incredible and we will certainly return on a regular basis.
April 17, 2015|Great Food|4|The food and service at Providence Oyster Bar were excellent. The staff were very attentive and easy to talk to. My water glass was always filled and empty dishes were removed immediately. The manager walked around to assure that guest were happy and satisfied. My experience there was overall great! The only drawback is finding parking and the bar was packed so it was kind of noisy for a romantic dinner. I would highly recommend this place.
April 9, 2015|Great find!|5|Found this place which was a very short walk from the Hilton Hotel in Providence. This find in the Federal Hill area was a real gem of a place. It served delicious oysters, but also sushi and other tapas type items. The place is smallish, but not tiny, and had a vibrant bar and good menu. It is nestled in an area where there are a lot of good restaurants, in what seemed like a mainly Italian section of the city. Extremely cute area for foodies. We were visiting Brown University on a college tour and I was glad that we ended up staying at this end of Providence. Went with my teenager to Providence Oyster Bar, and she loved the atmosphere and the food. Would definitely come back here!
April 3, 2015|Service was great the wait staff was att...|5|Service was great the wait staff was attentive but not intrusive and the food suggestions were informative. The food was excellent as always.
