Review Title|Review Date|Review Score|Review Text
ays ago|Great food, great service, over priced.|3|Great food, great service, over priced.
February 20, 2016|Disappointing and chaotic|2|We have been to Public Kitchen many times, mainly because it's the closest restaurant to the VETS auditorium. The food is OK, never amazing but generally not bad. The menu never seems to change much and has little focus, just a bunch of random items with no discernible theme. The service is uneven. Sometimes quick but often slow or just odd (some things come out quickly and others take forever). It seems that no matter how early we arrive, something delays us enough that we are racing out to make an 8:00 concert and have to skip dessert. I don't know what it is exactly, whether a shortage of staff, or not well trained staff (which certainly seems to be the case), but we have this experience nearly every time. I think we are about to give up on this place, in spite of the convenience. It's too bad, especially because it is in a nice hotel. I'm surprised they are not getting any pressure to improve.
January 30, 2016|Unique food and beverage choices. Well e...|4|Unique food and beverage choices. Well executed and brought in a timely manner. Venue feels subterranean in a fun way. Service was good at beginning but slowed to a crawl towards end even though dining area was almost empty. Bar was very busy and fun
January 16, 2016|Disappointing|2|We decided on Public for a pre-show dinner. It seems to be a popular choice with diners who have the same idea. I wish I'd asked to be moved as soon as another couple was seated immediately next to us along a banquette- their overpowering use of cologne was a tip-off to their level of overall obnoxiousness. While their behavior was not the restaurant's fault, this couple made sure that everyone in their vicinity knew just how unhappy they were and just how atrocious their table manners are (picking teeth with pick while seated at dinner, loudly sucking through teeth, smacking lips, napkin stuck into collar of shirt- it was almost a caricature.) If the meals we had been served were better, it might have lessened the impact our neighbors had on our meal. Unfortunately, the steak my husband ordered was overdone and my pasta, although topped with a pleasant sauce, was marred by large clumps of chewy, uncooked noodles that were stuck together. The meals were pricy considering the level of quality and finish. It should be noted that couples at tables on either side of us were dissatisfied with their entrees for coming to the table cooked incorrectly or not as promised. Extremely disappointing experience- we won't be back.
January 16, 2016|Disappointed|3|"We dined early (at 6 p.m.) with another couple. We ordered the steak special; they ordered fish. Their entree came 20 minutes before ours (there was supposedly a ""computer error.""). Our steak entree was mediocre, at best - and way overpriced - thus little value for a lot of money. At first our waiter was pleasant and attentive; then he ""disappeared"" as more people came in. It was hard to find him to pay our bill and we had a performance to attend. So food was just so-so and overpriced and service was mediocre and extremely slow. I would not recommend this restaurant; nor would I dine there again."
December 25, 2015|A very nice experience.|5|We were there for Christmas dinner and it was a wonderful dinner. The food was excellent and the service attentive, but not cloying.
December 3, 2015|An excellent choice, especially if you a...|4|An excellent choice, especially if you are going to the VET for a show.
November 7, 2015|Wonderful relaxing evening, great food a...|5|Wonderful relaxing evening, great food and outstanding service .... My whole family loved it .... The waiter even noticed that my daughter wasn't feeling well and brought her lots of tea .... We would definitely go back
November 7, 2015|Average|2|Overpriced given the small portions. Menu is on the smaller side. A little irritating that when I called they claimed to have no space at all until after 8:30pm but then they accepted an Open Table reservation for 6:15pm with no problem and the place was 2/3 empty when we arrived. Food quality was good. Just wish there was more of it on the plates.... Seems like a trendy place.
October 31, 2015|Very Good Experience|4|We were two couples in search of good food, reasonably priced and not too noisy. While the selection is limited, it was diverse enough for meat-eaters, non-meat eaters, those seeking comfort food and those looking for a little adventure in their food. I had a salmon tartare that was scrumptious as were the home made chips that came with. My husband had the Thai noodles which he said were very tasty, although not as spicy as he usually likes, and our friends had a homemade pasta with chicken and a Kimchi soup (very spicy!) We also had the roasted beet salad and fries. Everything was well-prepared, plated and thoroughly enjoyable. The service was terrific - our server was very attentive, but perhaps he was able to be because it was not at all busy on a Saturday night. We were there relatively early, but it wasn't exactly filling up even by the time we left. Halloween, maybe? We would definitely recommend it and will go back.
