Review Title|Review Date|Review Score|Review Text
ays ago|Aaron has served us three times now and ...|4|Aaron has served us three times now and I'm always impressed that we get the meals we ordered even though he hasnt written it down. Love this place.
ays ago|Lunch Break|4|Great food and good selection just noise level is very high!
ays ago|Noisy, but good food|4|I love Red Stripe for its consistently good food, but I always ask for a table away from the furor, as this can be a very noisy place, especially on a weekend night. Even with their new back room bar, the crowd around the bar in the front room becomes very energetic, so the tables near it are just not fit for conversation. The food is very good, though, and the menu a mix of trendy and inventive items and good old comfort food
February 23, 2016|Awesome as always|5|We tried to go to the Stripe a few times a month. Our kids are 5 and the menu for them is fantastic. Aaron's the best but all servers there are awesome.
February 22, 2016|Disappointing|2|Went with a business associate for dinner on a Monday when many other restaurants are closed. It was so loud in the dining room, we opted to sit at a high top table in the bar area. Less than satisfied with my dinner, our lovely and sweet server insisted I ordered a different steak. The second meal was so salty I could not eat it. My table mate admitted her dinner was also extremely salty - and we both really like salt normally - it was just way too much. This was my fourth visit to the restaurant and will also be my last. How many chances can you give a restaurant to get it right?
February 19, 2016|sand|2|3 of us had mussels as our meals. All 3 dishes were very sandy. 1 person in our group has fish & chips he said the fish was very dry. 1 child had steak (asked for well done) the outside was burnt and the inside was rare. The waitress never refilled our drinks. Poor service and the food was awful. We were very surprised.
February 18, 2016|Outstanding service and wonderful food.|5|Outstanding service and wonderful food.
February 14, 2016|The fruit salad could be more diversifie...|4|The fruit salad could be more diversified. It was pretty much all cantaloupe which I don't really care for. Other than that - great as usual.
February 13, 2016|Our service was excellent from start to ...|5|Our service was excellent from start to finish.
February 13, 2016|The kitchen is heavy handed with oils an...|3|The kitchen is heavy handed with oils and salt. We couldn't taste any fresh fish or vegetables under all the sauce.
February 12, 2016|Great Friends made the difference|3|This was my second visit to RS and the great company of friends and service provided by Danny were the high points. Moules Poulette et frites were disappointing and I was glad I didn't order the fish and chips my 3 companions did - just didn't look that good. Someone remarked that the fish was dry- presumably overcooked. Frites all around were room temp and limp. C'mon, guys. In 2016 there is no excuse for a full service bar to be out of Rye. Granted, they have an extensive beer and wine selection - diverse but not particularly impressive. I like to write positive reviews but felt this wasn't close to my first experience maybe 3 years ago. Seems like a popular spot - maybe they just had a bad night. That is everyone except Danny, who was attentive, accommodating, and just the kind of guy to take some of the sting out of an average meal when you're anticipating more. I'm not writing off Red Stripe but It won't be my first choice when I am in Providence again.
February 10, 2016|Very good enviroment, good meal, good service|4|Love the location, space and food. I will revisited when back in Providence!!
February 7, 2016|Omelets never disappoint!  Just size of ...|4|Omelets never disappoint! Just size of coffee cups for brunch could be improved upon...too small! Also a better variety of jams for the grilled bread would be nice...apricot or grape not too exciting.
February 6, 2016|Giving up on Red Stripe|2|"We come to Red Stripe for the great food, and the service is usually tolerable. We were a party of 8 dining here for my boyfriend's birthday. We had a reservation, but it still took about 15 minutes to be seated. We waited for 15-20 minutes before our server came by and filled our water glasses. Then he disappeared and returned 10 minutes later to offer a cocktail. It took 15 minutes for those to even delivered. By the time we were sipping our first drink we were begging to order. We ordered a few appetizers, one being clams and mussels. We then ordered our entrees. Everything had been ordered for about 15 minutes before the waiter came over to tell us that they were all out of clams. I was highly disappointed, I came in that evening for the clams part of the dish. They brought out the mussels themselves on the house which was a nice gesture, but I am not a mussels fan. Finally we were served our entrees. I had two friends order the paella. They both complained it was salty. One of my friends told the server of the issue. The server took it back and I offered him my dish because I was full. Meanwhile, water glasses were empty, second drinks were difficult to attain. We brought our friends here to wow them with Red Stripe's food, and all were underwhelmed. The check came and my friends paella he sent back was still on the check. When we told the server of the issue, he said management told him they could not take it off because ""there were too many comps that night."" No manager ever came to the table to speak of any of the issues. I have worked in restaurants for years, and the issues I dealt with here show poor management. When wait staff does not care, 86ed items are not communicated, and a manager does not speak with a table about a problem, you can assure that there is a huge issue in this restaurant. My whole party remarked that they would not be back. That night I had an upset stomach, and my friend who I gave my dish to was sick all night! Beware of Red Stripe"
February 6, 2016|Delicious and great service|4|We were in a bit of a rush and the waitress was very cognasent of that. We got the mussels for an app and they were delicious. Nice and big and meaty. All of our entrees were delicious too. It is a pretty loud restaurant which was good for us as we were with a group and going to a concert. We really enjoyed and will be back.
February 1, 2016|Lunch at a favorite neighborhood restaurant|5|I take people to Red Stripe for lunch when they come to town. I'm never disappointed. I tend to order the same thing for lunch every time, but my friends order a wide variety of items from the menu and no one has been disappointed yet. Everything is fresh and prepared perfectly. We don't usually have wine at lunch, but I did have dinner there a year or so ago and as I recall the wine was excellent.
