Review Title|Review Date|Review Score|Review Text
ays ago|We ate there twice during our overnight ...|4|We ate there twice during our overnight stay at the Hilton- dinner, with our young kids and a few friends that joined, and breakfast the next day. On both visits he staff was very friendly and accommodating, our table was ready right at our reservation time, and the food was great. We will be returning!
February 14, 2016|Out of the steak that I wanted. .ridicul...|3|Out of the steak that I wanted. .ridiculous for a steak house.
February 14, 2016|Excellent meal|5|I have been to Shula's multiple times and decided to take my wife there for Valentine's Day. A good choice. The food was tasty and the wedge salad large and delicious.
February 14, 2016|Not Great|2|"Most Providence steak houses were booked for Valentine's Day. Shula's had openings. We arrived and the restaurant was a third full at 5:30. The bread and tuna appetizer were good. My Caesar was overdressed and contained too much vinegar. We ordered a ny strip from Shula's special cuts. We were told that they had just sold the last one. Steak house with no strip at 6 on Valentine's Day. Ordered the filet, medium. It arrived and I cut into it, 3/4 of an inch deep. No pink at all. I sent it back. A small $38 filet should be perfect. The manager came over to talk to us. Apologized and said that if I had cut deeper it was (kissing his fingertips) ""perfect"". I said to send it back out, I would eat it. He said it was no problem, they had a fresh one on. So, he stopped by to tell me how ignorant I was? The new filet was good, not great. The baked potato was undercooked. He did offer us a drink for the wait. We had a glass of wine. Maybe it was an off night for them, but on Valentine's Day? They are away from the busy mall area, but the good restaurants are busy. Things were disappointing."
February 14, 2016|Less than expected|3|I had visited the Shula's steakhouse in Chicago many years ago, so my expectations were based on that experience. In comparison, I was disappointed in the quality of the steak selections. My party ordered the Rib Eye and Cowboy Steak, both were not as flavorful, more fatty, and of lesser quality than expected. I would say it wasn't worth the price.
February 14, 2016|2nd Time Trying to eat here.  Pipes burs...|1|2nd Time Trying to eat here. Pipes burst which is not Shula's fault but they had horrible customer servive and did not call
February 13, 2016|Good Food, Great Service|4|Tried Shula's because we were staying at hotel and were pleasantly surprised. They have a good selection of dishes and a variety of steaks. The service is impeccable. Our waitress was knowledge about food and very efficient and pleasant. Would go back.
February 11, 2016|Beyond Horrible|2|Service was beyond bad!! Blackened steak tips tasted like they were dropped in charcoal and my entrée was dry and tasteless.
January 27, 2016|Great steak!!|5|I had one of the best steaks I ever had, cooked to perfection and didn't even need steak sauce. My server, Desiree was really good and was very friendly. Would recommend this restaurant to anyone!!
January 26, 2016|As always an excellent dinner and great ...|5|As always an excellent dinner and great service. Jeff , aOur server was very attentive to our every need.
January 21, 2016|Consistently good!|4|"Over the years, I have been to Shula's 347 many times despite not being a big Miami Dolphin fan. While a ""red meat"" fan, I was there for lunch with a friend who had never been there before despite being walking distance from work for him, and chose to get the wedge salad instead of a burger or steak. The salad was as good as I remembered it, my standard salad before dinner when there before. Zach was our waiter and gave my friend and I time to talk but was available right away to take our order and deliver it timely."
January 17, 2016|Overpriced|3|We were very disappointed with the quality of the food. The scallops were very salty and the steak was mediocre. The ambiance was lacking for such an expensive restaurant. Entrees did not include and salad or bread. The service was good, but not exceptional.
January 9, 2016|Excellent Steak House|5|I have been to many of the high end steak houses and I find this to be as good or better than the rest. Not only are the steaks top quality, good service, but the price is much more reasonable than the others. You not only get your steak, but a potato and vegetable come with it. I would highly recommend this location.
December 31, 2015|Loved the restaurant but the service was horrible!|4|Obviously the bartenders in Providence didn't want to be working on New Year's Eve. The food and restaurant were great but the bartenders were miserable. We had to badger them to put an order in or get another drink.
December 25, 2015|Great, attentive service. Steaks were co...|5|Great, attentive service. Steaks were cooked to order perfectly, and very flavorful. Great experience.
December 22, 2015|steak dinner|4|excellent waiter and good food. overall happy experience.
December 16, 2015|Pricey for what you received|4|Pricey for what you received
