Review Title|Review Date|Review Score|Review Text
February 19, 2016|Dinner with friends|5|We all had exceptional dinners. The Pasta Capri was awesome and we opted to add the shrimp which were so good and made this incredible pasta dish complete. We will definitely be back soon. We love the atmosphere of the restaurant along with the professional service we received.
February 14, 2016|Well reading bunch of mixed reviews. We ...|4|Well reading bunch of mixed reviews. We had a good experience and good food, nothing special the place had a nice cozy feeling. We will return to explore the menu more. The calamari was very good.
February 14, 2016|Valentine's Dinner|5|First time at this location but went to Spirito's many times when in East Providence. The setting in an old Victorian House is unique as is it's past history of being used as a funeral home. Our waitress was pleasant and efficient. The food was hot and very good. Overall, very enjoyable night out with my special Valentine, my lovely wife.
February 14, 2016|always great!|5|food, service, and ambience can't be beat! Our choice for valentine's Day Dinner and it was perfect!
February 13, 2016|A Disappointment|3|"The atmosphere and service were great, but the food did not live up to expectations. My husband and I had gorgonzola stuffed garlic bread as an appetizer, which was legitimately delicious. However, everything went downhill after that. I ordered an entree that was supposed to be chicken breasts stuffed with ricotta, spinach and capicola, but there was hardly any spinach and only one small chunk of capicola present. I opted for potatoes au gratin as my side (which, in retrospect, might be a poor choice at an Italian restaurant), but this was a mistake - the potatoes were quartered and swimming in bland béchamel with a ritz cracker topping...huh? There was no cheese present; just béchamel, soggy ritz crackers, and undercooked potatoes; I was thoroughly confused by this preparation. The blandness was also a sore point throughout the evening - I'm not the type of person that adds liberal amounts of salt to anything, but both my husband and I agreed that additional salt and pepper were needed to make the food palatable. My husband had a house salad and chicken parmesan; he proclaimed the salad dressing as ""tasteless,"" but the chicken as ""crispy and juicy."" The wine selection was varied and affordable, but the rest of the food seemed pricey compared to the quality of the preparation. As much as I loved the ambience, I wouldn't recommend eating here - the service was stellar (our waitress was a rockstar - she had a party of 10 by herself and still did great servicing her other tables) the bottom line when going out to eat is that the food is good. Spirito's did not deliver on this, and even dining in an old Victorian home with an amazing server can't make up for that."
January 30, 2016|OK, but dissappointed|3|yelp rated this 4 1/2. No way. The main course of the veal Marsala and veal parm were very good as was the spaghetti bolognese However, do not order the garlic bread or ceasar salad, less than acceptable, huge dissappointment
January 30, 2016|Delicious food and service.|5|Delicious food and service.
January 15, 2016|Beautiful atmosphere, excellent service.|5|This restaurant has a Gatsby-like feel as you dine in the dining rooms. Very beautiful, as the architecture stood the test of time. We had reservations and were seated quickly. All the staff appeared happy and accommodating. Food was excellent, quality and portions. Time between courses was slow, but we rather liked it. This is not a place to go if you are in a hurry. Atmosphere and quality Italian food is why you come to Spiritos. Great restaurant.
January 12, 2016|.No recommendation to go to Spiritos|1|Spiritos used to be a great place to eat. I could not believe how it went downhill. Food was less than mediocre and certainly not appealing. I paid anyways because it was expected but I will not return.
January 9, 2016|Will certainly return|4|"1st time at Spirito's, thanks to a GC. Beautiful ""home"" turned into a very nice restaurant layout. Service was personable, and food was very good. My 100& Italian girlfriend claimed it was the best Veal & Peas that she has ever had. EVEN better than her mothers! But don't tell her mother. Will be back... very enjoyable. P.S. And it has it's own parking lot!"
