Review Title|Review Date|Review Score|Review Text
February 14, 2016|Chaotic on Valentine's Day|4|Little trouble getting good table because of crowd. Also, there was a mix-up on food but it was straightened out quickly. Overall, one of my favorite restaurants in PVD. Nice views from location on Seekonk River.
February 14, 2016|Valentine|5|Went in for a Valentine's Day brunch. Wasn't disappointed! The menu was wonderful, the service friendly and professional, and the atmosphere was perfect. There are enough vegetarian options, even on their smaller brunch menu. I will definitely be back for dinner, sometime.
February 13, 2016|perfect place for a special occasion|5|First time we visited Waterman Grill. It was recommended by a friend of mine who lives in Providence. I also googled it and read the reviews just for curiosity. My friend and reviews convinced me to make a reservation at Waterman Grill. Once we got to the destination, we thought it was somewhat odd, a restaurant out of nowhere but it was night time so it was difficult to see what's around the area but once we got inside, we were greeted with this fine gentleman who welcomed us with a big smile at the front desk. Though it was super cold outside, the restaurant staffs were warm and the place in general was inviting. The staff guided us upstairs and had us seated in quite candlelight intimate table. I loved it! It was nice and cozy. And then Brian introduced himself as our waiter. He was so attentive and very polite. Brian knows his stuff and were pleased with our selection. Food was superb and the butternut squash soup was to die for. When we finished our dinner waiting for our check, the light went out and only the candles in our designated tables were lit. And I said this is nice and romantic. It was just four of us left upstairs and the two young folks who were sitting next to us liked the ambiance. And then Brian said what happen to the light! I said I thought it intentional because of the occasion but he said they needed to fix the lightings. Overall it was very nice and plans to come back after the renovations. Please extend our thanks to Brian for making our experience delightful.
February 13, 2016|Waterman Grille - Fine Dining|3|Food was tasty, service was great and friendly, and location is nice.
February 13, 2016|Awesome service and great food!|4|Awesome service and great food!
February 13, 2016|The food is excellent.|5|I had my son's rehearsal dinner at Waterman Grille this past August and they did an amazing job.
February 13, 2016|Special Day|5|This was a special occasion, my mother's 90th birthday. We got seated quickly and found a card on the table. The card was birthday wishes for my mother, and it was signed by the staff. My mother was delightfully surprised. Our server, Scott, was great and very attentive even though he was very busy. We had a couple of their Share Plates (the Grass-Fed Meatballs are awesome) and dinner was great. When it came time to order dessert my mother got another surprise. Scott served my mother their delicious Sky Bar dessert with happy birthday written on the plate. This is not my first visit to Waterman Grille, nor my last. Thanks to Scott and the staff for making my mother's 90th birthday dinner a special time. One side note. Everything was great, except for a very noisy table of 6, but it is what it is. Lack of respect for other diners. I guess they figured they were all alone in a very busy restaurant. There is no need for people sitting less then a few feet from each other to scream at one another. I am sure there is no easy well to tell ignorant people to shut-up without causing a bigger issue.
February 12, 2016|Perfect timing!|5|We had made reservations for the Friday night of Valentine's Day week-end, so we planned on maybe still having a bit of a wait given a completely packed house, but our table was ready, exactly as we had requested on the site. We had a fabulous waiter who was fun to chat a minute with and who helped us with a special order and lots of questions about the menu. Our meal was paced beautifully from the salad to the dessert, so we never felt rushed and had a few minutes in between courses to digest and think about what was coming next.
February 11, 2016|Excellent food, fantastic service|5|Waterman Grille is not the easiest to find as it's not downtown and not near any other eateries but it is just a short trip and is worth it! It is our local neighborhood gem tucked along the river that is perfect for special occasions. The food is on the pricier side but we have always, ALWAYS had excellent meals and service every time we have gone.
February 5, 2016|Service was outstanding! Everyone was ve...|5|Service was outstanding! Everyone was very courteous, friendly and knowledgeable. Ambiance was very nice, even with a screaming baby a few tables away. Our filets were both under-seasoned, and the char was a bit much for a med-rare cook. Temps on meat were perfect! Looking forward to tasting other items on the menu.
