Genre|Yelp|Foursquare|Adjusted Bias|Overall Bias
Bars|4.07|4.25|-0.18|-0.28
Chinese|3.5|4.1|-0.6|-0.28
Dessert|3.73|4.14|-0.41|-0.28
Cafes|4.02|4.18|-0.16|-0.28
Mediterranean|4.43|4.52|-0.09|-0.28
Japanese|3.5|4.21|-0.71|-0.28
French|3.9|4.17|-0.27|-0.28
Pizza|4.0|4.23|-0.23|-0.28
Non-American|4.1|4.33|-0.23|-0.28
American|3.88|4.19|-0.3|-0.28
Non-White|4.13|4.36|-0.23|-0.28
Sandwiches|3.63|4.12|-0.48|-0.28
Latin American|3.0|4.2|-1.2|-0.28
European|3.93|4.18|-0.25|-0.28
Asian|3.63|4.1|-0.47|-0.28
Italian|4.0|4.2|-0.2|-0.28
