Name|Price|Score|Votes|Address
Los Andes|2|9.3|187|903 Chalkstone Ave
Pastiche Fine Desserts & Café|2|9.3|219|92 Spruce St
The Shop|1|9.3|39|460 Wickenden St
The Eddy|2|9.3|112|95 Eddy St
Flatbread Company|2|9.3|83|161 E Cushing St
Julians|2|9.2|267|318 Broadway
Dave's Coffee|1|9.2|41|341 S Main St
East Side Pockets|2|9.2|160|278 Thayer St
LaSalle Bakery|1|9.2|70|993 Smith St
North|2|9.1|88|3 Luongo Sq
White Electric Coffee|1|9.1|111|711 Westminster St
Seven Stars Bakery|2|9.0|126|342 Broadway
The RISD Museum of Art|N/A|9.0|166|224 Benefit St
Nick's on Broadway|2|9.0|137|500 Broadway
Seven Stars Bakery|2|9.0|154|820 Hope St
Providence Performing Arts Center|N/A|9.0|178|220 Weybosset St
Cook & Brown Public House|2|8.9|49|959 Hope St
Al Forno|3|8.9|112|577 S Main St
Olneyville New York System Restaurant|1|8.9|78|20 Plainfield St
New Rivers American Bistro|2|8.9|44|7 Steeple St
Apsara Asian Restaurant|2|8.9|54|716 Public St
Harry's Bar & Burger|2|8.9|206|121 N Main St
Haruki East|2|8.9|50|172 Wayland Ave
Bob and Timmy's Grilled Pizzas|1|8.9|66|32 Spruce St
Tea in Sahara|1|8.8|32|69 Governor St
Hemenway's Seafood Grille & Oyster Bar|3|8.8|155|121 S Main St
Providence Oyster Bar|3|8.8|55|283 Atwells Ave
Trinity Repertory Company|N/A|8.8|60|201 Washington St
The Avery|2|8.8|83|18 Luongo Memorial Square
WaterFire Providence - Waterplace Park|N/A|8.8|172|10 Finance Way
Graduate Center Bar|1|8.8|67|42 Charlesfield St
Costantino's Venda Ravioli|N/A|8.8|89|275 Atwells Ave
Birch|3|8.7|52|200 Washington St
Nice Slice Pizzeria|1|8.7|80|267 Thayer St
Tony's Colonial Food|N/A|8.7|26|311 Atwells Ave
Roger Williams Park Zoo|N/A|8.7|238|1000 Elmwood Ave
Dunkin Donuts Center|1|8.7|340|1 La Salle Sq
Kitchen|1|8.7|74|94 Carpenter St
Loie Fuller's|3|8.7|48|1455 Westminster St
Providence Coal Fired Pizza|2|8.7|124|385 Westminster St
Nikki's Liquors - Craft Beer, Fine Wine and Spirits|N/A|8.7|36|32 Branch Ave
The Duck & Bunny|2|8.7|213|312 Wickenden St
LaSalle Bakery|1|8.6|50|685 Admiral St
Justine's|3|8.6|42|11 Onyville sq.
Cable Car Cinema and Cafe|N/A|8.6|70|204 S Main St
Alley Cat|2|8.6|51|17 Snow St
The Grange|2|8.6|181|166 Broadway
Camille's|2|8.6|40|71 Bradford St
Thai Star|2|8.6|21|1088 Chalkstone Ave
Whole Foods Market|N/A|8.6|175|601 N Main St
The Dorrance|N/A|8.6|91|60 Dorrance St
Benefit Juice Bar & Café|N/A|8.6|29|404 Benefit At
Small Point Cafe|N/A|8.6|107|230 Westminster St
WaterFire Providence Memorial Park|N/A|8.6|50|College Street
Gracie's|N/A|8.6|58|194 Washington St
Bocado Tapas Wine Bar|N/A|8.5|14|N/A
Geoff's Superlative Sandwiches|N/A|8.5|99|163 Benefit St
Hudson Street Delicatessen|N/A|8.5|32|68 Hudson St
Waterman Grille|N/A|8.5|48|4 Richmond Sq
El Rancho Grande|N/A|8.5|66|311 Plainfield St
Byblos Hookah Lounge|N/A|8.5|50|235 Meeting St
The Coffee Exchange|N/A|8.5|195|207 Wickenden St
Mr. Lemon|N/A|8.5|36|32 Hawkins St
Red Fez|N/A|8.5|98|49 Peck St
Sakura|N/A|8.5|71|231 Wickenden St
The Big Blue Bug (Nibbles Woodaway)|N/A|8.5|29|103-151 Public St
Bottles Fine Wine|N/A|8.5|53|141 Pitman St
The Melting Pot|N/A|8.5|44|199 Providence Pl
Seaplane Diner|N/A|8.5|27|307 Allens Ave
Avon Cinema|N/A|8.4|41|260 Thayer St
Creperie|N/A|8.4|51|82 Fones Aly
DENDEN Café Asiana|N/A|8.4|82|161 Benefit St
