Review Title|Review Date|Review Score|Review Text
ays ago|Favorite restaurant on Federal Hill!|4|Favorite restaurant on Federal Hill!
ays ago|Culinary heaven|5|We were in Providence for a college basketball game. We made a reservation for 6:30 and arrived 10 minutes early and we were seated promptly. My son and I ordered Sinarta Sangrias which were excellent. Our friend had scotch . We did not order appetizers because we knew the entrees would be large. We each ordered pasta dishes and they were delicious, particularly the linguine with red clam sauce. One of the meals had linguine, Alfredo , prosciutto, bacon and large green peas. Outstanding. The service was on point and the atmosphere was warm and friendly. This was a Wednesday evening and it was very busy, which was understandable since this place is incredible . Make sure to make a reservation and arrive hungry. Andinos is a gem.
February 20, 2016|Way too squished!|3|The eggplant was slimey and like one wet lump of eggplant instead of nicely breaded stack that I was expecting. I ordered a specific table a month in advance and did not get it. I know it can't always be honored but there were six of us and we were ll crowded into a table for four! The restaurant is extremely loud! The service was prompt, so prompt actually we were out of there in about an hour! A little too fast for me. Overall I wouldn't go back!
February 19, 2016|Excellent food, excellent service!|5|First time there and it was a wonderful experience! We'll definitely return again!
February 19, 2016|GREAT PLACE!|5|I took my husband for a birthday dinner. Andino's is a lively place with great service and very good food! Our awesome waiter, Eric, was very friendly and attentive and answered all of our questions regarding menu items. We never felt rushed and really enjoyed ourselves. My husband was even surprised with a birthday desert compliments of the restaurant! Definitely recommend Andino's and will return again soon!
February 18, 2016|Wonderful food and service!|1|This was our second time at Andinos and it was better than the first. The Pasta Fagioli soup is as good as my grandmothers!! The service is great.
February 18, 2016|Great staff and food.|4|Every order can be customized to your liking. Valet parking is very convent and quick. Staff is very knowledgeable.
February 15, 2016|Past favorite|3|"Discovered Andino's about 4 years ago quickly became my favorite place in RI. I live about 45-50min ride away. So myself and wife usually get there 2-3 times per year. I started bringing my family after my first visit usually 6 people. The favorite app. Of myself wife, son and grandson is the calamari. My favorite entre is the eggplant parm. This past week we brought some friends. I recommended the Calamari and Eggplant. Our friends had commented over drinks that they enjoyed Eggplant Parm. So they ordered the Eggplant Parm and we all shared an order of calamari (4 adults). I got to say the quality of both were as good as ever but I was extremely disappointed in the portion size. In the past the eggplant was about 4"" high and 8-10"" long. I was surprised to see 3 dishes of eggplant about 1"" high, wow how much does it cost for eggplant ($.79 lb?). I hadn't gotten the Eggplant my last visit tried something else. But in the past I couldn't finish the portion, I certainly had no problem finishing this portion. Our last few visits I've noticed that the calamari portion is getting smaller and smaller. We usually spend approx. $50+ per person which I expect but expect something for my money. I've seen other restaurants do the same thing, so i just find another place to spend my money. I say charge $1.00 more if you have to but don't change what makes you special.....The food quality an portion size (value). I doubt we'll ever go back and I certainly won't recommend Andino's again."
February 14, 2016|Excellent pasta!!|5|Great fettuccine alfredo. Excellent server gave us a complimentary cheescake for dessert.
February 14, 2016|Fantastic Food, Yet Lack of Space Cramps Style|3|I live right off of Federal Hill and have been coming to Federal Hill for years. I firmly believe that Andino's has the best dinner on the hill from a pure taste perspective. However, the ambiance is an entirely different story. I took my girlfriend to a Valentine's Day dinner at Andino's because of how spectacular the food is. Upon arriving at the restaurant, there were literally five tables jammed together in a space where there should have been three at the most. I understand the desire to capitalize on a lucrative opportunity such as Valentine's Day. However, the space was so restricted that we felt like we could not relax and I had to ask a woman at another table to adjust her body every time I needed to leave the table. There was one specific instance where a waiter accidentally bumped into our table because of how limited the space was. The table actually lifted off of the ground and our meals as well as our drinks nearly flew all over us. Luckily that did not happen. I understand that mistakes happen, that is not what frustrated me. The reason the waiter bumped into our table was because there were so many people squeezed into an exceedingly small space. I adore the food and stand by that. However, I felt that the restaurant valued the quantity of people attending the restaurant and maximizing revenue rather than providing a romantic and comfortable experience for their customers. As a consumer, I believe that should always be most important.
February 14, 2016|Great night|5|Fantastic food and great service. What could be better.
February 14, 2016|Valentine's Date|5|My boyfriend and I went here for lunch on Valentine's Day. We wanted to go for dinner but everything past 1 oclock was booked, and I can see why! The food was excellent and the service was very good. The only negative thing I would have to say is that the restaurant is kind of small, but that also created a more intimate dining experience for us.
February 13, 2016|A good find in Providence, RI|4|We were seated on time, very attentive service and the food was tasty.
February 13, 2016|Fun night out|5|Let me start off by saying the service here is AWESOME! From the bartenders to the servers. We had Laura as our server and she was nothing short of fantastic! Even with a rowdy party she was very attentive and always checking on us and ensuring ours drinks and food were as ordered (as we went off the menu a bit). Can't wait to go back and hopefully Laura will be there again. A note to the restaurant PLEASE make the cocotin a menu item! It's the best cocktail!!!
February 13, 2016|Always a great experience|5|Eric was our waiter and served us well! He accommodated my gluten free request and offered options for me. He is always pleasant. Generous portions. I had shrimp scampi with gluten free pasta, my husband had pasta with sausage. Appetizers were clams casino (the best around!) and a house salad. One of the best restaurants on Federal Hill.
February 13, 2016|Great food and atmosphere!|5|Great food and atmosphere!
February 12, 2016|Always good|4|Best food on Federal Hill. Reasonably priced. Efficient valet parking . Wine selection has improved recently, but still a bit limited. A few too many tables crammed into a limited space in the winter when outdoor option is not available. Overall a really good , consistent , place for dinner. We have been going 5-6 times a year since about 2007.
February 12, 2016|Andino's|5|Server Kendra was very attentive; not pushy, but there when you needed her.
February 11, 2016|Andino's never has let me down.  If I am...|5|Andino's never has let me down. If I am in Providence, it is my first choice on Federal Hill. This last visit I took two workmates with me, they asked afterwards why I have not taken them there in the last 5 years! (We do shows in Providence in February and March every year). (Answer is I am not in charge!). Nothing on the menu from appetizer to dessert will disappoint, my favorites are the marsala and parmigiana (veal or chicken), but the specials rule too! Portobello Casino was a great start this last meal! If you want great food and great value, Andinos it is!
February 3, 2016|Our waitress was excellent and had a gre...|5|Our waitress was excellent and had a great sense of humor ! The food was great!
January 31, 2016|I have never had a bad service experienc...|2|"I have never had a bad service experience at Andinos until last Sunday. We arrived 10 minutes early for our reservation, only to be seated 10 minutes late. We sat down and ordered appetizers, which took over 20 minutes to receive. Our waiter pressed us to order our main course before the appetizers arrived and throughout eating them. Finally, the waiter came over to us and rudely said ""Look, I'm gonna be 100% straight with you. We have a 2 hr dining limit. There is someone coming at that limit that wants your table so you will have to be done by then"". Never in my life have I experienced that level of rudeness and treatment. We spent $300 and I was taking my parents to a nice birthday meal, only to be scolded for taking our time. We proceeded to order our main course right then, which took 30 minutes to receive. We had 5 minutes to spare between us finishing our meals and the next reservation. Look, I get it, there are two hour table limits which I was aware of and we understood. We weren't going to go past the time limit. However the waiter was extremely rude and ruined the meal. Very disappointed."
January 30, 2016|Another Fablous Birthday Dinner at Andion's|5|Having celebrated a few other friend's birthday's at Andino's I knew I had to set up another reservation for our group of friends for our January Birthday celebration. Once again, they did not disappoint! Our table was ready as soon as we got there, our waitress was awesome, food was delicious and prepared quickly! No complaints!! I will be returning and recommending!
January 30, 2016|Undecided|3|The food was excellent, our waiter was excellent. However it was extremely noisy. We were a table of two couples and we had to SCREAM to talk to each other. We also felt very rushed throughout our meal. We felt like we were being pushed out the door. Not sure if we'll return,
January 30, 2016|Disappointing|2|"From Boston, and federal hill is the ""north end"" of Boston, in Providence. Food was middle of the road at best, small dining area, service was okay at best but not outstanding."
January 24, 2016|Classic Italian|3|The Andino's menu had great variety. We went there for my boyfriend's birthday dinner. I follow a minimal grains, dairy and sugar diet and the restaurant easily accommodated my needs to have no bread crumbs or lemon butter sauce on the baked scrod. The fish was not overcooked or charred. Our server told us that everything was made to order. My boyfriend felt that his veal was missing something. Other than that we had a good experience. Although we did not tell the wait staff it was his birthday, the restaurant will sing to you upon request.
January 22, 2016|The BEST food!|5|Seriously great food...perfect portions. I had a lemony chicken with capers and we split an antipasto.
January 22, 2016|Birthday dinner at Andino's|5|Service was excellent. Everything we ordered tasted great - we had the calamari, broiled steak, strawberry sangria, and stuffed shrimp. The atmosphere was a little bit loud, but that was expected for a Friday night at a Federal Hill restaurant. We really enjoyed the staff and how helpful everyone was.
January 22, 2016|Great atmosphere, food and service!|5|Great atmosphere, food and service!
January 22, 2016|1st date|5|Restaurant was nice the staff was knowlegable I was looking for a romantic table and asked for that when I made the reservation but I didn't get that and in there defense I didn't really se a location in the restaurant that fit that bill. Overall experience was very good. Alot of which was my date being awsome. Just saying
January 3, 2016|Not a great experience|1|The temperature at the restaurant was too cold. They sat us at a table near the bar. Between the front door opening and the door that leads to their upstairs it was an unpleasant experience. It wasn't until the end of the night that the management turned up the heat to 68. Still cold in my opinion.
January 2, 2016|Fine Dining Experience|5|Had a wonderful dining experience at Andino's. Both the food and service were top notch. It was a busy Saturday night and we actually arrived a bit early and they had our table ready to go. One of our party mentioned to hostess how hungry they were and as soon as we sat down the waitress came right over and said she heard about the hungry group and was ready to take our order. Now that is attention to detail that you don't see much anymore. Already can't wait to go back
January 1, 2016|Favorite spot on Federal Hill|5|By far my favorite restaurant on Federal Hill. Have had many lunches and dinners here to celebrate all types of milestones. Services is always great and food outstanding. You always have to hear the specials before making a decision. There sangria is also delicious! Looking forward to many more meals here!
January 1, 2016|Excellent food, excellent service!|5|Four dinners, one salad, three desserts and a nice bottle of Merlot -- all for $140. Definitely worth the price. Even my 92 year old father loved his meal, and he doesn't like much! We will visit again.
December 31, 2015|A Wonderful Experience|5|"This was our second New Year's Dinner at Andino's and it was spectacular. The appetizer and both entrees were wonderful and plentiful. You have no choice but to bring some home since no human can consume that much food in one sitting no matter how delicious. I can't finish without mentioning the excellent sangrias we enjoyed during our meal. Adam, our waiter was terrific as well. An all around ""Wonderful Experience""."
December 31, 2015|"Veal dishes are the best. 
Great valet s..."|5|Veal dishes are the best. Great valet service a must on the Hill.
December 31, 2015|Always great! Ernie was our server and w...|5|Always great! Ernie was our server and was fantastic. The food was outstanding.
December 28, 2015|Awesome experience - food, service,  eve...|5|Awesome experience - food, service, everything was fantastic!
December 20, 2015|Italian Delight|5|Wonderful evening out. The service was superior. The entire staff helps one another to make a pleasant delightful dining experience. The food is authentic Italian. The portions are huge and so scrumptious it's hard to put into words. The price is very reasonable given size of the dishes. You want Italian food with an old world atmosphere this Federal Hill gem is the place to go. One dinner at Andino's and you'll never eat at one of those fake Italian chain restaurants again.
December 19, 2015|Birthday Dinner|5|Another great dinner at Andino's!! Our waitress, MJ was very helpful with suggestions and made sure we had everything we needed. Will return and recommend to others!
Dined on December 19, 2015|Had the special  awesome|4|Had the special awesome
December 18, 2015|Great food|5|The food portions were extremely generous & the food was absolutely delicious. The service was excellent thanks to our server Adam. We travel from Connecticut, it is worth the trip.
December 16, 2015|Three Course Christmas Lunch|4|Food delicious as always and the three courses for $15.95 was a solid value for the quality of the food. Lentil soup, Calamari, and Rigatoni Bolognaise were all delicious.
December 9, 2015|Gluten Free and Friendly|5|We have been dining at Andino's for years and even before the Gluten Free craze, the have always been accommodating. Now they even offer GF Pasta which, my dining mates stated tasted just like theirs. Thanks Andino's for being my not-so-neighborhood favorite. I will always find a way to dine at your establishment when I'm in the area.
December 4, 2015|Another Great Dinner At Andino's|5|This was our 5th trip to Providence and our 5th trip to Andino's - we never miss it. The place is simply fantastic - from the appetizers thru the entrees and desserts. The staff is the most attentive of any restaurant I have ever been to and our waiter, Brian, who we asked for, was great again as always. Don't miss this place if you are in Providence.
November 28, 2015|Great restaurant really nice place to go...|5|Great restaurant really nice place to go whenever you are in Providence Rhode Island I highly recommend it
November 28, 2015|great|5|food was great service 5 star small place noise level was a bit high
November 26, 2015|Very good thanksgiving dinner|5|Very good thanksgiving dinner
November 22, 2015|This was our first time here and we will...|5|This was our first time here and we will be back. The service and food were excellent!
