Review Title|Review Date|Review Score|Review Text
ays ago|The experience as a whole and love the a...|5|The experience as a whole and love the atmosphere.
February 20, 2016|First time here for dinner. Adding Bocad...|5|First time here for dinner. Adding Bocados to my favorites list for sure! Great food, great waiter George that helped with menu selection and fun dining experience. Will be back and spread the good word to friends!
February 20, 2016|Date Night Dinner|4|We enjoyed the chopped salad, dates with blue cheese, olives, shrimp sliders, and venison with risotto on a busy Saturday. The dishes were fresh, flavorful, and creative. Service was very friendly! We enjoyed a relaxing date night!
February 20, 2016|Go and Enjoy|4|I will go there again with friends. Sitting at the bar !
February 18, 2016|Food and service are always great here! ...|5|Food and service are always great here! We come on special occasions and random nights because we love the food.
February 14, 2016|Our First time attending Bocado's and it...|5|Our First time attending Bocado's and it was great! Service was excellent and food was even better!
February 14, 2016|Good amount of food for the price, and t...|4|Good amount of food for the price, and the wine flights are really creative. We definitely enjoyed the atmosphere, as it doesn't have the same old world feel that most of the Federal Hill area restaurants do. Service was also great. The paella was a little underwhelming, but both of us have been to Spain and probably had high expectations- everything else was what we had hoped.
February 14, 2016|Perfect Valentine|4|"We dined at Bocado in Providence with another couple for Valentine's Day. Eschewing the ""Experience for four"", we selected several rounds of tapas and had dessert. We were able to share as desired or not (one vegetarian and one who can't eat fish/seafood were in the group). Stand-outs among the tapas we ordered: the Manchego cheese, the almendras (almonds), the limo embuchado, the tortilla española, and the hamburguesas de gambas (shrimp hamburgers). Our server, John, was very attentive and professional without being pushy or too informal."
February 13, 2016|Fun place to spend a few hours. Be sure ...|5|Fun place to spend a few hours. Be sure to try the smoked duck breast and grilled octopus.
February 13, 2016|Ash at the bar was fantastic.  She knows...|5|Ash at the bar was fantastic. She knows her wine, knows her menu and certainly knows how to take care of your every need! Thanks for a great night ash!
February 12, 2016|Delish!|5|I have already recommended Bocado to several of my friends. The food was excellent, and the paella was out of this world! The tapas portions are perfect, and the paella is more than enough with leftovers to take home. Even the flan and churros were amazing. I honestly cannot wait for my next visit.
February 6, 2016|Very Nice Place|5|"We were very pleased with our meal and will be back. Highly recommended for a nice place to have a great meal. Go with ""the experience"", it allows you to diversify and have a blast!"
January 31, 2016|Was a nice time. Good food but don't hav...|4|Was a nice time. Good food but don't have the lasagna.
January 29, 2016|Fantastic Food|5|"three of us went out for dinner as a going away celebration. Every dish was phenomenal. Usually at restaurants I can say ""the food was good"" but rarely can I say it was amazing. We went around 7pm on a Friday night and it was pretty busy but not too loud or crowded."
January 25, 2016|Unbelievably delicious food, exotic flav...|5|Unbelievably delicious food, exotic flavors, creative, festive presentations, comfortable atmosphere. This was our 5th visit (we're from out of town), a must-go restaurant experience. Enjoy!
January 21, 2016|Not a great experience!|3|While the waiter was nice, they were simply understaffed. Also, they brought the wrong orders to us, but we waited so long we ate it. Hopefully this was a one off experience!
January 16, 2016|Definately didn't disappoint!|4|This was my second time going to Bocado, this time was no different from the first. DELICIOUS food...hubby and I left stuffed once again. For it to be a small plate menu the variety to pick from is huge and you do get decent sizes to share. The drinks in my opinion could be a little bigger for the price, but they don't skimp on the alcohol. I would absolutely recommend Bocado to a friend. Perfect for date night or girls night out.
January 16, 2016|A Taste Of Spain|4|The food and service are both outstanding. The restaurant was packed. However the waitstaff keept us very happy. Always comming by our table with more food and drinks. Kudos to the entire staff.
January 16, 2016|Don't miss out on this!|5|This was my second visit, and even better than the first visit (which was awesome). Dean is an excellent waiter, was lucky enough to catch him both times. Looking forward to our next visit!
January 15, 2016|It's a wonderful casual place for dinner...|5|It's a wonderful casual place for dinner...The fist time we've been great food, wine the place is just plain fun. Great waiter, bartender and fun ambiance. Looking forward to going back soon.
January 15, 2016|Tapas Convert|4|The food at Bocado was really good. I have not been a big fan of Tapas, but this was a new experience. The chicken croquettes were outstanding and the Seafood Paella was excellent! We loved the warehouse atmosphere and will definitely come back with friends.
January 11, 2016|Good tapas but service was lacking|3|I was seated in the front of the restaurant far from the kitchen. The waiter had many tables scattered in the restaurant and gave most attention to those near the kitchen where he passed by many times. As I was at his furthest table, also hidden by a partition, he rarely came to check on me and when I asked him to refill my Pepsi, he forgot about it. I had to ask the manager to get it. He also forgot to bring our appetizer to the table and when I reminded him, it eventually came, but only after we finished all our tapas.
January 9, 2016|Excellent, excellent, excellent.|5|What else can I say? The food was excellent. The wine was excellent. The service was excellent. Our waitress, Jasmine, was efficient, helpful and friendly. I would recommend Bacado highly. Definitely will return on a regular basis.
January 9, 2016|Bocados is great|5|The food is awesome well prepared and everything is very good quality. We love the Octopus appetizer
January 9, 2016|Best Tapas|5|We have been before and it's always Great food, service and prices. I would recommend to friends, families, and groups. Always a good time
January 3, 2016|Great wine, drinks, and service.|4|2nd time here both times did the Bocado Experience. Once with 2 then with 4 people. Wine knowledge was impressive. Mixed drinks were very good. The Octopus was the best tapa we tried. I would do without the sliders, the bread with them was disappointing. Pheasant sausage yummy. Ambiance was in need of improvement for comfort purposes. The chairs sat unevenly on the floor and the low backs were uncomfortable. Lighting was a bit bright for the setting. We will still go back just won't sit in those chairs! Bartender was awesome as was all the staff.
January 2, 2016|Never boring|5|We have eaten at Bocado 4 times and each experience is better than the last. We are never disappointed. You choose many small plates so you get a variety of perfectly prepared food brought out in waves. Just enough to keep you busy. We have had salmon,duck, cheeses, paella to mention a few, all at the same meal.
January 1, 2016|Great Space and Staff, Food was Mediocre|3|Given the great reviews of Bocado online, I was expecting more from this place. The staff was attentive and friendly, and the ambiance has a relaxed, modern feel, so my hopes were certainly not dashed at the door. I thought the chalkboard art was a cool addition to the space and the bar area was well-kept and seemingly well-stocked. However, when I go to a tapas restaurant, I really expect a great Sangria, which was definitely not the case here. We ordered the house special blend sangria, and it was lacking that fruity essence a great Sangria usually has; it really just tasted like wine with sugar in it. For dinner, we ordered the cider braised pork ribs, pollo a la plancha, bacon wrapped scallops, fried calamari, and the mozzarella rice balls. I'll start by saying that the mozz rice balls and bacon wrapped scallops were delicious - you can't go wrong with bacon or fried mozzarella. In my opinion though, they could improve on the other 3 dishes. The ribs were tender, but could really use a boost in the flavor department. The chicken in the pollo a la plancha was decent but the potato salad was not seasoned well - couldn't put my finger on why I didn't like it (maybe I just don't like Russian Potato Salad). The fried calamari was lightly battered and the perfect thickness, but the sauce was watery and not very flavorful (so close!). With tip, this ran us up to a $75 tab, which I can say I've certainly paid less than for far better tapas (in Boston, nonetheless). Overall, I'd give it a B-.
December 28, 2015|Great for a girls' night|4|The food and sangria were wonderful. The service was great. The chairs were a unusual with low backs and not the most comfortable.
December 20, 2015|The food was top-notch, as well as the service.|4|The food was top-notch, as well as the service. It was my first time there and our waitress was very easy-going and explained the whole protocol for ordering. My only complaint would be that my waitress went in detail to go over the wine list with me and then brought me a drink that I did not order--the drink was still great, but I would have liked to try what I had asked for. Other than that, the night was a great experience, and reasonably priced for the amount of food we ordered (we did the Bocado Experience--- I HIGHLY recommend it, especially if you're a foodie and love new tastes).
December 18, 2015|I have been to all 3 locations so far. I...|4|I have been to all 3 locations so far. It is always a pleasure to dine at Bocado. However, I have to say that the Worcester location is the best in all aspects. This is not to say that this location is bad at all :-). It has its own character that I feel is from its clientele thus the different experience that was still good.
December 5, 2015|A Spanish Experience|5|We had a great experience at Bocado! We ordered the dinner for two special which included 2 small appetizers, 4 tapas, a main course and desert. It was more than enough food, we even had a little left over. (taking into consideration that we are 2 small people) I'm not as familiar with Spanish wines, so the large list gave us the opportunity to explore new wines. We started with a wine flight that gave us a good introduction to Spanish wine. Service was excellent as well.
December 4, 2015|Good presentation of dishes|4|Good presentation of dishes
November 21, 2015|Restaurant was overbooked. They called t...|4|Restaurant was overbooked. They called three hours before our reservation to see if we would cancel. Even though we had reservations, we waited almost an hour to be seated. Then our meal lasted 3 hours when we could have been out of there in 2.
