Review Title|Review Date|Review Score|Review Text
ays ago|Great eats.|5|Very good service and the food was top notch. A little tight in seating but acceptable. The only downside is the level of noise in the room. But some like it that way so long as you know about it beforehand. Food was well prepared and requested and quite tasty.
February 23, 2016|Excellent cheese plate. Entrees were exc...|5|Excellent cheese plate. Entrees were excellent, but seemed somewhat over-sized.
February 18, 2016|Noise level was very loud!  Food excellant|4|Excellant food, pleasant and efficient staff - but difficult to talk over the noise! We still go there often!!
February 16, 2016|Great Spot!|5|Terrific spot for pre or post show dinner and cocktails. Food was excellent with nice portion size and service was quick.
February 14, 2016|Perfect Valentines' Day|5|My partner and I attended the 50th Anniversary Star Trek concert tour at PPAC on Valentines' Day 2016. As part of the evening, I had reserved a table at Bravo because of it's proximity to PPAC and promise of free valet parking (essential in the city, I think). We walked to and from and I have to say I was not disappointed. The food was absolutely delicious, from the cheese plate all the way to the entrees, and though we didn't consume any wine, the list they supplied was impressive. Prices were expensive but not outrageous given the fare that was offered. My partner had the duck a'laronge and it was succulent; I opted for the salmon and received a hearty portion, and the server didn't mind substituting the starch for another vegetable, which was much appreciated. I wish I could remember the host and server's names but I'm terrible with names; they were both very polite and friendly, and made the evening absolutely perfect. We will absolutely visit Bravo again next time we are in the city.
February 14, 2016|It'a Ok|3|This restaurant was just ok....food was ok but nothing to write home about - it was edible - service had to be told to slow down - got the feeling they wanted us in an out quickly - but not to give you wrong impression - staff was pleasant - would probably give them another try if ever in Providence again
February 13, 2016|great location.   good wine list.  very ...|3|great location. good wine list. very good salads. dessert list could use some improvemnts
February 6, 2016|convenient stop when you're going to Trinity Rep|5|I called to say I was running about 15 minutes late and they were wonderful. They still accommodated us with my requested corner table after about a 20 minute wait. And they were apologetic for making us wait. I had assumed since I was late we would have just had to take a seat wherever available since the place was slammed! Between the play and I believe a PC game at the Dunk every table and barstool was occupied. My only comment regarding the food would be that the lobster club was not as chuck full of lobster meat as I would've liked so I think the next time I'd order something else, but other than that it is definitely a restaurant I would return to and one I'd recommend to others.
February 4, 2016|We had just average Italian food. Nothin...|3|We had just average Italian food. Nothing special. Olive Garden is better.
January 30, 2016|Great after a show!|4|We came in after seeing Cabaret at the PPAC for dinner. Food and service was excellent as usual...love this place!
January 27, 2016|EXCELLENT SERVICE AND FOOD|5|There were nine of on a Saturday night before a show in Providence. Everyone was very pleased with their choice of entree. The server was very efficient and pleasant. Would definitely go back.
