Review Title|Review Date|Review Score|Review Text
February 20, 2016|Great restaurant|4|Great place to have different drinks and eat dinner. We went to eat on a Saturday night. We ordered appetizers and entrees, chicken pate , along with fritters for apps. The entrees we ordered were cod and short ribs, both meals and entrees were delish. For dessert we had the rice pudding , it was fantastic. We also sampled multiple bourbon while there. The staff are hospitable and it was a pleasure to go there. I'm sorry we waited so long to try it...we will definitely return and bring friends.
February 20, 2016|Love this place|5|Excellent for brunch and dinner! The menu is small, but everything on it is amazing.
February 18, 2016|Such nice people! Get the baked alaska- ...|5|Such nice people! Get the baked alaska- gorgeous dish!
February 14, 2016|They more than accommodated four adults ...|4|They more than accommodated four adults and four kids (ages 8months to 13yrs) for a late Sunday brunch. Super nice. Excellent tasting food with perfectly poaches eggs.
February 13, 2016|Cork dorks look no further!|4|Came in from out of town for the weekend... and because the reservation had made online, we were unaware that there would be a fixe menu. However, it was to be expected as it was Valentines Day weekend after all); and that's pretty much my only complaint. The food was outstanding and the wine list was clearly well thought out and very fit for those looking for quality, and deliciousness.
February 13, 2016|Pre-Fix Valentines menu-bummer- but good|5|I wish we knew it was a pre-fix menu as the prices were double for everything. That is something that Open Table should either make note of or put a notification when booking restaurants during holiday's to confirm with the restaurant that there may be a pre-fix menu.
January 16, 2016|Have had better meals elsewhere|2|We went for dinner tonight and were pretty disappointed. The chicken liver pate probably the highlight. I had a beet salad - overwhelmed with beets - and I love them! My husband had the squash soup which was just okay and there was alot of it. There was a crunchy brittle on top that was very sweet. He had the gnocchi for his entree which was good but needed seasoning. I had the chicken which was fine; rice side was just awful. No flavor, no seasoning and an odd combination of rice, grapefruit, herbs and cauliflower. Will not be back.
January 9, 2016|Disappointment|4|I was very disappointed that we were served on very chipped plates. We had invited friends who had never been to Cook and Brown. It was embarrassing to me that the food arrived on plates that clearly should have been thrown out !! Food and wait staff were excellent.
January 2, 2016|ounce of polite goes long way|3|staff needs to just be more warm and inviting. dont talk back to the customer when he asks for something. when you unlock door open it for the women patrons and smile. its a table of 7 you are getting a locked in tip. go above and beyond. didn't this time. food was good but staff needs to be more gracious, maybe female touch would help!
December 31, 2015|Great charcuterie|4|The charcuterie board was fantastic and full of items I would not normally have. Overall great meal and great mixed drinks.
December 4, 2015|The soup was exquisite, steak perfectly ...|5|The soup was exquisite, steak perfectly seasoned, service impeccable... bravo, boys!!
November 13, 2015|Wonderful and friendly service. The staf...|5|Wonderful and friendly service. The staff are professional and very knowledgeable about their current menu, as well as past menus. Food was excellent as well. We will absolutely be returning.
November 7, 2015|Trust the Chef!|5|Went out on a date with my wife. We both ordered the steak and it was cooked perfectly and the meat was great quality. Small menu but trust the chef to put the right ingredients together. Always well designed meals.
October 21, 2015|Delightful|5|I came here for a going away dinner with my boyfriend. The food was amazing. I had gnocchi with apples and squash, and he had the beer/bourbon/burger special. I had a cocktail made with Rye and proseco that both looked and tastes amazing. The highlight for both of us was the charcuterie board which was a mix of pickled vegetables and pates. Our server was also lovely and managed to sell us on a delicious chocolate brownie for desert All in all a wonderful dining experience
October 17, 2015|The service was spectacular. Wish I coul...|4|The service was spectacular. Wish I could remember the server/seeming manager's name because he deserves a raise. He accommodated our change of reservation time, could not have been friendlier, more sincere or more informed and helpful. The food was absolutely excellent despite the limited menu but it was due to the farm to table concept that I truly appreciate. A bit pricy for an out of the way place outside of Providence, but it was a treat!
August 19, 2015|Wednesday BBB|4|"Went there for Wednesday's ""Burger, Beer and Bourbon"". My wife and I tried the two burgers of the night - ""standard"" C&B Burger and an All-American burger. Both were great with the C&B possibly getting a slight edge. We also tried two sides, fried pickles and house fries. It is not needed in terms of amount of food but we wanted to sample the menu; both were nice with the fried pickles being the clear favorite for both of us. The whole package with beer and bourbon made for a great evening in a relaxed setting, Definitely coming back to try the rest of the menu; absolutely recommend a visit."
August 12, 2015|inventive menu, attentive service|5|inventive menu, attentive service. Neat cocktail list
July 23, 2015|Restaurant week - Very Good Food|4|I went to Cook & Brown for dinner during restaurant week. They had really good food. It was a little bit pricey but also solid and I would recommend going there to anyone.
July 22, 2015|We expected a more of a tavern ambience-...|2|We expected a more of a tavern ambience-not as upscale. Just not what we expected.
July 14, 2015|Great food!|5|We had not been to Cook & Brown for a while, in spite of living in the neighborhood, and we were entirely delighted with our experience. One of us took the restaurant week selection, and the other ordered off the menu. The salad and blue fish cakes were inventive and subtle, while the lobster roll my wife ordered zoomed to the top of her very long and exacting list of lobster rolls. The semifreddo berry desert was similarly transcendent. The room was quiet because we are early, but I have gone by many times when it has been jammed. Wonderful place, and cheaper than the other real fine dining possibilities.
July 12, 2015|Sunday Supper is a fun adventure|5|This place has a great ambiance and an amazing bartender. The servers are friendly and acommodating. We happened to go in on a Sunday and ended up sampling their Sunday supper option, which is a family style surprise based on the diner's preferences and restrictions. Though the final product wasn't entirely consistent with the requests we made, it was a fun experiment and everything turned out delicious. We look forward to going back here and trying more of what they have to offer!
July 10, 2015|Great as always|5|"Rarely are we disappointed by one of our main go-to date spots, Cook & Brown. Last night was as satisfying as ever. As a reasonably accomplished home cook myself, my standard for a good restaurant is pretty low - could I make it better? Sadly, many times at other joints the answer is ""yes,"" but this has *never* been true at C&B, and it's difficult to imagine it being true at all. This is gastro-pub raised to the next level. The mixed drinks we got were multi-layered and nuanced and intensely alcoholic - all to the good. The bluefish fritters (don't even think of skipping these) were as light, hot, and perfect as they've ever been. The sea bass entree (which will probably not be there when you go, as they change the main courses very frequently) was a solid piece of well-cooked, almost meaty fish in a buttery broth filled with scrumptious fresh green veggies. The quinoa tabouleh was similarly stuffed with summer greens that made it a great companion for the fish. Portions are not big, but not small either. Service was attentive without being intrusive or solicitous, and for a Friday night it wasn't too noisy at all. I hope C&B never goes away - it's too refreshing."
May 1, 2015|1st and possibly last|2|Overpriced dinner for the portions - $12 for 2 lamb ribs. Baked Orrechiette was edible but nothing special. Grilled Boyden Farms Sirloin Tip Steak was tasty and cooked perfectly but the swiss chard, romesco, and giardiniera was bland. Would not recommend this place for dinner but more like share appetizer and beer/wine.
April 19, 2015|Good for a Sunday night|3|The restaurant that we would have gone to was not open on Sunday night so we decided to try the Public House. Our server was friendly and knowledgeable about the menu and immediately brought us water which had a chlorine taste so we asked for bottled water. I only mention this because at one point while my wife and I were in deep conversation another server came over and filled our glasses with the chlorinated water even though we had a bottle of still water on our table. Now, this wasn't the end of the world and I am sure it was a fluke, but it was part of our experience.On the plus side , the bread was excellent, so was the beet salad and the cod entree was good although a little more spice would have made it that much better. Living on the coast of South Carolina, I am a fan of fried oysters. For my money, Franks of Pawleys Island is the best I've ever had. There was nothing wrong with the oysters at Public House but when one has experienced Paradise, everything else is jejune.Finally, the French Malbec we ordered was tasty but thin; I prefer the high mountain Argentinian malbecs. We would go back some future Sunday as there is always Hope in Providence.
March 18, 2015|Great food|5|I have visited this Restaraunt many times. Each time the food is great. It is worth the trip!
February 14, 2015|A Great Bistro that Can Be a Bit Stuffy|3|"I made reservations at Cook and Brown for Valentine's evening. We have been to Cook and Brown before and it seemed a perfect choice for a wonderful evening. Upon arriving, we were brought to our table on the other side of the restaurant facing the wall. Seeing that the restaurant was only-half full, I asked if we could be re-seated near the window. The hostess told me that I couldn't because I had an ""assigned"" seat. Two other couples asked if they could be re-seated from the same section I was in. The hostess told one couple no and the waitress sat the other couple where they wanted to sit. I was at Cook and Brown for 90 minutes and no one ever sat at the three tables I wanted to move to. It seems like such a small detail, but on this special evening I wanted everything to be right. I cannot think of a reason why Cook and Brown would employ a hostess that didn't understand dining and ambiance. Rhode Island and nearby Massachusetts have a plethora of great restaurants and bistros; many times the only discernible feature is the customer service. And on this night Cook and Brown failed."
January 23, 2015|Favorite in Providence so far|5|Moved to the Providence area recently and have been trying out a bunch of places. So far, this one is my favorite. We have been there twice and will be back. The food is very fresh and local. We tend to get 1 dinner and bunch of apps because you can share easily. Our friends love the cocktails menu, very creative. The inside appeal is pretty sharp. Try it and it'll become your go-to restaurant with guests. My only negative is that the service doesn't pester you, but almost to the point that you may feel ignored. So i gave 4/5 for that.
January 9, 2015|Not sure what changes about this place, ...|2|Not sure what changes about this place, but I've eaten here many times and this was my least enjoyable experience. Was cold, service was inattentive, food was duller than usual...hope it was just an off night for them!
January 1, 2015| Potential|4|I went with my Mother and boyfriend on New Years Day for brunch. We were seated immediately as we had a reservation, however, our table was near the door and up against the window so it was a bit drafty. We started with Bloody Mary's which were excellent and then proceeded to order various food items on the menu. They were tasty, but not served warm as they should have been. The food took about an hour to come out which seemed too long for brunch...I think between the holiday rush and hangovers the staff were nursing things didnt run as smoothly as they do on a normal brunch day. I will check it out again on a regular day and hope my experience is perfect!
November 30, 2014|very quiet but very good|4|We dined at C&B on Sunday evening...with the New England Patriots playing late Sunday at home, the restaurant was very quiet...we understand from the staff that this is generally the case when the Pats play in Foxboro since the restaurant (happily for many of us) doesn't have TV monitors! The food is consistently interesting and well prepared...a real asset to the Providence food scene!
November 23, 2014|The food is creative, perfectly cooked, delicious.|4|"Open Table needs to have space for a comment by the diner when making a reservation such as ""where do we want to sit?"" or dietary needs/allergies, comments I would make when phoning in a reservation. The internet reservation is convenient, but really lacking in serving customer preferences."
November 21, 2014|A surprise!|4|We went here early before a play so not too busy. Food and service excelent. Was getting busy as we were leaving. Will definitely try again.
November 15, 2014|The food at Cook and Brown is amazing- v...|3|The food at Cook and Brown is amazing- very hipster, very different for Providence. We have been here several times and always enjoy the changing menu. In the winter the restaurant is extremely cold. We were seated in the window which is a single pane and near the door which opens directly into the dining room. We were not the only patrons who kept our coats on for the meal. Request a table at the back or check out Cook and Brown on a warm night.
October 24, 2014|Food & Drinks Delicious As Always|4|The cocktails are fun--I always try something new--and the food is fresh, local, creative and delicious. I noticed this time how pricey the sides are. My friend ordered the cod with roasted potatoes as a side dish. He received a little crock with a handful of fingerling potatoes, very simple, and honestly, something that costs about a dollar to make even with potatoes from the farmers market. For this I think they charged $4.50. When you are getting $24 for a piece of fish, you could throw a few little potatoes in. My polenta app with soft-cooked egg was cold in the middle, I think because the plate it was served on was cold. A small detail but for an expensive place it matters.
October 5, 2014|so, ok, we know the owner Nemo, through ...|5|so, ok, we know the owner Nemo, through his Mom, Sharon, so we got some special treatment...but....the food is the food (even if we got some extra treats) and it is beyond delicious. we had sunday supper, which is the chef's choice, prepared for the table (if so chosen) and it was perfect from start to finish with interesting, but not pretentious, dishes. if we lived in providence we would be at Cook and Brown every week.
October 4, 2014|Food is way better than the service|3|We waited 14 min too long to be seated for a table in the middle of the room (with reservations) as well as getting our drinks. I & another at my table loved the Pan Roasted Cod. Hubby enjoyed fried chicken & son loved his Gnocchi dish as well. I have to say Roasted carrots is a better name for their roasted cauliflower & carrots dish since I barely found any of the white veggie as I searched through the trove of carrots filling my plate only to find tiny pieces of cauliflower - a bit of a disappointment considering the harvest of the white stuff I was looking forward too. My son loved his peach cake(?) ice cream dish while the 3 others at our table felt the creamy rice pudding was anything but creamy. Service should be as good as the food.
September 30, 2014|Disappointing|2|Unfortunately almost everything we tried was a disappointment. The fried oysters were heavily breaded and overcooked, the bluefish fritters were lighter but had little flavor of bluefish. Our salads were wonderful, but a tiny portion for the price. ($8.) We shared a pasta dish, which was very heavy and bitter. They were accommodating and let me order something else, so I chose the hand rolled cavatelli dish. Much better flavors, but the pasta was still leaden. I would have rather had store bought pasta! As a consolation, they brought out a scotch egg, gratis, which we appreciated, but were not in the mood for after the heavy pasta. Staff very nice, but will not return.
September 27, 2014|Below average|2|I saw a hig recommendation from food and wine magazine for this restaurant so decided to try it out. I was incredibly disappointed with the vast majority of the meal. The mussels didn't hvae much flavor and neither did the pate. I order the corn chower and what i received was vergetables with 3 mussels cooked in a broth. There was nothing chowder like about this dish. The only appetizer I did enjoy was the bluefish fritters. For the entrees my group order the pork dish with ricotta, the crab rissoto, and the fried chicken. The only notable dish was the chicken. We also order the gnocchi which ended up having a hair in it. Rather than take that dish off of our check, the server brought a drink. when the person already had one.
September 20, 2014|favorite|5|My favorite restaurant in Providence. Always changing and interesting food menu. Great cocktails.
Dined on September 20, 2014|Cozy, unpretentious, and delicious|5|The best part by far about Cook and Brown is the pairing of the atmosphere and the food. On one hand, the food sets a high standard for the dining experience here. With food this good, there are usually expectations of formality, however to my relief this is not the case with Cook and Brown. From the super personable wait staff to the creative but unassuming menu options, and the casual yet hip decoration Cook and Brown makes you really settle in and feel at home. Its this coziness that dominated the entire dining experience and will bring me back for more in the future.
