Review Title|Review Date|Review Score|Review Text
February 26, 2016|Our server, Nick, was very energetic, an...|3|Our server, Nick, was very energetic, and eager to make suggestions on the menu. Good tavern food, and the appetizers were original and tasty.
February 21, 2016|Great first date place|4|The place was overall great for a first date. The waitress was great and super friendly! The food was delicious and good portion size for the price! The menu is small, but I prefer less choices to make a decision easier
February 19, 2016|Great experience|5|My wife took our two sons there Friday night to get away. We were shocked/happy that we were able to get on OT with it. The server (wish I could remember her name) was enthusiastic and seemed to really love her job. The meals were perfect - do yourselves a favor and get the calamari app - the beer selection is really good. Do with they would have had one pale ale on tap, but that is nit-picking, as there were tons of beers to select - bottles and draft. On a street littered with Italian restaurants, Federal Taphouse is a must do.
February 14, 2016|The food is amazing as was our waiter Nick!!|4|It was the second time we had Nick as our waiter. He's so informative about drinks, food, and has great recommendations. Can't wait to go back and ask for Nick!!!!
February 14, 2016|Fun selection of beers. Good selection o...|4|Fun selection of beers. Good selection of appetizers. Great service!
February 14, 2016|Great casual spot|5|We made a last second Valentine's Day reservation here. Complimentary valet made it easy to find a spot on a freezing cold night in a tough parking neighborhood. Seated right away, super friendly service from Johanna. Good, affordable wine and great beer choices, excellent, high class comfort food. Would recommend to anyone and will definitely be back.
February 12, 2016|Friday before Valentines|5|Great place, they take reservations and the food and drink list is very eclectic. Always a good time here. Does not matter what you want to do, have a drink before or after an event, have a nice dinner or just have some apps, drinks and talk amongst friends.
February 11, 2016|Cool place. Brought my college age son t...|5|Cool place. Brought my college age son to dinner and had a good time. Great beer selection, good food and chill atmosphere. The background music was great! Would definitely go again!
January 30, 2016|Disappointing|2|We were very disappointed in our recent dining experience at the FK Taphouse. The food was under seasoned and every dish including the appetizers had under ripe tomatoes in it, the tomato seemed to be a filler to make the dishes seem bigger but it just made under seasoned food blander. The burgers were greasy and bland and the porchetta sandwich was a dry misnomer if I ever heard of one. Sad to see a restaurant that's in the same family as POB have such disappointing food and lazy waitstaff
January 29, 2016|Our GO TO place before a game. Love thei...|5|Our GO TO place before a game. Love their nachos, wings and burgers. Great place to entertain friends and one of the best beer selections in the state! Our server Johanna was fun and she was always there when we needed something
December 31, 2015|Good stuff|4|Been coming here for a while. Always top notch. Great beer and food. Service was good.
December 31, 2015|Our first time there food was amazing!!!!! Love it|4|We know we were there on New Year's Eve, but some aspects of our service was slow. We had a 7:15 reservation and had to wait about 20 minutes at the bar for our table. Not that we are needy customers but it seemed that our server spent more time with the tables that had a bigger party. We will come back the food was amazing especially the dumpings and the lobster Mac and cheese.
November 14, 2015|great vibe:|5|Great food; great service; great atmosphere, and reasonable price. All combined with a fast and friendly valet service makes this restaurant an easy choice on Federal Hill.
November 6, 2015|Federal taphouse|4|Fun atmosphere, great menu with creative, but not unusual ideas, extensive draft list and fun cocktail list. Great service.
November 5, 2015|Wouldn't rush back|3|Food was good. Service was ok. I just wouldn't rush back although I will go back to try the burgers. I miss Providence Prime!!!!!
October 27, 2015|Federal hill|3|The hummass plate was great and no too salty and the breading on the fish and chips was to die for. The service was ok, could have been better.
October 16, 2015|Great spot for upbeat, casual pub like atmosphere|5|Very good and unique menu selections for food as well as drinks and beer
October 9, 2015|The service was good, but the menu is pr...|4|The service was good, but the menu is pretty small. The calamari was awesome! We had a reservation, but they sat us at a table right across from the door. They were quick to accommodate us when we asked to move further into the restaurant, but they were not busy so it was crazy that they sat us there to begin with. All in all, the food was good and the service was also good. However, the menu and place is to small for my liking.
September 26, 2015|Mac n cheese|3|We were seated immediately upon entering. We went because of the advertised selection of craft brews. Really enjoyed the special appetizer fried Mac n cheese. Srevice was a bit spotty.
September 20, 2015|Just ok.|3|We went there about a month ago and did not enjoy the food. We decided to give it a second try because we loved it when it was Prime. Food was ok. It is a huge step down from Prime.
September 19, 2015|Loved it here- particularly enjoyed the ...|5|Loved it here- particularly enjoyed the Thai ribs app and the s'mores for dessert.
September 19, 2015|Unexpected great find|5|We didn't know what to expect, but we were pleasantly surprised. Great food with great service, fabulous wait staff all at reasonable prices.
September 19, 2015|Great place after The Dunk!|4|"Went with my family after seeing a show at The Dunk. Easy access, even nearby (free!) parking, and having the reservation made it easy, even on a busy Sat night throughout the area. The staff/service was superb all around - from the hostess to our server, even the busboy clearing stuff away- everyone really went out of their way to make us welcome and to accommodate two little ones just fresh from Disney on Ice! Some great cocktails, super menu (love the $1 ""Appy Hour"" raw bar!) and the food was fresh and yummy! Great rec by our sever to try the Bullit Bourbon salmon - fantastic! Only drawback was no children's menu, but they'll put together a very nice cheese pizza (not on the menu) if you ask. (See my note about how accommodating they all are!!) One we'll definitely keep on the list!!"
September 12, 2015|Service and food was excellent.  Loved t...|5|Service and food was excellent. Loved the calamari. My husband's steat tips were very tender and our friend loved his Salmon. Would definetly go back.
September 4, 2015|Middle of the road|4|From the review you may think this is a little more fancy; like with clean tables and cloth napkins. It's not. I probably should have guessed that since it's called TAPHOUSE but thought it was going to be better. Good service, ok chow, grunge music blaring, and plain decor. Good beer list. Not expensive. Not a bad find just not what I thought.
August 7, 2015|Nice place|4|This place is cute, very trendy. It also has a nice beer and mixer list. It was our second time there and will add it to our repeat list cause it is that good. Was so glad to see them as a participant in RI Food Fights fetus Calamari Throwdown. Enjoy Foodies.
August 1, 2015|Sunday lunch before flight from Logan|4|Stopped for a quick lunch before leaving Providence for a flight from Logan. Excellent food, nice atmosphere, and terrific service. Will definitely return
July 31, 2015|The food was excellent. We had two appet...|5|The food was excellent. We had two appetizers that came very quick and two alcoholic drinks. We also ordered two entrees that were delicious, one was a special. The last time we were there i enjoyed the Steak Diane but they recently revamped their menu and took it off the menu. I wish they had more entree choices instead of a variety of burgers and tacos.
July 24, 2015|Not good|2|"The best part of the evening was the valet service. We were greeted promptly, but several servers looked at our table as they walked by. The fact that at Friday at 7:30 the place was empty should have tipped us off. No one stopped, even after my inquisitive ""are YOU our server?"" stares. Finally we were able to place a drink order that took forever. The food was average at best and took 25 minutes for scallops and lobster roll. The creme brulee for dessert was awful; we didn't even finish it. Our server was missing for the entire meal, we had to flag down other servers to go and find ours. You can do better elsewhere. We won't be back."
July 13, 2015|Great choice|5|Loved everything about it. The food was good and reasonably priced. I had the lobster roll and it was a generous portion. The waitress was awesome. She was attentive and had a great personality. We sat outside and could hear the street music that plays down the block not was perfect because it wasn't too loud.
July 13, 2015|Just overall average|3|I was really excited but the place just didn't live up to what I wanted. Everything took longer than it should have. But the food was average. The drinks were average. Really just a meh meal
July 13, 2015|Good with Beer Flight!!|3|The food was good with some interesting menu items that are not served elsewhere. The beer list is impressive and a flight is the perfect way to try several.
July 11, 2015|great food and drink!|5|Love this place, have been at least a dozen times, would recommend to anyone!
June 25, 2015|Good food and good beer|5|Great experience at Federal Taphouse and Kitchen. Had the lobster roll which was above average and had a grilled Texas toast bun. Definitely would recommend to a friend.
June 13, 2015|Very very very good food. I had the ribs...|5|Very very very good food. I had the ribs which the meat feel off the bones clean. My girlfriend had the scallops and she said they were amazing
June 11, 2015|Terrific food, great staff, awesome variery|5|We were greeted quickly by a very pleasant hostess. Our server was at our table almost right away with a smile. We ordered a flatbread pizza as a started. Incredible. The menu has so many different options that there seemed to something for everyone (though not sure if they have any gluten free options.) The pace at which the meal came out was perfect, and the meals were delicious, hot and well presented. Can't wait to go back
June 6, 2015|yummy food and drinks. Great service bot...|5|yummy food and drinks. Great service both times I have been!
June 6, 2015|Tried It based on the reviews and it liv...|4|Tried It based on the reviews and it lived up to them!! Food was excellent, atmosphere was great- not too loud- service was fantastic!!! Ask for Johanna, she's awesome!!! Will be back!! 😊
June 3, 2015|Lived up to expectations.  Great pub atm...|4|Lived up to expectations. Great pub atmosphere with better-than-pub food. Antipasto Board was excellent - could have been our whole meal!
Dined on May 23, 2015|Better than your average bar|4|Wasn't sure what to expect here. From the outside, it seems just like your average bar, with an extensive beer and cocktail selection and some pretty good specials; however, the burger was much better than I'd anticipated and the service was really great. Really great music selection and at a volume that still allowed us to have a conversation without yelling. My wife and I actually brought our 7-month old child in a stroller and the patrons were very accommodating. Wife, kid and I all had a great time. Also, this place is located on a great strip in Providence.
May 23, 2015|Amazing food. Came with a group of 4 so ...|5|Amazing food. Came with a group of 4 so we tried a lot of things on the menu. The portion sizes are large so it was easy to share and try a little bit of everything. Everything we had was amazing. The atmosphere is pretty great too. This is on a great spot on Federal Hill.
May 7, 2015|recommended but not by us|2|Our friend recommended this place to us so we hung out and had dinner with her at this place she highly recommended after just going there one time only - Appetizer: Sticky Thai ribs are saucy and falls right off the bone. I ordered Rotisserie Chicken which was moist and half chicken. Most disappointing was the Chicken n Waffles because the waffles were flat and flavors which made it too sweet with a cup of maple syrup it should be either gravy or syrup.
May 2, 2015|The food was incredible. Make sure to tr...|5|The food was incredible. Make sure to try the Thai short ribs app!
April 2, 2015|Only gave noise level a 3 as it was triv...|4|Only gave noise level a 3 as it was trivia night (Thursday) and we were unaware. Not as noisy normally I imagine.
March 21, 2015|Up beat tapehouse|4|It was a very nice place for socializing with friends . the food was outstanding. We liked the Short rib flatbread app. and the baconburger and salmond burger were cook to perfection just the way we liked.
March 21, 2015|I went to Federal Taphouse for lunch on ...|4|I went to Federal Taphouse for lunch on a Saturday to celebrate my friends birthday. The service was great and the food was fantastic. I had a lobster roll and my friend had the fish/shrimp taco's. Yum! I will be back!
March 10, 2015|great rotating craft beers.|4|great rotating craft beers. Things you don't find most places
March 7, 2015|Bad Service|3|We had reservations for 8:45 on Saturday night, we arrived about 5 minutes early, but were not sat for a good 15 minutes, having to stand awkwardly at the entrance, while we could see that our table was ready, it was just not set up, and no one set it up for so long that the hostess finally had to. Once seated, we ordered appetizers, and then were approached by the manager and asked to move seats to accommodate a larger party, we agreed, but then were sat directly next to this large party, and could barely hear each other across the table.
March 7, 2015|NIce couples evening|5|We were looking for something different in Providence and Federal Taphouse fit the bill. It was a little loud at times and the tables are a little tight, but those are the only negatives. Nice decor, service was great, creative menu and good beer list. Would highly recommend and will definitely go again. Nice to have a non-Italian option on Federal Hill.
March 6, 2015|OK...NOT GREAT..|2|Went there after hearing good things from my neighbor. At 7pm on a Friday night, the restaurant was not even half full...that was not a good sign. The service was very good, Danielle, our waitress was attentive and pleasant. Here's my feedback on a few things I tried.. (all star ratings out of 5). Nachos - 2 stars. Thin layer of thin chips, little cheese, little chicken, mostly corn. Tempura Prosciutto Balls - 5 stars Excellent, crispy, delicious Poutine- 3 stars The gravy was way too salty and heavy. The fries did not have enough cheese on them Osso Bucco - 3 stars...the meat was tender, but it lacked robust flavors. I might go back for the Appy Hour. The menu looks good. It might be worth a second look. We'll see.
February 21, 2015|Nice Dinner, great drinks|4|Went for a quiet dinner before evening activities. Food was good, nice cocktail and beer selections. Even though the restaurant filled up while we were there, it was never too loud for conversations and the service never faltered. Would definitely recommend.
February 7, 2015|First time in Federal Hill area!|4|This place was exactly what i thought it would be. Nice atmosphere, good food and our server was very nice and helpful with the selections. The prices are moderate for this area so if you're taking out other people and don't want to get killed in the wallet, it's a good choice! For guys, the beer selections are great and there are lots of wines and cocktails to choose from! Also, i was waiting for a shuttle ride from the hotel i was staying at but i probably should have valet parked. The guys working outside were engaging and professional. I chatted with them a bit while i was waiting.
February 7, 2015|Appetizers were amazing, From the calama...|5|Appetizers were amazing, From the calamari to the nachos, everything was prepared just right. We also shared the meals so we all could try different items . The ribs were unbelievable. We also had steak tips and scallops. None of us were disappointed with anything. Dessert was also tasty with peach crisp, chocolate layer cake and cheesecake. Our waitress Candace was very attentive and the food was served on a timely basis.
January 25, 2015|Sunday afternoon|5|We visited on a Sunday afternoon and had a very enjoyable and relaxing experience. We plan to return again very soon with friends.
January 21, 2015|Nice place|4|We went durning restaurant week for the first time,the service was excellant the menu was great and the food was awesome
January 19, 2015|Truly Enjoyable|5|We had three staff members say hi to us before we even sat! Couldn't have felt more welcomes in this restaurant. Our server, Megan, was knowledgable and so entertaining. The manager came to check on us and he was also joking around with us. Our food, grass fed burger and scalops were out of this world delicious. We felt like the only table in the restaurant due to the exceptional service even though it was quite busy. Not many places still make you feel at home while dining but the staff at this restaurant surely do!
January 16, 2015|Wow. Bad.|1|I'd heard good things, but I'd never come back. The service was fine, but the music was so loud it was difficult to speak. The food. Oh the food. I ordered chicken and waffles with RI Maple Syrup. So the waffles were pale and limp - sent those back. The side of braised swiss chard was cold - sent that back. I think RI Maple Syrup means thick, heat-lamp warmed, flavored corn syrup. The chicken was nicely deep fried, but the batter lacked seasoning. Just awful.
