Review Title|Review Date|Review Score|Review Text
February 20, 2016|Food was OK|2|The food overall was OK, nothing special. The appetizers, in particular the octopus were minuscule and there was not much to share. The duck was too salty and not cooked as it should. The wine list was intensive and the wine we ordered (gigondas 2011) was expensive but worth every penny.
February 19, 2016|High expectations - saved by drinks and desert|3|Headed to an early dinner on a Friday night ahead of a show to celebrate a birthday. Ordered drinks, two salads, two main dishes and deserts. Service was great and food showed up fast (too fast - did not finish salads before main dishes showed up) - Espresso liqueur drink - AWSOME !!! - Bread - nice home baked with Gorgonzola cheese topping - Salad - $10 Artisan Greens- Breakfast radish, cucumber, carrot, shallot, confit lemon vinaigrette Hmm - gritty, like sand in the dressing - one portion was returned uneaten - Manager reassured us that is wast not sand - :) - Main Dishes - (1) $30 Sea Scallops - Succotash, polenta, butternut squash - Scallops seared outside completely raw inside (chef was rushing - 130 degrees, use a thermometer if u can gauge it ) Sent back to be cooked thoroughly - Other than that was a nice dish with complementary ingredients. (2) $27 - Arctic Char Roasted beet barley, celery root, apple, mustard greens - Nice dish ! Fish (maybe 5-6 oz sampler) was medium rare (but I like that), barely was nice . - Desert - Moist apple cake with yogurt - Heaven ! In short drinks and desert were the saving grace of this meal :)
February 18, 2016|Anniversary Dinner|4|My fiance and I decided to try this place since we had heard the food was really good. We dined on a Thursday day and were surprised there were only about 4 parties in a two-level restaurant. This was good for us since we wanted a quiet, romantic setting. We started with three different kinds of oysters that were some of the best we've ever eaten. Then ,we shared the sausage and lentil starter. The combination of flavors in this dish were amazing. I got the duck a l'orange which while I was eating it had great flavor but turned out to be too salty after it settled in. I had three full glasses of water when I got home. My fiance had the branzini which he thought was good but not great. We shared the creme brulee for dessert and were very disappointed. It was some of the worst creme brulee we've ever had. The sugar on top was too burned and tasted that way and the creme was the wrong consistency- too liquid almost like pudding instead of toward the flan family as it should be. We each had a cocktail which were both delicious and wine which was reasonably priced. The service and server were great. All in all a memorable dining experience with good views of the city but not sure how much longer this place will be there considering it was not very busy. We definitely would like to stop by for some oysters and cocktails again.
February 14, 2016|Valentine's Day|5|We have been here several times lastly was Valentines Day. What a great experience, the prefix meal was amazing and service was spot on. Thank you Benjamin!!!
February 14, 2016|A wonderful Valentine's Day experience|5|As out-of-towners we found this restaurant for Valentine's Day. We had a wonderful dinner and the waiter was fantastic. The bar is very attractive, and the food was beautifully presented. We would definitely come again, or recommend it to anyone .
February 13, 2016|Great food, service needs work|4|Valentine's day so prix fixe with limited choice. She had the fish and I had the chicken, both excellent. Bibb salad and calamari starters were a hit also. She had the chocolate torte and I something I else better than that that I can't remember. Service was indifferent. The band was good and not too loud. Its a good room and we would go back.
February 13, 2016|Anniversary dinner|3|Dinner was supposed to be special. My wife called ahead to let the staff know it was our anniversary (also valentines weekend) and she was told we would be able to order off the regular menu if we wished. We were also supposed to have a special table and get a celebratory dessert, none of which happened. My food was excellent but my wife's was below par. We will not be returning.
January 30, 2016|Have been to Garde de la Mer several tim...|4|Have been to Garde de la Mer several times and thoroughly enjoy the ambiance and food. This particular Saturday evening the service was very poor....perhaps a new waiter? Forgot my appetizer while my date had his chowder and delivered the bill before the dessert menu. Also had to ask if there were any additional specials on the menu. Definitely not the norm for this establishment. Service is usually wonderful. And we love the bar!
January 29, 2016|Usually love this restaurant.  This past...|4|Usually love this restaurant. This past visit was a bit of a letdown in terms of the food (service and ambiance were great). The rolls were stale, the special appetizer (Arctic char with blood orange) was TINY, and the special entree (short rib) was very dry. On the plus side, the calamari was terrific as always - I think it's the best calamari in Rhode Island - and the creme brulee was excellent.
January 16, 2016|Wonderful Addition to Providence|5|I had seen Garde de la Mer appear over a year ago, with little or no fanfare, announcements, or word of mouth. The location looked gorgeous, but the prices were a little higher, and without any particular special occasion in mind, I noted it for some indeterminate future visit. I'm sorry that I've waited so long to dine here. The food was amazing, the decor is beautiful, and the service was perfect. I came for restaurant week, and the marketing worked. I'll be sure to frequent this establishment often and will recommend it to anyone who will listen.
