Review Title|Review Date|Review Score|Review Text
ays ago|Special Night|5|We celebrated our 40th anniversary last week at Hemenway's. We were escorted to a nice table with scattered rose petals and treated to champagne. Several staff members congratulated us including the manager. Our server Diane was personable and attentive. The lobster bisque was delicious and the calamari was done to perfection. My swordfish was moist and my husband's seafood pasta was tasty and full of treasures from the sea. I am glad I had room for the Blondie dessert as it was a great ending along with good coffee. We truly had a great night.
February 25, 2016|We had an excellent lunch. I had a sword...|5|We had an excellent lunch. I had a swordfish sandwich, which was an open-faced sandwich with perfectly grilled swordfish, arugula and tomato. The staff at Hemenways is always helpful and although our waitress brought me the wrong vegetable, the one I got was delicious, so I didn't mind.
February 24, 2016|I took my friend from Canada here tonigh...|5|I took my friend from Canada here tonight and had probably the best meal I have had in a very long time! The staff was amazing! The food was amazing! And Trevor our waiter was amazing! I have a scallop allergy and multiple staff members came up to me double checking everything I was having was ok. They went above and beyond the call of duty. The meal was out of this world and my friend can't wait to come back to Rhode Island to come back here!
February 20, 2016|Birthday dinner, Sat. 2/20/16|5|Went for my sister's birthday, four sisters together. The food was very good, the drinks were very good, no complaints at all by any of us. Oysters and Littlenecks were so fresh, we would definitely go back. It was loud, but we were lucky we got a window seat at the end of a row so no noise on one side of us. It was a Saturday evening so the noise was expected. The service was excellent, so sad I can't mention the woman's name, I forgot but she was great even though she was so busy. Would highly recommend. And will return.
February 20, 2016|The epitome of excellence in a dining experience!|5|My boyfriend and I went for dinner on 2/20/16 and although we could only get a reservation at 4:15 p.m. we decided it was okay to have an early dinner. Our waiter was Ian and he was very professional, attentive to our needs without being intrusive, and at the end of the meal brought my boyfriend a complimentary dessert as I had told him the dinner was for his birthday in the following week. The ambiance of the restaurant is upscale dining with a twist of professionalism while coupled with a flair for courteous service making the customer feel as though they are there to be served! The food is beyond comparison. We ordered different items to sample the flair of the chef's ability to provide the palate with different tastes and everything surpassed our greatest expectation. Some may think the prices are high but if you think about the price in comparison to the service and the quality of the food you receive, the prices are modest in comparison to some eating establishments. I know we will go back but when depends on where we are at any given time. I just want to give a special thank you to Ian. I have eaten at five-star restaurants across the country in the last 25 years and Ian is the best waiter I have ever had the pleasure to have attend my table. Thank you!
February 19, 2016|"Good food 
Waiter was excellent 
Love th..."|5|Good food Waiter was excellent Love the atmosphere
February 18, 2016|Very good business dinner|5|We utilized Hemenways as a destination for our business dinner and we are very glad we did. The service was excellent. Our server, Shelia, was attentive, friendly and knowledgable without being intrusive. The food was excellent and the noise level was perfect. We didn't have to shout to be heard amongst ourselves. Everyone in our group was impressed with the meal and the restaurant as a whole. We will definitely be back.
February 17, 2016|Another great evening.  The food and ser...|4|Another great evening. The food and service were good to great as usual. The menu features were outstanding. The daily fresh fish choices were amazing. You cannot go wrong, either at a table or dining at the bar or the shellfish bar....its all good!
February 14, 2016|Great night out!|5|We had a wonderful meal and our server Allie was attentive, professional and just fantastic. What a great meal and night out with our family. We can't wait to go back!
February 14, 2016|Excellent service!!!!! Food was great!!!...|5|Excellent service!!!!! Food was great!!! Table is a little small for two.. But overall experience it was great!!
February 13, 2016|The food and service was awesome.|5|The food and service was awesome.
February 13, 2016|They did a great job on a busy V-day weekend.|5|"The food was amazing! The service has always been great and remained so. But the chefs have upped their game. The food has taken on a creative & native touch. I had a great ""RI chowder"" and a simple white fish that was nothing short of amazing. Simple did not mean plain when presented for dinner. i normally do not have dessert but this time the personal sized homemade Key Lime pie felt like it was made just for us. It felt like we had a very special Valentines dinner with a personal server and cook just for us, instead of being another set of people on a busy night."
February 13, 2016|Both my husband and I went to have a rom...|5|Both my husband and I went to have a romantic pre Valentines Dinner. I have to say the service was excellent. Out waitress was so attentive even though the restaurant was very busy as it was a Saturday night. The food came out it was presented so beautifully, almost to good to eat. It was much more then I had anticipated getting for food. I dined on the Lobster Mac and Cheese and my husband tried one of the specials of the night, the Veal . I look forward to going back to this restaurant again and trying something new or even having the same meal I had as it was excellent.
February 12, 2016|Great food and service|5|I have been coming to hemenway's since 2011 thanks to my wife who introduced me, NOT one single disappointing experience. Their seafood is always fresh(hint, hint.. We love seafood), all plates are cooked to perfection and the service is amazing, always going above and beyond.
February 12, 2016|Amazing food and wonderful staff. My onl...|5|Amazing food and wonderful staff. My only complaint would be the noise level. It was the Friday of Valentines weekend so it was very busy. We had to talk loudly in order to hear each other. We come here often enough and will definitely come again!!!
February 6, 2016|Wonderful experience for all of us!|5|We were celebrating an important family event and Hemenway's was THE place to dine. Our server was attentive, but not obtrusive. The food was wonderful-from the lobster bisque and N.E. clam chowder, entrees of swordfish, rib eye, and the tuna, finishing up with the cream brûlée, key lime pie and chocolate dessert. We will be back! The restaurant was even able to accommodate special dietary requests.
February 6, 2016|We had company from NY and they just loved it!|5|We had company from NY for lunch and choose Hemenways because it is always consistently good. Well weren't disappointed. Our guests loved the restaurant and the food! We had the pre-fixed lunch menu with choice of soup/salad and entree and coffee and delicious cookies. We had plenty to eat, the food was hot and of great quality! Thank you!
February 3, 2016|Always a pleasure|5|You can always count on Hemenway's for a business lunch. They are professional and courteous to guests. Food is always great.
January 31, 2016|Absolutely wonderful!|5|I have been here before..always excellent. My friend and I went after PPAC. We got a series of apps and salad..scumptious...oh so good.
January 30, 2016|Service|4|Food and service are always excellent however service was very slow during this visit. The waitress did mention that they were working off a new menu. The manager came by to apologize for the food prep taking so long. This was appreciated.
January 30, 2016|I have been dining at Hemmingway's for o...|2|"I have been dining at Hemmingway's for over 20 years and when asked what my favorite restaurant is I've always responded with ""Hemmingway""s"". It has been a year or so since I have visited and much to my dismay it was not a pleasant experience this time. Arriving early for our reservation, we decided to get a drink and appetizer at the bar. The scallops and bacon we ordered was cold and the shrimp was a little limp. After settling our bill of $120.00 we were seated at our table. The four of us placed our orders starting with fried calamari which would of been delicious if it was warmer the just above room temperature. I ordered 3lb lobster with mashed and again my food was barely warm. Same with the others in my party. Our waitress never came back during our meal, not even with black pepper. This is the first time I have ever had a bad meal at Hemmingway's. Not sure if I will be returning as I can spent my $420.00 and get better service at a number of restaurants in the city. I would also like to mention that our reservations were at 5pm so it was not very busy."
January 29, 2016|One table was loud obnoxious and inebria...|4|"One table was loud obnoxious and inebriated. While I'm up for a good time, they were screaming and cursing up a storm. I complained to manager expecting him to ask the table to bring it down. Instead he found it ""amusing"". Ruined our romantic night"
January 28, 2016|AMAZING|5|I planned a trip to Hemenway's for my a date night for my parents. They enjoyed it and could not stop talking about how amazing it was. They cannot wait to go back for another romantic date night.
January 24, 2016|a sure value|5|everything was good. steamers: top-notch. chowder, bisque: yum. seafood salad: generous and fresh.
January 23, 2016|Special Occasion Made More Special|5|Four of us went to a Saturday lunch at Hemenway's to celebrate my marriage to my partner of 19 years - two brides, one mother, and one minister. The staff had arranged our table in a quiet, scenic corner, decorated table with rose petals, and provided complimentary sparkling wine! They congratulated us warmly and could not have been more friendly and accommodating - even in a snowstorm that meant that two of our anticipated dining companions couldn't join us. Food was delicious, service spectacular, ambiance ideal. STRONGLY recommend for LGBT-friendly establishment and special occasions.
January 22, 2016|Dined here during Providence Restaurant ...|4|Dined here during Providence Restaurant Week. Service was prompt and attentive, but not intrusive. Dinner offerings were well presented, adequate portion sizes, and well prepared.
January 22, 2016|Our server Bill and really everybody wer...|5|Our server Bill and really everybody were wonderful. I had been before but my husband and my child hadn't....they loved it!!! We had a great night... Our meals were scrumptious and the dessert was so delicious.... key lime pie...
