Review Title|Review Date|Review Score|Review Text
ays ago|Great place, great food!|5|Great place, great food!
February 13, 2016|The naans are delicious, and I recommend...|5|The naans are delicious, and I recommend all of the robust curries
February 12, 2016|Twas the night before Valentine's Day...|5|It was the night before Valentine's Day and people just kept piling in. The staff at India never lost their cool or professionalism. Both the owner and manager were kept busy greeting and seating. Our food was scrumptious as always and the service was excellent. I love this place....it's one of our go to restaurants and they never disappoint.
February 6, 2016|Love everything about him this place. Ca...|5|Love everything about him this place. Can't wait to come back in the warmer weather and sit in the lit patio area.
December 26, 2015|solid option|4|Once again a good experience @ India. Not the best service we have enjoyed there, but always great food with pleasant and lively atmosphere. Let alone the wonderful smells. Will return. Hopefully the service will be on par w/ the food.
December 24, 2015|Everything was excellent about this plac...|5|Everything was excellent about this place! In particular, the variety of choices was fantastic – especially for vegetarians!
December 11, 2015|Great food great atmosphere great servic...|5|Great food great atmosphere great service
December 5, 2015|Best yet|5|The food & service was the best yet. Everything was perfect.
November 29, 2015|They did some changes, nice kitchen make...|5|They did some changes, nice kitchen make over. And some new staff. Went there Saturday January 30th. Good experience as usual. Keep up the good work. AJay and new team. Very nice job.
October 24, 2015|Mixed results|3|My friend got the spinach saag and liked it very much. I got the shrimp jehlrazi (sp?) and was disappointed to find that not only were the tails still on the shrimp (a common failing in restaurants) but the dish itself, though spicy, had virtually no flavor at all. Nonetheless, I'll give this place a second chance because of the pleasant atmosphere, good service, and convenience to the Gamm Theatre, and try the chicken tikka masala, my usual test dish.
September 26, 2015|It was a super busy night- and they did GREAT|5|It was a super busy night at India- the first chilly Saturday evening of the fall season. We made a last minute reservation using OT. They got us in, service was great and the food was wonderful as always. This is a great place to go- and they prove it to you every time you visit. We love all of the new menu items.
September 9, 2015|We love India!!!!!!!!!!!!!!!!!!!!!!!!!!!...|5|We love India!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!
