Review Title|Review Date|Review Score|Review Text
ays ago|Great atmosphere.  Food was good.  We or...|5|Great atmosphere. Food was good. We ordered way too much so took it home and had it the next day. Will go back again.
February 23, 2016|Glad to have the opportunity to try this place|5|I've patronized nearby Oki's my entire life, and while my newfound love of Jacky's hasn't diminished my enjoyment of Oki's, I'm glad that OpenTable opened up this opportunity to try something new. I will absolutely go back again. The place is GORGEOUS. I loved the outdoor manmade stream that ran under the entrance with see-through panels. Music in the dining area is soft, so I can actually hear my softspoken boyfriend. Food is fantastic. The hot n' sour soup is among the best I've had. The eel sushi was great, as was the gyoza.
February 14, 2016|5 Star Sushi|5|I've been to Jackies numerous times and am never disappointed. The staff is always accommodating (if we are a larger group) and the food is always perfect!
February 13, 2016|Spent a wonderful night here. Service wa...|5|Spent a wonderful night here. Service was fantastic and quick. Server always checked in and made sure we were all set. Sushi was amazing. 5 stars in my book.
December 31, 2015|Excellent|5|My family and I had a fabulous time and our dinners were excellent! !!
December 31, 2015|Amazing service and the drinks were fant...|5|Amazing service and the drinks were fantastic!
December 24, 2015|Excellent|5|Excellent food and service. Perfect for our small group for a Christmas Eve dinner out.
October 10, 2015|Beautiful restaurant, certain menu items were good|3|This place is beautiful and certain items are very tasty (i.e. lettuce wraps are amazing, great sushi rolls). However, the entrees were disappointing. Specifically, I was disappointed in size of the portions and there was nothing amazing, flavor-wise, about the entrees. The Peking Duck was very dry and lacked flavor, the fried rice, vegetables, and fried noodle dish were very bland compared to the Boston Chinatown restaurants . I would come here for the appetizers and sushi, but nothing else.
September 26, 2015|Went for my mom's birthday. The food was...|5|Went for my mom's birthday. The food was amazing! Definitely coming back
September 6, 2015|A Solid Option in North Providence|4|I've dined at Jacky's in North Providence several times. Food quality and sushi are always very good. The decor is modern and fabulous. Restaurant wasn't busy at all, which was a bit of a surprise. Service was just OK. Waitress did not appear that familiar with the menu and we needed to direct traffic to get plates to the right person at the table. Steak tips are my go to hot item, are always delicious, and always come home for another meal.
September 1, 2015|Good food and great service!|5|Good food and great service!
August 28, 2015|Service slow tonight. Usually very good|3|Went on a whim on a Friday night. Hostess lacked expression. Walked us to our table and immediately walk away without comment. Took quite a while before someone came to our table. Waiter quite but polite. Seafood egg drop soup was not very good. Rest of the food was quite good. Would definitely return. Maybe just a bad night.
May 27, 2015|The setting is perfect for a quick lunch...|5|The setting is perfect for a quick lunch or a romantic dinner. It's one of my favorites
May 10, 2015|My wife wanted to go here for Mothers Da...|5|My wife wanted to go here for Mothers Day. They are high energy and really into service. The food is always good and we love the ambiance
March 6, 2015|First visit. Glitzy decor, reasonable prices|3|Worth a visit, this year old spot is a glamorous setting, sushi was good not great, prices reasonable, service from Gabrielle excellent, management attentive.
February 14, 2015|Lovely, but|4|The ambience, cocktails, and service were outstanding. My only complaint was my lobster dinner had shell on every bite, thereby necessitating using my fingers to eat it. But it was covered in slick sauce, making it quite difficult to eat. I would recommend this restaurant, but advise you skip the lobster.
February 14, 2015|Best sushi around, plus the place doesn'...|5|Best sushi around, plus the place doesn't smell fishy!
January 31, 2015|The food was horrible, so mad I wasted $...|1|The food was horrible, so mad I wasted $110 on the worst Chinese food!
December 25, 2014|Food was cold|3|The overall experience was ok. Our server was nice and attentive but the food was cold and they made a mistake in the kitchen which in turn we got our appetizers and food at the same time. We probably won't go back there. We decided to have Christmas and my birthday there because it was just the two of us, my boyfriend and I. Would've much rather have gone to a place in providence.
November 28, 2014|Fabulous evening spent with Family Gold .|5|Fabulous evening spent with Family Gold - delicious food, awesome service and dining experience with small, medium or large party or family. Highly recommend!
November 19, 2014|JACKIE'S GALAXY - OUTSTANDING|5|Jackie's new digs on Mineral Spring Avenue in North Providence, Rhode Island is a wonderful dining experience ! The food is exemplary, service and attention with a smile and efficiency, a full dining menu and savory food to enjoy. ...it does not get much better than that for Asian dining. Our 4th time as dinner guests was as good as the 1st time !
November 15, 2014|absolutely amazing|5|The food here is amazing. We were in a group of four and we went to town on the various sushi offerings. Really nice atmosphere, service was very good, probably one of the best experiences we've had at this type of restaurant. It's worth going here just for the sushi pizza. It was so good we ordered another one after finishing everything else.
