Review Title|Review Date|Review Score|Review Text
February 27, 2016|Exceptional restaurant|5|Once the initially slow service got rolling, everything was great -- atmosphere, food, wine, and service. Exceptional.
February 27, 2016|Love this place!|5|Every meal is a delight, setting is lovely, waitstaff is attentive and winelist/cocktails excel! I love the salads, steaks and special entrees and have never had a bad meal. The waitstaff is well-versed on the menu and offer excellent suggestions that they only give after asking what you're looking for....nothing rote. Not cheap but excellent value for the experience you get!
February 20, 2016|Duck to die for|5|I loved the duck with its four preparations including an egg. My companion thought the filet was perfect (he likes his meat rare) perhaps one of the best he has had. Did I mention the very fresh clams on the half shell: a perfect beginning.
February 17, 2016|Gourmet Food at Special Value|5|Every Food item in their Special Value Pre Fixe Menu was delicious and extra wonderful.
February 17, 2016|See Below|2|See below as I do not want my concerns to be in the public domain
February 14, 2016|Fantastic Valentine's Dinner|4|My husband and I were seated at a cozy table for two for dinner. The sparkling water and our cocktail/wine took a bit of time to get to us, but the waiter was friendly and knowledgable about the special menu and vegetarian options for my husband. The food was prepared expertly and the drinks were outstanding. I enjoyed the Down Island cocktail and a baked stuffed lobster. The accompanying green beans and fingerling potatoes were the best I have had in a while - cooked and seasoned perfectly. My husband loved the tomato soup and gnocchi. We were mistakenly brought bread and entrees after we had eaten our meals - they were for another table. Valentine's weekend can be tough on servers though - I used to waitress and understand. I would certainly go back for dinner again.
February 14, 2016|Valentines dinner|4|Glad to have made a reservation through Open Table. Valet parking, coats were taken by the host. We were seated promptly on arrival. Staff was warm and friendly. The food was excellent, the duck breastfeeding and grilled swordfish were excellent. Was hoping for Sakonnet Oysters, but they didn't carry that local faire. Overall excellent meal and services!
February 14, 2016|I was looking forward to this evening. I...|3|I was looking forward to this evening. I took my family for a dinner. We ordered risotto, beef short rib, pork chop, tomatoes bisque, sea food plate, desert for all of us. I had very high expectations. Only pork chops and bread pudding was worth of money. I am sorry to say this, but i paid over $200, and it was not worth it. I wish I went elsewhere. Maybe it was not the right day, or right choice of food, but... 3 of my friends asked me if i would recommend this place, and I said NO.
February 14, 2016|Careful of your Steak order|5|Ordered 2 Filets, med-rare, both came out well. Was Valentines, so we ate them anyway. Tasty..but I like then NOT well done. Didn't complain, it took a while to get them to begin with. But overall, I would go back...I would just be more specific about what med-well is.
February 13, 2016|Great food, good service|4|Everything we saw in the restaurant looked exceptional, and what we ended up ordering didn't disappoint. The short rib was outstanding, and the sides with both of our entrees were surprisingly complex. My only complaint was that the waiter did not give us much guidance with our choices, telling us everything was delicious, and was a bit unfamiliar with the wine list. Will definitely go back.
