Review Title|Review Date|Review Score|Review Text
ays ago|Great place -- if you can handle loud noise|4|Food was magnificent. Our server was outstanding. Young man who delivered food not so. But the bar scene was loud and obnoxious and the bartenders seemed to only encourage the bombastic atmosphere. Fun for them. Not for those of us who came to have a nice meal.
February 27, 2016|Great wine selection, friendly service, ...|4|Great wine selection, friendly service, excellent coq au vin--creme brûlée was just o.k.
February 26, 2016|Drinking were made quickly and wicked de...|5|Drinking were made quickly and wicked delicious! The duck and chicken were moist and flavorful!
February 19, 2016|Very Pleased from host to dessert.|5|We came for a romantic anniversary and asked for a cozy table. We were asked if we would like this table which would have been fine or if we could wait a moment we could have a nicer table. We did and enjoyed a wine at the bar and had a great meal. Thanks.
February 17, 2016|Good food delicious|5|Love the chicken staler. Crab cakes were delicious. Service was great!
February 14, 2016|Always wonderful|5|I am a bit biased here since we had our first date at Parkside, but it is a great restaurant. We always have a wonderful meal. This year we once again went for Valentine's Day the special menu was wonderful and the choices were varied. I also ordered a drink and the waitress asked me what I wanted and she worked with the bartender to make a really really good drink. All in all it was a wonderful evening.
February 14, 2016|Slipping|4|"The food used to be excellent. It is disappointing now. The duck was not bad, but not wonderful. The pork was boring. The creme broulee was really bad. It had t|So urned. We had to send it back. The carrot cake cheesecake was interesting, but not very good. The substitute for the creme broulee was a flourless chocolate cake which was wonderful. The coffee was not very hot. In fact not very warm. Nuts! The service was outstanding. So sad the food is mediocre. We loved this place. Now we have to find another."
February 14, 2016|Loved it!|5|A great place and our go to for a night out! We've been going here for a few years now and never been disappointed. The manager, Adam is a class act as is everyone else who works there from the bartenders to the waitstaff etc...
February 13, 2016|Our favorite restaurant!|5|The food is outstanding! Denis is the best waiter ever!
February 13, 2016|Great Find not your typical Providence  Restaurant|4|First time at Parkside it was Saturday 2/13/16 if you recall this was a - 20F evening. We're so glad we did not wimp out as we had a wonderful time and the Valet was a welcome feature as well!! The restaurant reminds me of a French/Euro eatery with quaint atmosphere which I really like it was bustling at a good noise level. Our meals were excellent my wife had the filet tenderloin and I had the pan seared Salmon both were the best we ever had!! our kick start Martinis were perfect and our wine choices were excellent as well. We split a crepe suzette made with Grand Marnier awesome and a great way to end a perfect evening and meal!
