Review Title|Review Date|Review Score|Review Text
February 27, 2016|Very good dinner before theatre|4|Very good dinner before theatre
February 26, 2016|The food was very good. The flavors were...|5|The food was very good. The flavors were a refreshingly different taste that left me very satisfied. And while it was rather loud it never became overbearing and was a testament to the relaxed and inviting atmosphere. Service was great from valet to management.
February 26, 2016|Best Pizza|5|Best pizza I've ever had in my life. Great spot, but be sure to make a reservation.
February 21, 2016|PizzaPerfection|5|Another Superb visit to Providence Coal Fired Pizza. Our App, Cocktails, Pizza and Service were excellent
February 21, 2016|Fantastic pizza steps from performing arts center|5|In and out quickly, and great coal fired pizza. Perfect before the show we attended 2 blocks away.
February 19, 2016|Excellent wings, pizza and 2 Noreasters ...|5|Excellent wings, pizza and 2 Noreasters each for drinks. One criticism is that I made a reservation 4 hours ahead, arrived a few minutes early and when our time was up, we were offered a high top or we could have to wait for a table. We took the high top (and glad that we did), but we're not happy with the way the hostess presented it considering that we have ample notice via OpenTable.
February 19, 2016|Food and atmoshpere great. Service was sub par|4|Arrived there just after 5:00 and the valet was no where in sight. Finally dropped my party off and parked on the street a few blocks away. Food was great but waitress was a bit rude and not very attentive
February 14, 2016|pizza|5|Thin crust pizza with mushrooms and ricotta was awesome as was the spinach and ricotta dip. Service was good, environment was good, solid choice. Would definitely come back here for pizza again.
February 12, 2016|Awful service. He was not attentive and ...|1|Awful service. He was not attentive and did not give our table any attention. The waiter didn't even notice we didn't order our meal yet and took our menus away. Didn't even take every guests order and tried walking away. Not happy.
February 12, 2016|Always great service and the food is qui...|4|Always great service and the food is quite good.
February 6, 2016|Great time|4|We had reservations but arrived early so we had a seat at the bar. The bartenders were so personable that we decided to stay where we were. They recommended the pizza special of the night and it was fabulous. The house special wings were delivered quickly and were delicious. Will definitely be back!!!
February 6, 2016|Not Good|1|If I burnt a pizza at home, as bad as the one I ordered, I would throw it away. If you like the taste of burn, you'll love this pizza. The bottom crust was totally black but when I pulled off the crust, the dough was undercooked. Guess I'll stay with the ordinary, old fashioned oven baked pizza, that's cooked well and is crispy and tastes so good.
February 6, 2016|Great wings and pizza!! Also made reserv...|5|Great wings and pizza!! Also made reservation for after a PC game and sat down as soon as we arrived. I'll be back!!
January 30, 2016|Wings and Pizza|5|If you're looking for a healthy pizza and wing combo, with great ambiance and service, look no further. This place is by far the best pizza place in all of Providence. There selection of pizza's are amazing and the specials they offer you can not compare to other restaurants in the area. If you don't like pizza, don't worry they have plenty of other selections your typical pizza joint would have. The bar area is beautiful and they have a back area to sit, eat and watch the pizza's get made.
January 30, 2016|Great spot for Excellent Pizza|5|I have been to both the Providence and North Kingstown locations - they offer an outstanding choice of awesome pizzas! Staff is great, ambiance is fun. Love to watch them making the pizzas. Always a first choice when going to PPAC!
January 30, 2016|Great Pre-show Lunch Venue|5|Great place to eat lunch before a 2 PM show at the PPAC.
January 29, 2016|Great food and excellent service.  We ha...|5|Great food and excellent service. We had the wings and goat cheese appetizers and then a few pizzas which was all excellent. Drinks were solid. Would highly recommend it.
January 29, 2016|Great place for families or for night ou...|5|Great place for families or for night out with friends.
January 26, 2016|Reservation delay|3|We had a reservation for 6:30 and had to wait 20 mins. Bus staff seemed clueless about which table to set next. Plenty of open tables but still had to wait. We were taking clients there for a basketball game and one was a diabetic who needed to eat very soon. He was cranky but we dealt with it and he did not make too much of a fuss. The server and our food were fabulous!!! Been here 10 times and this was the first time with an issue of any kind.
January 26, 2016|Can't wait to return|5|Food was absolutely delicious. We were a party of two. We ordered an arugula salad, spinach ricotta dip and a margarita pizza. Our server was friendly and efficient. We made a reservation to return before we left!
January 24, 2016|Excellent Pizza!|5|"My wife and I, New Yorkers, are frequent visitors to Providence. Pizza is my favorite food and it will not be astonishing for others to read that we New Yorkers can be a tad arrogant and geocentric when it comes to pizza (and maybe a few other things too); ""nothing comes close to NYC pizza!."" We've tried several recommended places for pizza by Providence locals, but PCFP keeps its place on the top of the list. The pizza crust is outstanding. Also, the side tossed salad was more than ample and very fresh. Highly recommended."
January 22, 2016|The pizza was extremely good and I would...|5|The pizza was extremely good and I would definitely recommend the coal fired wings!
January 22, 2016|The pizza was really great! Very unique ...|5|The pizza was really great! Very unique and delicious combinations.
January 16, 2016|Great After even at the Dunk|5|Great place to go before or after a game. Great food and service.
January 3, 2016|Great Pizza|4|Great Pizza and waitress. We had the special and chicken wings. Great meal
January 2, 2016|Best Pizza I've had in a Long Time!|5|If you're not in the mood for the thin airy crust at Fellini's or the thick and substantial crust at Caserta's, but crave something in between, a chewy, crispy pie with some out-of-this-world toppings - look no further. My husband and I split a pizza here on a saturday with the intention of taking some home, which did not happen. In fact, we agreed we could have easily eaten another one, haha! Well worth the trip.
January 2, 2016|perfect lunch|5|this was our 1st time to pcfp and will not be the last. we choose to have lunch before going to the providence college mens basketball game. the service was great, the food very good and the atmosphere was very up beat.
January 1, 2016|Limited menu|3|I didn't realize that the menu is basically limited to pizza and a few appetizers. The food was good, just not enough variety for me. My grand daughters loved it, so a good place for kids.
December 23, 2015|Post theatre|5|Made a reservation for dinner after Trinity Rep. Staff was courteous the table was ready, we were a couple of minutes late and they did not mention it. Food was good the wings had been mentioned by other reviewers, we found them tasty but a little salty. The pizza was great, thin crust, toppings were fresh and well paired. We had kids with us age 11-18 and the atmosphere was appropriate for this age group. The service was quality, would recommend to friends.
December 19, 2015|Great food = great time.|5|This was probably my 4th time being to Providence coal fire pizza. The food did not disappoint and neither did the drinks. I've never had anything but a great experience with the wait staff. They're always offering suggestions for drinks and food. Just an overall great place.
December 19, 2015|Best Wings Ever|4|Sure, the pizza is good and the service is good, but it's the chicken wings that are beyond compare. Be sure to smother some pizza crust with the carmalized onions!
December 18, 2015|Delicious|5|Great food, friendly service, cool cocktails, love the atmosphere. Will definitely be returning.
December 13, 2015|Excellent dining experience|5|Although we had updated our reservation to include four additional people here on OpenTable the restaurant did not receive the update; nevertheless, the manager was very accommodating and made sure we had a table large enough to handle our large party of 14. The waiter was adept at making sure we had everything we needed and giving us the time to enjoy catching up with old friends and the great food. From the appetizers (the chicken wings were amazing!!) to the salads and the pizzas, each course was outstanding. Everyone at the table commented on how much they loved what they ordered. I had only been here a few times and I was a little unsure about how it would be with such a large group; everyone in our party had a wonderful time and I highly recommend it for large and small groups! Thanks for a wonderful evening!
December 13, 2015|the food and table service were excellen...|4|the food and table service were excellent. .. the hostess was not good at all. We gave our name as we entered, she enver acknolwged us just gave the menus to someone to show us to our table Very poor.
December 13, 2015|Great find!|4|We found this place after attending a show at Trinity....now whenever we go Downtown for any show we make it our go to place....we are looking forward to trying the newest location as well. Food and service are always good!
December 5, 2015|Great food and good service.|5|Valet parking is great, especially if you're going to a show or concert. We were seated at the pizza bar, fun to watch and the chefs are friendly. Pizza fantastic, The Rocket was delicious with the goat cheese & roasted veggies for an app. Our waitress forgot us for a moment, but the pizza chef noticed and grabbed our pizza. No problem. A little noisy on a Sat. night, very busy. Nice people all around.
December 5, 2015|A great first experience|4|We were looking for a reasonably priced lunch in downtown Providence. This restaurant is spacious, the service was great, and the food is well presented, tasty, and served fresh and quickly. We would definitely return if we were in the area.
November 27, 2015|Great wing|4|Pizza is on the expensive side but very good. Our waitress wasn't exactly inviting.....she had a smug look on her face like we were bothering her....
November 27, 2015|Great spot in Providence for pizza|4|Excellent atmosphere. Great selection of Pizza, draft beer menu is good, selection could be a little better. Our server could have been a little more upbeat and enthusiastic, just seemed like she would have rather been someplace else. Overall good place for coal fired pizza.
Dined on November 21, 2015|better than i remembered|4|i ordered a build your own pizza and it was great. i got a caesar in hopes that i wouldnt eat too much pizza. couldnt stop eating either......
November 21, 2015|Excellent food and service|5|Excellent food and service
November 21, 2015|Great pizza|4|We visited for the first time this past weekend. It was a busy Sat. Night with a PPAC show and PC game scheduled. We had a 5:25 reservation and where seating promptly and out the door with an hour. The pizza is very good- I am from New Haven so am rather picky about my pizza. The crust is thin and somewhat chewy. We got a meatball pizza and a Margarrta. Both very good but meatball better. We ended with the cannolis. We will go back for sure!
November 21, 2015|small size pizza, greasy, expensive, rus...|2|small size pizza, greasy, expensive, rushed service, overated
November 20, 2015|Mills|4|Nice little fine within the federal hill area. Would come back again
November 17, 2015|yummy conrad, boring caesar|4|the conrad pizza was very delicious. it was a little overdone but I like pizza that way. the caesar salad we shared was mediocre at best; little dressing and browned romaine, croutons seemed stale.
November 15, 2015|Great place for quick eats before or after a show.|3|Nice place, good food and bustling atmosphere. Not fine dining but great for quick eats before or after the show.
November 15, 2015|Great pre show dining spot|5|This was our first time at Providence Coal fired Pizza. We loved the hummus plate that we ordered and the pizza was delicious. We will definitely return to try other items on the menu. Our waitress was friendly and attentive. Prices were reasonable. It was a great dining spot before going to the PPAC.
November 15, 2015|Nice pizza place close to Performing Arts Center|4|We were looking for an informal place to have a bite to eat prior to an event at the Providence Performing Arts Center. Prov. Coal Fired is a block from the Center and is a pleasant sit-down restaurant with superbly-prepared thin crust pizza and high-quality salads and starters. The pizza toppings are not overly adventurous, but the quality is high. The wine and beer list is solid, and the staff is exceptionally friendly.
November 13, 2015|Delicious Pizza|5|My husband and I came here before a concert at Lupo's. We split a ceasar salad, which was enough for two and had a 1/2 and 1/2 Rocket and Broccoli Rabe. Loved the red sauce on the rocket dog, that was our favorite. Crust was outstanding. Service was great, prices reasonable. We will definitely come back.
November 8, 2015|Light supper was super!|5|Was looking for a restaurant close to the Providence performing arts theater and this was the perfect spot for a salad and a pizza.
November 8, 2015|Providence Gem|5|Always a great meal with a great atmosphere. Chicken Wings are the best and the pizza is delicious. Excellent service!
November 5, 2015|thursday night|5|Had the wings, Caesar salad and the Conrad. All delicious as usual! Service was excellent even though they were hopping!
November 5, 2015|Good food but noisy|4|The food and drinks are always good but the noise factor makes it difficult to have a conversation.
October 31, 2015|Fabulous!!!|5|Six of us went and had the wonderful margarita pizza and the terrific steak pizza. Our waiter was fun, friendly and was so attentive! We loved it!!!
October 31, 2015|Special pizza with Brussel sprouts, baco...|5|Special pizza with Brussel sprouts, bacon was awesome. Wings always excellent.
October 22, 2015|PPAC DInner|5|We have season tickets to PPAC and just love eating at Coal Fired Pizza. The wine list has enough selections to accommodate the pizza selection. My wife and I enjoy the ambiance of the restaurant. Just a great place for dinner.
October 17, 2015|We were late for our reservation and the...|4|We were late for our reservation and they were kind enough to wait for us on a Saturday night nonetheless.
October 17, 2015|great food & service|5|our table for 7 was waiting for us when we arrived - there was a wait & it was a busy Saturday night. We had 2 vegetarians & a vegan in the group, all were happy. The lentil & hummus salad was outstanding.
October 17, 2015|The pizza was yummy!!|5|It's not cheap but the food was yummy!!! The atmosphere was fun! Will definitely go again!!
October 16, 2015|"Awesome wings and ""The Conrad"" was great..."|5|"Awesome wings and ""The Conrad"" was great also!"
October 16, 2015|First time there and we will be back !! ...|5|First time there and we will be back !! Excellent!!
October 16, 2015|Great dinner!|5|We visited Providence Coal Fired Pizza before going to a show at PPAC. The food was wonderful, drinks very creative, waiter was helpful and they were able to provide all of this while giving us plenty of time to get to our show. I would definitely recommend this restaurant and plan to visit again soon. Thank you!
