Review Title|Review Date|Review Score|Review Text
February 28, 2016|Food & Service were excellent.|5|On a friend's recommendation, stopped here before going to a play at Trinity Rep, right around the corner. Opted to eat at the bar rather than the full dining room, which seemed a little cramped. The food was outstanding, although we only shared an appetizer and each had a salad. The white bean bruschetta appetizer was wonderful. We used the bread served separately to sop up the last bits of the white beans. My wife had the roasted brussel sprout salad and loved it. I had the Greek salad, which was different from the usual fare, with a big slab of feta cheese that I broke up to pair with bites of ripe tomato or cucumber. Great olive oil dressing. Tracy, the bartender, was a gem at service. Professional with a very sunny disposition. The right amount of attention. We will be back.
February 27, 2016|"I have been to Rosalina""s many times and..."|3|"I have been to Rosalina""s many times and always am pleased. This time was disappointing. We had a reservation but had to wait for 45 minutes. To compensate we were given a bottle of Lambrusco after our meal. We had already had our wine quota so this was wasted and not everyone at the table drinks red wine. A better peace offering would have been dessert or wine on the house or a gift card."
February 27, 2016|Awesome place, server was great. I wish ...|5|Awesome place, server was great. I wish I remembered her name, dark rimmed glasses, always smiling! The food was amazing. Get the bolognese!! We will be back next time we are in the city!
February 26, 2016|FANTASTIC FOOD!|5|Cannot say enough great things about this restaurant! You can tell they put a lot of love into this menu!
February 21, 2016|Nice evening|5|We went with friends after seeing a play on a Sunday evening. We had a lovely dinner and our friend enjoyed her birthday.
February 20, 2016|Best dinner in Providence!|5|Great great great food. Try all the appetizers especially the pizza fritte and the eggplant!
February 17, 2016|Everything is amazing on the menu. One o...|5|Everything is amazing on the menu. One of best restaurants in Providence.
January 31, 2016|A Gem|4|Visited Rosilina for the first time with a group of friends and we all agreed we had found a gem. The food was incredible. It reminded me of my trips to Italy. There were plenty of choices on the wine list and the Chianti we chose was the perfect compliment to our meal. The service was outstanding. Will was very attentive and had a great personality. We will definitely be back.
January 31, 2016|A wonderful Italian restaurant within wa...|5|A wonderful Italian restaurant within walking distance to PPAC. Modern interior, but old world cooking. Enjoyed an exquisite Brussels sprouts, apple, pancetta salad and a very rich house made pasta with veal ragu and spring peas. Great service and reasonably priced.
January 30, 2016|A great find.|5|There were four people in our party, we were seated promptly and enjoyed a wonderful dinner. The service was efficient and friendly and the waiter was very pleasant. He answered all of our questions. Each of us had a different appetizer and meal, everyone was impressed with their food. The wine on tap was surprisingly very good. We all will return to Rosalina's for a special celebration or a night out. Thank you, Donna
January 29, 2016|1st time|3|I enjoyed the food at Rosalina s but the table near the door was freezing all night with people coming and going.l Our waitress was very nice and we did enjoy the atmosphere. Again much too cold for comfort. Maybe will be back in the spring or summertime.
January 29, 2016|Tight|4|The food was great. Service sometimes felt like because I was a party of two, fell through the cracks to the larger parties. Place is small, not much you can do with that but you'll get to know your neighbor well
January 28, 2016|outstanding|5|Great food, awesome service, valet service was outstanding
January 28, 2016|I love Rosalina!|5|We had a small group of high school friends meet at Rosalina. Most had never been. Everyone was impressed. The food was fantastic and we all loved the evening.
January 26, 2016|Couldn't handle the crowd|2|Rosalina's had a big crowd because of the PC basketball game. Unfortunately, they couldn't handle. Reception and seating were chaotic and confused. Hostess was awful. Waiter was good though. Food was mediocre and salty.
January 19, 2016|Great Dinner!|5|Had a wonderful dinner here with my significant other. It was restaurant week and we both took advantage of the special menu! The food was amazing the service was top notch. Will be going back again soon!
January 19, 2016|First Time|5|Came here for Restaurant week. Got the pork loin that was the size of my head and it was cooked perfectly. Would have liked to try some of the pasta dishes but I was not disappointed. This is 100% a place I want to come back to and soon.
January 16, 2016|The food was absolutely delicious.|5|Friends and I are planning on going out for a lady's night because we thought it was so delicious.
January 16, 2016|This is a great little Italian place tha...|5|This is a great little Italian place that a friend introduced me to and now we come here for our pre-show/concert dinners! The food is delicious with huge portions (hello, leftovers!) and the staff is always friendly and attentive.
January 14, 2016|Special Dinner|5|Delicious dinner! excellent service! Special night!
January 13, 2016|Just One Complaint|3|It was a pleasurable evening, until the end,when our waitress threw out an unfinished bottle of wine. It had at least one good size glass remaining (much more than 6 ozs). We asked what had happened to it and she retrieved it from the trash! No apologies. Bad ending.
January 2, 2016|This is a special gem of a restaurant. I...|5|This is a special gem of a restaurant. I highly recommend it.
December 31, 2015|A don't miss place in a city of great re...|5|A don't miss place in a city of great restaurants.
December 31, 2015|We will be back!|5|We were a group of 6 adults for New Year's Eve. The food was excellent- lots of options and the food was just wonderful. The menu had interesting combinations and sides, and the drinks were inspired. I tried the fried dough pizza (excellent) and gnocchi. My companions had deserts and raved about the chocolate polenta dish!
December 27, 2015|Family Christmas, Just the girls|5|We had an all girls family reunion here the Sunday after Christmas. It was fantastic! The was excellent, great gluten free options too! The waiter was just amazing!
December 26, 2015|Outstanding!!|5|A group of six of us decided to visit this restaurant after a review was posted in the Providence Journal. My wife and I had been there last year, but I vaguely remembered the place, but once inside I did recall the location. The service was great even though the last meal to be served came out a few minutes after the first five, which drives me crazy. The wait staff was attentive, the menu offered some unique dishes and everything we ordered was fresh and delicious. The wine list was notable with a variety of wines offered globally. We found the pricing very reasonable, about $125 per couple with the tip and no one left hungry or thirsty. We did have apps before our main course but no dessert. The meal also included several bottles of Italian wine and some various cocktails. We all agreed that Rosalina's was a keeper and we will return!!
December 19, 2015|Delicious but very crowded and noisy|4|Delicious but very crowded and noisy
December 12, 2015|Rosalina is a Gem|5|Convenient to the theaters of Providence, Rosalina provides a very special Italian dining experience. From the excellent bread and dipping bowl to the great wine choices and the tasty antipasto followed by excellent entrees one cannot go wrong. Moderately priced with great service and a bistro atmosphere you are sure to enjoy the experience. We have been back several times and it never falls short of our expectations. I am a fussy first generation Italian American who likes to cook as well so I can be a harsh critic of Italian cuisine. Rosalina passes the test.
November 20, 2015|Awesome food & great cocktails. Would re...|4|Awesome food & great cocktails. Would recommend strongly for sure!
November 19, 2015|Bene!|4|Great food. Good service. Very noisy (energetic!) Vegan friendly Excellent bar. Perfect for before Trinity or PPAC.
November 15, 2015|Jackelyn's 25th Birthday|4|We enjoyed a lovely dinner for 3 before the Bill Maher show at PPAC Sunday night. Great atmosphere. Loved the food. We have the antipasto to start, ravioli and butternut squash risotto. Crème Brulee for dessert. The service was also an A+. Will def return!
November 8, 2015|Great food and in the end, a great serve...|4|Great food and in the end, a great server. Love the space and ambiance, but the tables are setup far too tightly together. We had a reservation for 430 and were asked to cram into a very tight table between 3 other full ones in an otherwise empty restaurant. Hostess was gracious in letting us change but another one of the servers basically threw a fit.
November 7, 2015|this was a great find.  I normally don't...|5|this was a great find. I normally don't like sitting close to people, but the food, the staff and the energy put all that aside. I can't think of anything negative. Even outside by the heaters. It's nice spot for the Theatre District
November 6, 2015|Nice Place|4|Lively dining room, with nice bar and open kitchen. Service was good, nice wine selection. Eggplant appetizer was great, would have been happy with a bowl of the marinara. Squid ink Pasta was good, Branzino was nicely done with olive oil and lemon, but the tapanade was a bit flavor forward for the delicate fish. Will surely come back soon.
November 1, 2015|Another Friend was Impressed|5|We have taken many friends to Rosalina for their first visit. We have never been disappointed. Our friends have always returned on their own to enjoy the food and vive of Rosalina's
October 31, 2015|Poor waitress service!|4|The waitress didn't ask if it was our first visit to Rosalina or made food/drinks recommendations. She was pressured and too informal. The rest was okay, but not too excited to go again.
October 27, 2015|Excellent except for one thing|4|Brussel sprout salad was to die for! Unfortunately my friend didn't like her entree (she brought home for her husband) so she was going to order something else. But the waiter never came back to check how everything was until is was too late to order something else...
October 22, 2015|Much too noisy|3|Much too noisy
October 20, 2015|Great service great food!|5|Loved this restaurant and have been there 3 times now when visiting RI. Great service, always attentive, loved the food each time.The steak, pasta and fish dishes are all outstanding.
Dined on October 20, 2015|4 girls for dinner|5|4 different pasta chosen. Portions were huge- could easily have shared a main and added a salad or appetizer. Prices fair. Service fine. Very enjoyable pre theater dinner.
October 17, 2015|Light on the Salt and Flavor|3|"This was resoundingly ""okay"". The service was okay; the ambiance was okay; the wine was okay. Their food was beautifully plated, abundant for the price, and generally inoffensive. But if you're going to make food people want to eat as opposed to take pictures of, it needs to be more than inoffensive and pretty it should taste great! All their food, the pasta dishes especially, really needed a good hit of salt or some acidity to punch up the flavor. In my opinion, the Bolognese was the worst offender by far. With noodles as good as they have, it's a disservice to bury them in bland meat sauce. A big pinch of salt, a squeeze of lemon, or a dash of red wine vinegar all could have made this dish a thousand time more delicious. I won't be going again because I refuse to pay for food I could cook better and more flavorfully at home."
October 16, 2015|First Visit|4|This was our first visit to Rosalina's and definitely not our last the food was delicious!! Very reasonably priced, and staff was very personable. Thank you, it was our Anniversary dinner and it was excellent.
October 10, 2015|Wow, wow and wow|5|"A friend recommended Rosalina when she heard we were visiting Providence for the weekend. We heard good things but were blown away by the professional, yet welcoming waitstaff; the cool, hip ambiance; and the fantastic food. Never heard of polenta-based lasagna - which was so light and perfectly prepared. The ravioli and meatballs were incredible. And then the desserts - a banana-chocolate-polenta infused ""pudding"" that we literally were fighting over. We can't wait to go back!"
October 3, 2015|Wonderful family dinner|4|My family and I had an amazing dinner at Rosalina's. The tables are a bit close, and the acoustics are a bit loud, but the ambiance is still warm and inviting, and reminded me of some of the restaurants I had been to in Florence. They have a great olive oil, made by there own family in Europe, that they serve with their bread. The burrata salads were wonderful and the pasta dishes were delicious (we're still enjoying the leftover Bolognese). For dessert we had ordered the special, however due to a complication in the kitchen they could not make it and forgot to tell us. While normally forgetting something would result in a negative rating, the manager was very nice and came over, apologized profusely and gave us another dessert (tiramisu!!) and a bottle of champagne. I would definitely recommend this restaurant for their amazing food and wonderful service.
October 3, 2015|I had very high expectations for this restaurant.|3|It turned out to be less than what I hoped for. Don't get me wrong, the food was good and the ambiance was different than lots of what there is in Providence, but I just think that for the money, there are plenty of other places I would choose in Providence over Rosalina.
October 2, 2015|Vibrant and Tasty|4|Rosalina is a vibrant and dependable place to dine prior to going to theaters in the area. Having eaten at the restaurant several times, one can always count on the eggplant appetizer, a reasonable wine list, and caring service. The big booths by the window can take a large party and it feels very festive. It is quite noisy on the night we dined which may not be the best place for a one-on-one conversation.
September 18, 2015|Neighborhood Gem|3|Small but Quaint. Fresh Pasta, aged olive oil and awesome cheesecake! A great stop before a PC Game, PPAC or Trinity Event.
September 5, 2015|Delicious food with attentive service.|5|Delicious food with attentive service.
