Review Title|Review Date|Review Score|Review Text
ays ago|Fabulous Food|4|Food is excellent!! Siena is a favorite date night spot for a special occasion. I prefer the ambiance in the Smithfield location better. Valet is great, and so is being on the Hill, but in Smithfield there is a parking lot and easy navigation in and out.
ays ago|Wow. Phenomenal service and fantastic fo...|5|Wow. Phenomenal service and fantastic food! One of the best restaurants I've been to in a long time. Will definitely be back!
ays ago|A night at Siena|4|We arrived at 6:30 for a 7pm reservation and they were able to accommodate us very nicely. The hostess and staff were excellent. The only drawback was the portion of the eggplant parmesan. I raved about it from a past experience and the portion seemed to have shrunk. That was my only disappointment. Other than that it was a good start for the game at the Dunk which PC won!
February 28, 2016|Romantic and Delicious|5|"I picked Siena for my birthday dinner and I was not disappointed. It's one of those places where you rubber neck all the food going by and whisper ""oooo! what's that?!?"" Husband got Frutti di Mare that was generous with the seafood. I got Tagliatelle alla bolognese - I'm still thinking about it four days later. Best plate of pasta. I want it again. Right now. Tiramisu - fabulous, good size. I got chocolate hazelnut gelato that tasted like an ice cream Ferrero Rocher. All that, calamari and a glass of wine and it was $70. We will be back."
February 27, 2016|solid Federal Hill choice|5|Always outstanding food. A solid Federal Hill choice for Italian food
February 20, 2016|Absolutely delicious!  Best Caesar salad...|5|Absolutely delicious! Best Caesar salad I have ever had. Bolognese was fabulous. Service was great and they even held the table for us when we were tied up in traffic.
February 18, 2016|Siena experience|5|Siena has been and will be my go to restaurant for the best italian food in RI. Every single time i eat or have eatten here the food and service are exceptional. No matter what i order its amazing. I am a true foodie and chef so im a picky eatter and this restaurant is top notch. Siena at the bar is always amazing and understands how to beva grest bartender while tending to every guests needs. I always bring out of town people here and they are always blown away! Appreciate al you do!
February 18, 2016|Great food but high noise level.|4|The food and service was amazing...but VERY noisy. Would not recommend as a romantic evening or when you want to have a conversation you would want to keep private as you have to raise your voice to be heard by a dining companion. Seriously some of the best food I have eaten.
February 18, 2016|Great food.  Service was a little slow, ...|5|Great food. Service was a little slow, but very friendly. Once we ordered, food came out at a normal pace.
February 18, 2016|Great dinner before theater|5|We enjoyed a great dinner before a show at PPAC. We started with the traditional calamari and loved it! Two people had the shrimp and risotto dish and every bite was eaten. I had the braised short ribs and didn't even need a knife - sooo tender. The meal's pace was appropriate for the time we had and we love the valet parking on busy Atwells Ave.
February 18, 2016|Amazing night out , top service|5|We had reservations for 5:30 and they sat us early. Amazing corner table at front window , and the service was outstandIng, we were not rushed and the place was jammed. Our waiter was extremely personable , knowledgeable and helped us make choice. From the eggplant filled with ricotta , mixed greens with pears , veal saltimbocca, sea bass and even bread pudding all were perfectly cooked , incredible flavor and made our dinner out perfect.
February 17, 2016|Even though wstill had a 25 minute wait.|5|Food was delicious and staff pleasant and very attentive! Well worth the wait!
February 13, 2016|So Good!!|5|My husband and I went to Siena because of a recommendation from my brother. This is his favorite restaurant in Federal Hill. We were not disappointed!! First of all, the staff was awesome. Each was welcoming and helpful from taking our coats, to our drink order at the bar as we waited for our table, to our outstanding waitress. Our dinner was delicious. I had the house specialty of calamari with cherry peppers and balsamic vinegar. This was the most tender calamari I've had. I also had the veal saltimbacca. Delicious! My husband had the oyster special as an appetizer and the lobster ravioli as his entre. Both were outstanding. So worth the visit!
February 13, 2016|Overall fantastic experience|5|Great food, great service even on a packed night. No wait at all on food and drinks.
February 13, 2016|Excellent experience|5|Staff was friendly polite and efficient. Server was as good as we've ever had. Tasting plate would have been good as a meal with a nice glass of wine. Branzino was superb. Veal chop was tender big and perfectly grilled. Maybe the best was the banana cheesecake with a grappa. Just perfect.
February 13, 2016|Wow,  I heard how good this place was an...|5|Wow, I heard how good this place was and it stood up to the test. Food was amazing, wait staff was very friendly and knowledgeable about the dishes. The owner was truly amazon. He work the whole dining area all night making sure everyone was ok and treated you like family. This is how it's done. Great Job Thanks
February 13, 2016|Never disappoints!|5|Our dinner at Sienna's, on the February 13th was awesome.. The service was fabulous, as always. In spite of a very busy evening, we were never rushed through our dinner. Everything was served perfectly. Cocktails were yummy, food was delish, wine was wonderful. Our waitress was attentive and friendly. We will certainly be back!
February 12, 2016|early valentines dinner|5|Love the ease of the valet & then I also was impressed how the bartenders made you feel comfortable even when the bar was full. They got us a drink & kept us informed about seats at the bar that would be opening up. Most full bars you are fighting just to get a drink & the bartenders could care less if you got a seat. I do wish we just stayed at the bar and ate. I did not really care for out table for 2 in the middle of the room. I could hear everyone conversations. I have been a few other times w/ more ppl 7 had a big round table that I enjoyed much better. Maybe that's the key to go w/ more ppl. Overall we had a nice dinner & the food was very good & the chocolate martinis too.
February 12, 2016|For a busy holiday weekend the food was ...|5|For a busy holiday weekend the food was outstanding and the service was exceptional!
February 11, 2016|Great service, amazing banana cheesecake...|5|Great service, amazing banana cheesecake, will return
February 11, 2016|Excellent|5|Our dinner was fantastic. Our waiter was wonderful and was always there at the right moment. Food was excellent and the night was perfect.
