Review Title|Review Date|Review Score|Review Text
ays ago|Very nice place but really over priced. ...|3|Very nice place but really over priced. Sushi sandwich is creative and tastes great. My Delmonico steak was good but can get comparable elsewhere much cheaper. The filet mignon was not even close to par for the price. Probably wouldn't go back for dinner but maybe sushi and late night drinks. The waiter very good, well spoken, explained the items on the menu perfectly, and was always there when we needed him.
February 21, 2016|Ten for Ten|5|"Ten has never disappointed me. The food and service is consistently excellent. My husband and I dined at Ten this weekend for a belated Valentine's Day dinner. He was a little hesitant as he doesn't like to try new places, but having been here a handful of times before with friends and family, I knew he would enjoy it. Our waiter, Eric, was very helpful and attentive. We had the Prime Roll, which was my absolute favorite sushi roll on their menu and we both ordered the Delmonico steak and loved the ""top it off"" options. The steak was cooked to our liking and the sauces recommended by Eric complimented our steaks perfectly. We rarely order desserts, but I just LOVE their banana bread pudding. It's a cozy place with great atmosphere and great food. Will come back again!"
February 20, 2016|Not worth the $$$$ !!!!|2|Completely underwhelming for the $$$$. Seaweed salad was awful. Medium steak showed no pink. Hot rocks a waste of money. 3 requests with long wait between each request for one drink. Wait staff seemed confused. Party of many skewers and the potatoes were good. Waitress became friendly when giving the check. That was nice.
February 17, 2016|Our party of three ordered 3 different e...|4|Our party of three ordered 3 different entrees. Enthusiastic thumbs up for the filet mignon, New York strip sirloin and Delmonico. All steaks were cooked to perfection. Our server was excellent and very conscious of the time i.e. We had theater tickets. An excellent meal overall.
February 16, 2016|Good place to relax and enjoy the food.|5|We were in a rush to get to a show and our waiter couldn't have been more helpful. The food was very good and the service excellent. Looking forward to returning.
February 14, 2016|Great service|3|The service was exceptional, however the steaks my wife and I received were overcooked. I ordered medium rare, which came out to medium well with not even any pink in the center. My wife ordered a medium well, which was close, but even closer to well done. Flavor would have been on point, it's just that the steaks were much tougher than we would have liked due to them being overcooked. Just not acceptable for the prices they are charging.
February 14, 2016|Rare cold temps - should have gone elsewhere|2|The outside temps were negative but inside was painfully cold. I heard Prime was closed prior and then opened thinking it was warm enough - it was not. The service was below average - slow everything. Cesar salad (not a difficult one to master) was a 5/10. The main course of sesame tuna seared rare was excellent. For the price, service, and non-friendly location, I'd pass on this place going forward.
February 14, 2016|Even with minimal heat, a worthwhile visit|4|"Having almost not opened on Vday due to a water main break in the basement, they apologized for the chilly temperature within the restaurant. Paying that much $ while most wore their coats due to the chilly atmosphere... we still enjoyed ourselves much due to ""Johnnie"" our waiter. Having been in the restaurant business for 25+ years, Johnnie's a keeper who offered the service that allows one to keep some faith in the industry. He was so good, that I never even mentioned my overcooked filet... yes from a steak house (kind of). And yes, it would have been sent back if not for Johnnie. Coconut Sushi app was the highlight, as well as the banana bread pudding to wrap things up. I can only imagine how much more my date and I would have enjoyed it if the temperature was above 60 degrees. Maybe a free app or dessert would have been a nice offering due to the arctic chill? No worries though, we'll be back."
February 13, 2016|Good food|4|The food was prepared very well and as expected. I still feel the steak is just a tad bit better at the Capital Grille. I still very much enjoyed it and would definitely recommend it as a comparable location or an alternative. Drinks were priced as average.
February 6, 2016|Great food|4|We had a a great meal and the service was perfect! Everyone was happy with their meal. Veal Chop, Delmonico Steak, Steamed lobster, steak. Apps were great as well. Oysters, shrimp cocktail, and Cesar Salad. Birthday cake was wonderful and beautifully presented. Thank you.
February 5, 2016|Amazing!|5|I have been going to Ten for the past few years. I have yet to find a restaurant that out beats the sushi, atmosphere and service!
February 4, 2016|Can say this was the best sushi I've had...|5|Can say this was the best sushi I've had. Johnny our waiter was phenomenal! He made a huge effort to make us feel cared for and not just customers at a restaurant. Overall a great experience and look forward to our return for more amazing food and service. Thank you!
January 30, 2016|Overpriced|3|I have been here many times but was disappointed in the slow service and the overpriced and mediocre food. Steak was overlooked and bland. Tuna was ok but lacked seasoning. Sushi was good but veal chop way over priced.
January 28, 2016|Outstanding as always! Have NEVER has an...|5|Outstanding as always! Have NEVER has anything there that the entire table didn't love. Service us always great. Ask for one of Johnnys tables if possible he's the best! We dine at Ten about once a month. This time we brought our daughter on her 18th birthday because she wanted sushi. Johnny went above and beyond to make her feel special and their sushi is always the best!!
January 27, 2016|Always have had a good experience at 10 ...|4|Always have had a good experience at 10 but with all of the choices for restaurants in providence it does little to separate itself. Need more rolls on the sushi menu - service was excellent but forgot my salad- everyone screws up and he resolved it quickly. I would not cross it off my list but would try other spots before coming back. Mac and cheese best I have had.
January 22, 2016|Great service|4|Went for my birthday dinner. Love the atmosphere. Out server was super. Swordfish and Salmon were dry. Usually the food is delicious though!
January 22, 2016|Great for sushi lovers and for steak people too!|5|Our overall experience was amazing! We have a super friendly waiter named Johnny who had great character and really helped with our decision making! He was very funny and suggested delicious food - which I'm glad with the choices we went with (hot rocks app, tataki maki, & sushi sandwich.) The hot rocks appetizer was fun and entertaining especially since we got to cook our own little steak pieces! I higher recommend going here, whether it be for a special occasion or date night!
January 21, 2016|I go here often. I absolutely recommend ...|5|I go here often. I absolutely recommend getting the sushi sandwich (add truffle oil to it for a lil extra flavor). I often times get a great server, but have had a bad server a few times. The food itself is pretty good. I love that I can go here for a casual dinner, or a professional small meeting dinner.
January 17, 2016|Great place with great service!|5|I took my wife the other night for her birthday. Carla was our server. She was very friendly and attentive. The food came in a reasonable time. The presentation was excellent and quite good. We had a mixture of sushi and regular dining. It can be a bit pricey but we will definitely go back!!! I recommend it to anyone.
