Review Title|Review Date|Review Score|Review Text
ays ago|CAPITAL GRILL NIGHT OUT|4|Food was good but like the old restuarant atmosphere was much better.
February 27, 2016|Excellent food and staff.   Will come ag...|5|Excellent food and staff. Will come again.
February 27, 2016|Top Steak house|4|This was the second time in 2 months we dined at Capital Grille , both times were special occasions (50th birthday celebrations) The food , service, ambiance were all top notch. It was such a great experience both times. My thirteen year old daughter absolutely loved it. The only misgiving is the cost , it is at the high end of $$$$ which limits going there to special occasions
February 25, 2016|Just Ok Lunch Experience|3|First time visiting the new location and was happy with the water views and sleek modern layout. Greeted warmly , seated promptly, nice server engagement. As it was a business lunch, ordered their signature cheeseburger while colleague had caesar salad with grilled shrimp which he enjoyed. Unfortunately the burger was underwhelming, cooked closer to medium -well vs the medium requested... liked the handcrafted aspect of the burger but it appeared too small for the bun! Lightly grilled onion on top with tomato along with very thin slice of cheddar was it for topping if you offer grilled onions then actually grill it as it was translucent:'(. Tasted decent but left hungry. Fries were tasty but a little on the salty side. For almost $20 was expecting more. Will try something else next time.
February 21, 2016|The food was good but definitely overrat...|4|The food was good but definitely overrated
February 21, 2016|not my favorite|3|Service was extremely poor. Bread came way after food. There are many better places to visit in Providence. Will not be my choice again unless it's a work group dinner.
February 20, 2016|Consistent with Capital Grille expectations|4|This location was similar to any other Capital Grille - the steaks were perfectly prepared to order. The macaroni & cheese was the highlight - delicious. The restaurant was very busy but not too loud. The waiter was a bit awkward at times, but he was attentive.
February 19, 2016|Best steak in town!|5|Best steak in town!
February 19, 2016|My experience at the Capital Grille|5|The Capital Grille is a very nice, upscale dining experience. The steaks are excellent, the staff extremely knowledgeable and attentive, and the ambiance is great! I would highly recommend the Capital Grille to anyone who wishes a fine dining experience.
February 17, 2016|30th Birthday Lunch|5|Our server Joe was amazing!!! Great service makes a simple lunch extraordinary. Kudos to Joe!
February 15, 2016|Capital Grille Experience|5|The whole experience was outstanding . The food, ambiance, and service were all that could be expected of the Capital Grille. The one down note was that the valet turned on my headlights from their automatic setting causing me to wake to a dead battery the next morning.
February 15, 2016|Restaurant is superior; service is poor|4|It may have been the Monday lunch hour, but the service staff was simply not engaged. The restaurant was nearly empty, but still it took forever for our waiter to take our order; for the food to come; for the plates to be cleared - even for the bill to be presented. The food was very good, but not spectacular. Prices are moderate.
February 14, 2016|It was Valentines Day, so they wanted tu...|4|It was Valentines Day, so they wanted turnover to be quick. We ordered Scallops and my husband ordered Tuna. It was ok, but we should have ordered steak I think. Dining room was very comfortable, bar area was very nice. Reservations were kept ontime. Very nice, I just think we ordered the wrong food. I also think they are over priced. Ruth Chris was very expensive, and they are not there anymore.....
February 14, 2016|Always Top Notch!|5|My wife and I visited for Valentines Day. The table had rose petals and small heart shaped confetti type decorations on the while table linens. Always a class act. We enjoyed a number of appetizers, our entree's and some wine. The food is always superb. Wait staff are true attentive professionals. We had a wonderful time.
February 14, 2016|Valentine dinner|5|Great service, great food and great way to celebrate Valentine's Day!
February 14, 2016|Presentation was wonderful and food was ...|5|Presentation was wonderful and food was excellent!
February 14, 2016|Wonderful food, attentive server, & love...|4|Wonderful food, attentive server, & lovely ambiance, but was a bit pricey. Also, 2 women at a neighboring table were obnoxious once tipsy. Otherwise, a nice time.
February 13, 2016|Amazing food, great service!|5|The coconut cream pie is life changing! I had the tomato mozzarella salad, filet, creamed spinach, and scalloped potatoes. They are literally to die for! The food is always so good! Everything is made fresh in house, down to the cookie on the coconut cream pie.
