Review Title|Review Date|Review Score|Review Text
February 20, 2016|Not the best dinning experience; will try again|2|Excellent atmosphere. Food: appetizers (beet salad and cauliflower) were delicious. Short rib entree was good. The taste and presentation of the chicken entree was concerning to me and I instantly regretted ordering the chicken; very disappointed with the chicken, do not order the chicken. I wish I ordered something else, will likely try the lamb next time. Service: did not receive bread until after the meal. Asked for water without ice, got served water with ice. Overall impression: inattentive waiter.
February 19, 2016|The Beet Salad and Mushroom Risotto were excellent|5|The service was very good, food excellent and atmosphere lovely. I loved the architecture of the building and would dine there again.
February 14, 2016|Food OK Cocktails Superb|3|I make superior roasted chicken and mashed potatoes and many other restaurants do as well. The fresh pasta with lobster was good though. Dessert was underwhelming. The cocktails were the highlight of the evening.
February 12, 2016|A Jewel|5|Walking into the Dorrence makes me feel like I've stepping back into the Jazz Age and might expect F. Scott Fitzgerald to be two tables over. The food is fabulous, drinks creative and you can't beat the decor and ambiance. A local favorite.
February 5, 2016|Our favorite restaurant in Providence|5|Everything is just right here - beautiful room, superb food, delicious cocktails, excellent staff. The Dorrance is elegant, yet laid-back. In a city with a remarkably high number of great restaurants, this remains our favorite.
January 30, 2016|Outstanding Service|4|The service from when we walked in until we left was wonderful - check in, taking our coats at the door, and throughout the meal. They were still offering their Restaurant Week meal which we enjoyed.
January 15, 2016|The Dorrance has been on my list for awh...|4|The Dorrance has been on my list for awhile to try. It was my girlfriends birthday that weekend, and we we're going to the Patriots playoff game on Saturday, so we figured lets make it a weekend. We came in from Boston last Friday night (1/15), stayed @ the Omni right downtown. We're foodies and like to try different restaurants all over the east coast-- Providence has great values and is a very over looked city in my opinion. We had reservations for two at 8:00. Arrived a little early, got sat quickly. (Friday 1/15). Gentlemen in the glasses took us right away-- Good Start. Place is beautiful; great ambiance, open ceilings, a wider restaurant than most.. Good flow to the place. To our luck it was restaurant week, so we had the options of choosing either menu. The prefix menu for restaurant week was 3 courses for $35 dollars. Our waiter was solid. Great young guy, good seller on drinks and apps- Checked on us casually-- we we're never asking where is our waiter!? Exactly what you want when you want to dine, especially for a good occasion. We chose for the pre fix menu which seems always to be a little different than the usual. To sum it up.. Our Food came out timely, and for the most part was good. My only critic were that the Portions however were small, kind of thought that with the low price tag. Temps we're on point, seasoned well, hot came out hot, cold came out cold. Dessert was not only satisfying on the eye, but it was downright delicious. Boy oh Boy pastry chef know's whats up. (Probably one of the best creme brulee's I had in a while, texture was on point). My only con would be not to have people on their phones greeting you, its just bad for any hospitality business. Not having anyone anyone greet you when leaving-lasting impressions are everything to new diners. I walked into the Dorrance with above par expectations and that's exactly what we got. I would come back, and recommend it to any foodies going into providence. 7/10.
January 15, 2016|Great Ambiance|5|Great evening it you want a great ambiance and a little fun. Live music was great!
January 14, 2016|Went for Restaurant Week|2|Have been dying to try the Dorrance for 2 years! I want to say the service was great and the cocktails amazing. The food though was a huge disappointment. Wasn't worth the money, and wouldn't go back for dinner or lunch. Would return though for drinks and would tell friends and family to do the same.
January 14, 2016|Overpriced and very average entrees!|2|Don't go hungry. Beautiful building. Nice bar. Will not rush back nor recommend!
