Review Title|Review Date|Review Score|Review Text
February 28, 2016|delicious|4|The pizza and the wings here are great. Also the noise level is low at this restaurant which is unexpected for this kind of restaurant and we all liked that.
February 20, 2016|Nice Spot for Pizza and Pre Game Meal|4|We were looking for a spot prior to a PC game and this place was highly rated. It did not disappoint. Other than our app taking a little longer than expected to arrive everything else was solid. Pizza is fresh and cooked just right, service was attentive, and the place has a nice combination of family friendly and upscale tavern feel. If I am in the area I will return.
February 14, 2016|Good, not great. The food did not seem p...|3|Good, not great. The food did not seem particularly fresh to me, but it was still an enjoyable meal. I had the Lobster Ravioli which was pretty good. Their tomato sauce was delicious. Prices are reasonable, but perhaps slightly high. Overall though, a good experience.
February 14, 2016|Not bad for what you get|4|The food within this restaurant is definitely of a unique Italian style. Some menu items can get a bit pricey, especially for what you get. I got a very basic meal, two entrees and two waters, and left with a $45 bill not including tip. I didn't mind at the time, due to it being Valentine's Day- an occasional splurge for a college student like myself. I went primarily for their amazing stuffed mushrooms, something I have found nowhere else (or at least not nearly as good).
February 14, 2016|Food was great but our table location was terrible|3|"We love the food here but this time We made a reservation and told them that we had a baby and we would like a booth, unfortunately they took us to a booth in front of the kitchen, very noisy and disturbing for the baby, not to mention that they leave the back door of the kitchen open and was very cold for us and the baby in that spot, it was also valentines day and we couldn't even talk to each other. We know that we can't get the ""quiet"" in a restaurant, but less noise would be great and any other booth in the restaurant would be better for a couple with a baby."
February 13, 2016|Dinner Spot or Sports Bar|4|The dining experience was overall very good. I could actually see myself coming here more to have a beer at the bar and watch a sporting event on one of their many TV's.
January 15, 2016|Waiter was very friendly and helpful. Th...|5|Waiter was very friendly and helpful. The place was packed, but it never feels stuffy or overcrowded in there. Comfortable get-together spot with excellent chow.
December 24, 2015|Christmas Eve Dinner|2|"Overall disappointing. The amount portioned out for the number of people per table regarding their ""family style"" cold appetizers was minimal to say the least. Baked stuffed were tiny and did not even look table worthy. Have been there other years for Christmas Eve dinner but this year is the last time."
November 7, 2015|Pizza, different and amazing!|4|We had a group and met at the Fire; the specialty pizza was amazing! The restaurant was quite loud, so we did have to scream, but the waitress was nice and attentive. Overall, two thumbs up!
November 7, 2015|Could have been better|3|Let's start with our waiter who was great. Three of us were seated waiting for two more then gave us time without rushing to place our order. I had the shrimp scampi and it was bland. Thank goodness the garlic olive oil that is served with the bread was still on the table. I used to drizzle that over my pasta to give it more flavor. The rest of the pasta dishes were just okay too. Nothing to get excited over. The pizza looked fantastic on other tables. If we did go back we would order that instead of any other main entree. The one pound meatball for an appetizer was good but you want to have at least six people to share it.
August 14, 2015|Good neighborhood spot|4|When we don't want to go far, we choose The Fire. Both lunch and dinner are consistently good. Warm herbed rolls with roasted garlic olive oil are served when you are seated. There are good wines by the glass, the beer is cold, the service is friendly. You should go!
July 31, 2015|great|4|Good food drinks service. We all had something different. It wad all good .
June 13, 2015|Always good|4|Been here multiple times and never had a bad meal. I suggest making reservations for the weekend because they can get very busy.
June 13, 2015|Ok experience|3|Everything was just ok, except the service which was very slow
May 9, 2015|First Visit|3|Four of us dined at The Fire. Two in our party have been before and recommended it as they can accommodate people with gluten allergies. Food was good, but they were out of many items (anchovies for pizza, veal, stuffed peppers) the night we dined. The waitress was apologetic. Stuffed mushroom appetizer was great, as was the pizza. The person who got the gluten free penne with chicken and broccoli loved it. Wine list is good. All in all, it was good. Pizza seems to be the overall winner. I'd definitely go back for that.
April 26, 2015|Not what we had hoped for|3|We had read such good reviews but this restaurant was less than we hoped for. The service, while friendly, was awful in all other ways. It took too long for someone to greet us, the drinks took forever, the server forgot our salad dressing and then did not bring my husband's wine until he was done with the meal. On top of that, my daughters' meals both came out cold. I would not go back, especially when there are so many delicious Italian restaurants in Providence.
April 5, 2015|Great Experience!|5|We went for Easter brunch in the late morning. Everyone was making sure that we had the most pleasant experience. For a decent price, there was a great selection of foods from French Toast and eggs to Chicken Marsala, mussels and shrimp. The service was excellent and well appreciated. A great choice for the family!
March 28, 2015|I really enjoyed the atmosphere; someone...|5|I really enjoyed the atmosphere; someone had said it was small; I did not think that was the case. The service was outstanding as was the food. Definitely worth the coming back!!
