Review Title|Review Date|Review Score|Review Text
February 28, 2016|Frustruated|2|This is the 2nd time I have gone to the melting pot, and both times the services was slow. I get it is suppose to be romantic, however our server was slow to get our drinks, which was water. She brought our food first and then our drinks. The food was WAY over seasoned. The hostess did not seat us first, even though we had a reservation and we were early. She sat one couple first after taking their name, waited 2-3 minutes for her to come back, she took the other couples name and than sat us. I can see why it took so long for her to seat everyone, she explained the menu way to much, which should be the waiter's job. I would not eat here again, not at the high prices and poor services. It is not worth the 2 hour dinning experience. Even though the waitress was slow she was very nice and that was the highlight.
February 27, 2016|Date night?   This is not the spot|2|"First off - if the restaurant can not accommodate reservations, be honest and say: "" We don't take reservations"". 30 minutes pass the time is inexcusable and unpleasant. The notion of coffee with the desert means, bring coffee no later than a minute or so before or after the desert delivered to the table. Novel idea - cold coffee is unacceptable. Microwaving the coffee in the cup doesn't equate to fresh cup of coffee and makes cup hot, VERY hot. Food is OK, but there are plenty of places that introduce or have the concept of cooking your own food in hot pot with bouillon."
February 27, 2016|The service was terrible.....|1|Very disappointed when you spend $200+ for a family of four (and it's a birthday dinner..... although they don't do anything special for that it seems) and the service is terrible..... waiting for the waitress to comeback all the time, she couldn't remember who ordered what, then handed the salad plates to you (vs. Placing it down. Especially when I was on the outside seat and leaned back with an open spot right in front of me for the plate and she stood there holding it in front of me waiting for me to take it). Waited for our wine, water, etc... Just a terrible dining experience.
February 20, 2016|Service was terrific a very different un...|5|Service was terrific a very different unique eating experience
February 19, 2016|Disappointed|1|Awful service (almost comical) from Alex. Been getting worse and this is our last time there. And the stereo system has been broken for months??!! Awkward having to listen to everybody's conversation!
February 16, 2016|Wait a little long but thumbs up for gluten-free|4|I was disappointed to wait 15-20 over our reservation time especially since we confirmed that day. I mentioned to our waitress we were celebrating a birthday and no follow-up occurred. I was very glad that we were put up toward the front of the restaurant because I am usually seated way in the back. This was my first time eating there and being Gluten-Free. I was very satisfied with the bread choices selected for me. I also liked that there was a GF beer for the cheese fondue. The trainee waitress, however almost put worcestershire sauce in it which is not gluten free. I was a little sad that I was promised GF rice krispee treats for the chocolate fondue and then were told they ran out. I would still recommend this to my gluten-free friends because there was definitely care put into the separation of the two.
February 13, 2016|love this place|5|We love eating at Melting Pot. The only thing we didn't like this time is we were sat int he front room next to windows. It was cold out and we felt cold. The food, staff etc were amazing.
February 13, 2016|Great Family Fun|5|We went on Saturday and we had such a wonderful experience. Our server Scott was great I would recommend the melting pot and plan on going soon
February 13, 2016|The cornered tables are awkward to eat a...|4|The cornered tables are awkward to eat at because anyone there is reaching for the pot. When two people walk into an empty restaurant they should be seated at first available and not stuck in the back with the weirdly shaped tables. Otherwise food was good and our waitress was very pleasant.
February 12, 2016|What a great night!!!|5|The melting pot was a great experience. Me and my girlfriend loved it, it is our number one go to on special occasions. Great staff and service we will be back! Greatly recommended!!
January 30, 2016|We have gone to the restaurant in Framin...|2|We have gone to the restaurant in Framingham a number of times over the years and the experience was always positive, the service and food were always very good. The service was so bad at the Providence location that it detracted from the overall experience, turning what should have been a positive experience with the good food to an overall negative experience that evening.
January 23, 2016|Excellent Service|5|We were a party of 3, and new to the experience. Our server was amazing and explained everything clear and concise. We will definitely go back when we are in the area but it can be a bit pricey but for those special occasions it was worth it.
January 22, 2016|Always tasty food!|5|The Melting Pot in Providence is very nice as most are. The atmosphere is always enjoyable and the staff was very nice and happy. The convenience of the mall makes parking and staying indoors very welcomed on cold days. The only negative I had regarding this MP was the bar service was pretty poor. they made a few drinks the wrong way and that was disappointing. Especially when you are paying a premium. MPs are not ideal for children under 10ish. There is raw food on he table and of course there is very hot surfaces and objects within reach. Just have your eyes taped open!!! Enjoy!!
January 16, 2016|Our waiter and our bus boy were absolute...|4|Our waiter and our bus boy were absolutely fantastic. They had us laughing our heads off and completely relaxed by the end of our nights. My friend and I went out for a girls night and we have not left so happy in a long time. Thank you very much for the wonderful evening formation mark
January 10, 2016|So so|3|We were sat in atop near the bar with no other patrons. They closed the doors to this room. There were quite a few other diners in the main area. Food was average , whiskey bbq pork was overly salty. We could hear our server talking in the bar to someone.
