roba!dolce|41.8281263|-71.4006111|2.0|2|0
Asian Bistro|41.822204|-71.410016|2.5|4|1
XO Steakhouse|41.82843|-71.4094779|4.5|3|0
Sura|41.8231881|-71.4122337|3.5|14|1
Fellini Pizzeria|41.8193377|-71.4000648|3.5|38|1
The Capital Grille|41.8259791|-71.414308|4.5|12|1
Kartabar|41.829596|-71.401008|3.5|22|1
Dok's Deli|41.8221766|-71.3921962|4.0|8|1
East Side Pockets|41.8295851|-71.4009512|4.5|77|1
Alibi Cafe|41.817929|-71.410781|3.0|1|1
Adesso California Cafe|41.8300901|-71.3998136|4.0|0|0
Meeting Street Café|41.829438|-71.401268|4.0|19|1
Silver Star Bakery|41.822309|-71.3923166|4.0|3|1
Mama Teresa of Providence|41.8233243|-71.4120693|4.5|1|0
Pot Au Feu|41.8242389|-71.409287|3.5|13|1
Bagel Gourmet Cafe|41.819064|-71.408276|4.0|3|1
Pakarang Exquisite Thai Cuisine|41.821931|-71.404849|3.5|9|1
Starbucks Coffee|41.825739|-71.409943|4.0|1|1
United BBQ|41.8221766|-71.3921962|3.5|26|0
Taza Caffe|41.8228204|-71.4127208|5.0|0|1
Souper Bowls|41.82411|-71.409959|4.0|1|1
George's Deli|41.822918|-71.391961|3.0|0|1
Kabob N Curry|41.8289408|-71.4006385|4.0|1|1
Angkor Restaurant|41.819096|-71.399341|4.0|21|1
Cilantro Mexican Grill|41.8229886|-71.4112652|2.5|11|1
Cafe Zog|41.819391|-71.398453|3.0|13|1
Cafe Francaise|41.829243|-71.413282|4.0|1|1
Rue-Bis|41.8168113|-71.4092755|4.0|5|1
Cafe Noir|41.828387|-71.409408|3.5|6|0
Toledo Toledo Pizza In a Cone|41.8287819|-71.400571|2.0|3|1
New Rivers|41.8274261|-71.4094955|4.0|16|1
Blake's Tavern|41.82288|-71.4147767|3.5|10|1
Loui's Restaurant|41.824692|-71.399079|3.5|25|1
Pinkberry Frozen Yogurt|41.8239891|-71.4128343|4.0|1|1
Coco Pazzo|41.8283195495605|-71.4014892578125|3.0|6|1
Nordstrom EBar|41.8239891|-71.4128343|3.5|1|1
