Name|Location
roba!dolce|178 Angell St, Providence, RI 02918
Asian Bistro|123 Dorrance St, Providence, RI 02903
XO Steakhouse|125 N Main St, Providence, RI 02903
Sura|232 Westminster St, Providence, RI 02903
Fellini Pizzeria|166 Wickenden St, Providence, RI 02903
The Capital Grille|10 Memorial Blvd, Providence, RI 02903
Kartabar|284 Thayer St, Providence, RI 02906
Dok's Deli|146 Ives St, Providence, RI 02906
East Side Pockets|278 Thayer St, Providence, RI 02906
Alibi Cafe|18 Bassett St, Providence, RI 02903
Adesso California Cafe|161 E Cushing St, Providence, RI 02906
Meeting Street Café|220 Meeting St, Providence, RI 02906
Silver Star Bakery|150 Ives St, Providence, RI 02906
Mama Teresa of Providence|203 Westminster St, Providence, RI 02903
Pot Au Feu|44 Custom House St, Providence, RI 02903
Bagel Gourmet Cafe|222 Richmond St, Providence, RI 02903
Pakarang Exquisite Thai Cuisine|303 S Main St, Providence, RI 02903
Starbucks Coffee|1 Financial Plz, Providence, RI 02903
United BBQ|146 Ives St, Providence, RI 02906
Taza Caffe|250 Westminster St, Providence, RI 02903
Souper Bowls|45 Weybosset St, Providence, RI 02903
George's Deli|167 Ives St, Providence, RI 02906
Kabob N Curry|261 Thayer St, Providence, RI 02906
Angkor Restaurant|10 Traverse St, Providence, RI 02903
Cilantro Mexican Grill|10 Westminster St, Providence, RI 02903
Cafe Zog|239 Wickenden St, Providence, RI 02903
Cafe Francaise|100 Gaspee St, Providence, RI 02903
Rue-Bis|95 South St, Providence, RI 02903
Cafe Noir|125 N Main St, Providence, RI 02903
Toledo Toledo Pizza In a Cone|257 Thayer St, Providence, RI 02906
New Rivers|7 Steeple St, Providence, RI 02903
Blake's Tavern|122 Washington St, Providence, RI 02903
Loui's Restaurant|286 Brook St, Providence, RI 02906
Pinkberry Frozen Yogurt|128 Providence Pl, Providence, RI 02903
Coco Pazzo|165 Angell St, Providence, RI 02906
Nordstrom EBar|Nordstrom, Providence, RI 02903
Ugly American|167 Ives St, Providence, RI 02906
Reflections Cafe|468 Wickenden St, Providence, RI 02903
Rue De L'espoir|99 Hope St, Providence, RI 02906
Benders Caffe|129 Weybosset St, Providence, RI 02903
Dark Lady|19 Snow St, Providence, RI 02903
Pie in the Sky|225 Thayer St, Providence, RI 02906
Juniper Frozen Yogurt|229 Thayer St, Providence, RI 02906
Pvd Pudding Pops|n/a
Al Forno Restaurant|577 S Water St, Providence, RI 02903
Starbucks Coffee|102 Waterman St, Providence, RI 02906
Providence Cookie Co|15 Peck St, Providence, RI 02903
SideBar & Grill|127 Dorrance St, Providence, RI 02903
Plan Bean|128 N Main St, Providence, RI 02903
The Cheesecake Factory|94 Providence Place, Providence, RI 02903
The Point Tavern|302 Wickenden St, Providence, RI 02903
Ben & Jerry's Ice Cream & Frozen Yogurt|224 Thayer St, Providence, RI 02906
Napa Valley Grille|111 Providence Pl, Providence, RI 02903
Small Point Café|230 Westminster St, Providence, RI 02903
Sawaddee Thai Restaurant|93 Hope St, Providence, RI 02906
Mike's Calzone|288 Thayer St, Providence, RI 02906
Corporate Cafe Inc the|40 Westminster St, Providence, RI 02903
Geoff's On Thayer|178 Angell St, Providence, RI 02906
Froyoworld|219 Thayer St, Providence, RI 02906
Better Burger Company|215-217 Thayer St, Providence, RI 02906
McCurdy's Junction House|79 Ives St, Providence, RI 02903
Fleming's Prime Steakhouse & Wine Bar|One W Exchange St, Providence, RI 02903
Angkor Restaurant Express|129 Weybosset St, Providence, RI 02903
Joe's American Bar & Grill|148 Providence Pl, Providence, RI 02903
Geoff's Superlative Sandwiches|163 Benefit St, Providence, RI 02903
Poco Loco Taco Truck|200 Weybosset St, Providence, RI 02903
Fish Co Bar & Grill|515 S Water St, Providence, RI 02903
The Duck and Bunny|312 Wickenden St, Providence, RI 02906
Chipotle|178 Angell St, Providence, RI 02906
Local 121|121 Washington St, Providence, RI 02903
Parkside Rotisserie & Bar|76 S Main St, Providence, RI 02903
McCormick & Schmick's|11 Dorrance St, Providence, RI 02903
Chinese Iron Wok of Ri|83 Benevolent St, Providence, RI 02906
Phonatic|165 Angell Str, Providence, RI 02906
Ten Prime Steak & Sushi|55 Pine St, Providence, RI 02903
Dunkin Donuts|275 Thayer St, Providence, RI 02906
Quickly|10 Dorrance St, Providence, RI 02903
Haven Brothers|12 Fulton And Dorrance St, Providence, RI 02903
Cheeseboy: Grilled Cheese To Go|Food Court, Providence, RI 02908
The Dorrance|60 Dorrance St, Providence, RI 02903
Capriccio|2 Pine St, Providence, RI 02903
Wings To Go|77 Ives St, Providence, RI 02906
Cafe Choklad|2 Thomas St, Providence, RI 02903
Brick Alley Pizza|Corliss Landing, Providence, RI 02903
Spats Restaurant & Pub|182 Angell St, Providence, RI 02906
Rick's Roadhouse|370 Richmond St, Providence, RI 02903
Andreas Restaurant|268 Thayer St, Providence, RI 02906
City Gyro|1 Kennedy Plz, Providence, RI 02903
Ama's|3 Luongo Memorial Sq, Providence, RI 02903
English Cellar Alehouse|165 Angell St, Providence, RI 02906
Flan Y Ajo|186 Union Street, Providence, RI 02903
Teriyaki and Korean House|217 Westminister  St, Providence, RI 02903
Championship Melt|n/a
Neath's New American Bistro|262 S Water St, Providence, RI 02903
Victoria's Pizzeria|184 Ives St, Providence, RI 02906
Chowder House Bar and Grill|525 S Water St, Providence, RI 02903
Petit Mange|129 Weybosset St, Providence, RI 02903
Mama Kim's Korean BBQ|n/a
