Review Title|Review Date|Review Score|Review Text
February 20, 2016|Food was fabulous and affordable. Servic...|4|Food was fabulous and affordable. Service was a little slow. Overall good dining experience.
February 15, 2016|Great for beer and sandwich|3|First time at G Pub and enjoyed it very much. Brought a friend for a light lunch and she was very pleased. The chips and sauce were great then we had the Inside out burger, very juicy and delicious. The waitress suggested a beer on tap that was just right . Well so much for the light lunch but it was worth it.
February 13, 2016|We had reservations for 6pm and were sea...|1|We had reservations for 6pm and were seated promptly. We waited at our table for 27 minutes without any contact from any wait staff. We moved to the bar and had a drink in less than a minute. Bar staff was great. Everyone was friendly. As for the wait staff, I strongly suggest more vigilance in regards to customer service and reasonably timed service.
January 28, 2016|Great place before PPAC|3|The burger was very good. They were out of the fried chicken sandwich by 6 PM. The service was not great. Our waitress kept disappearing.
January 8, 2016|Always Great!|4|Always a great meal! Pulled pork nachos are the best. The staff from the hostess, to the bartenders, and wait staff are all incredibly friendly and professional.
January 2, 2016|Fanastic food presentation and taste. To...|4|Fanastic food presentation and taste. Took a little long to get it though.
December 18, 2015|Good food, energetic environment.|4|Good food, energetic environment.
November 22, 2015|Dinner before the show|4|Took my Mom and Aunt here before a show at PPAC, not knowing what to expect, and was pleasantly surprised. Though it has more of a Sports Bar / Craft Brew atmosphere, the food was excellent and the menu selection diverse. We split a plate of Nachos with Braised Beef (made the nacho plate a little watery, but still delish), and Fish Tacos which were seasoned perfectly. I can imagine this place gets extremely noisy when it's busy, but we were early enough that it wasn't too crowded. I will definitely take my husband and friends back here - the guys will love all the TV's, and I'm interested in scoring one of the little side-rooms for a group hang-out.
November 19, 2015|Great burger and truffle fries, chicken ...|4|Great burger and truffle fries, chicken sandwich also great. Service was drop food off and that's it.
October 25, 2015|Great location for a dinner before a PPAC show.|5|Great location for a dinner before a PPAC show. Menu to please all tastes and a great beer and wine selection.
October 24, 2015|G Pub|4|Fun atmosphere and affordable fun! The karaoke rooms and game tables are s great way to unwind and have fun. It is a very affordable menu as well.
October 24, 2015|Had a reservation for the G Pub.  Asked ...|3|Had a reservation for the G Pub. Asked if it was appropriate for a 13 year old. I was told yes that children do come in. When we arrived our reservation was confirmed for 3. They proceeded to sit us at a high pub table by the bar. This would be ideal if we were not with a 13 year old. Noticed that there were booths on the other side of the bar that were empty. Asked if we could sit at a booth and we were told that the booths were for reservations. We had a reservation and they still said no. This was disappointing. Probably would not go back
