Review Title|Review Date|Review Score|Review Text
ays ago|Excellent experiance|5|Top notch service, great food, sophisticated decor. Just under $400 for 4 people, a bottle of wine, and some before-dinner drinks. We went the 3-course meal route. I will save this for anniversaries and such.
February 27, 2016|So So good!|5|We celebrated our 44th anniversary at Gracie's last weekend and it was definitely the right choice! From the moment we walked in until we walked out the door, every person connected with Gracie's was warm and welcoming and we felt very much at home. The menu was amazing and the service was excellent. We sat sipping our (inspired!)cocktails and watched what seemed like a ballet of servers and waitstaff who were quickly and efficiently delivered dishes around the room. Our own server knew the menu and wine list well and seemed to really be excited to talk about the food and wine choices and help us choose. She never missed a beat through the evening and kept track through each step of our 3-course prefix menu with wine pairings. Every offering from the baby greens salad (perfectly dressed) and house-made gnocci with butternut squash and Brussels sprouts, to crispy skinned and pink local duck breast and swordfish (also just right), to beautifully presented desserts with delicious accents like lime pound cake with cashew brittle and coconut green curry sorbet and apple cloumage tart with ginger ganache and bay leaf ice cream were each delicious and beautifully presented. Our server brought each bottle offered as a wine pairing to our table and explained a little about it. Every pairing was spot on! What a fabulous evening we had! Our only suggestion would be from my husband who enjoys trying local craft beers (really dark ones!)when we travel. There is a limited beer menu, and we hope next time there will be as wonderful a selection of local brews as there are now seasonal cocktails. Thank you Gracie's!!!
February 25, 2016|Love is in the details|5|Beyond amazing - they pay attention to details and take pride in their service and food, everything was delicious and the atmosphere is relaxing - a perfect night- thank you
February 20, 2016|My dining partner and I are long-time fa...|5|My dining partner and I are long-time fans of Ellie's, the associated bakery of Gracie's, so we decided to check out the full restaurant experience. We were certainly not disappointed. We decided to go for the nine-course tasting menu with the wine pairings and had a wonderful time with it. The food was interesting and exceptional, and the wine pairings were perfect. We both learned a lot throughout our meal. The service was welcoming and very hospitable, we felt like we were all friends by the end of the night. The environment is also fun with the artwork, star theme, and lighting. It was a special evening that we will not forget. Thank you, Gracie's!
February 20, 2016|Tasting Menu|5|Knowledgable staff. Impressed that the tasting menu was spaced out and not rushed through.
February 20, 2016|Another wonderful meal!|5|Another wonderful meal!
February 19, 2016|Went for our anniversary; received many ...|5|Went for our anniversary; received many congratulations, a special note and a champagne toast. Amazing food & amazing service. We had the 5 course tasting. The chef picks the menus biased on what you like.
February 19, 2016|Another great go-to place. Always great ...|5|Another great go-to place. Always great service and food. Don't let the price scare you. You can go there without spending too much money. This is becoming more and more a really special place for us.
February 19, 2016|Food? Top Shelf...Wine Pairings?...Worst ever|2|Went to Gracie's with my wife for a romantic dinner. While the food, service and ambiance lived up to my expectations, the whole evening was spoiled by the wine pairings portion of the tasting menu. With a 5 course tasting menu that included smoked salmon, venison, cheese raviolis, etc., it is inconceivable that they served 2 Sherrys (one which the waitress advised was better for cooking), 2 Rieslings and 1 cheap Merlot. (Think $15 Long Island, NY) While no one should have to suffer with such atrocious pairings, being first-timers, Gracie's had the opportunity to win us over and have us return often as my wife and I both enjoy great food and wine. If you try Gracie's, I recommend the tasting menu (5, 7, or 9 courses) but do yourself a favor and order by the glass or bottle.
February 18, 2016|"Great place the is unique as well
Servic..."|5|Great place the is unique as well Service was the best with special treats too.
February 16, 2016|"Had my ""Valentine's"" dinner here"|5|I work in the industry so I don't celebrate Valentine's Day with my girlfriend on the normal day. We had ours on a Tuesday. I knew I should do the tasting, but I also heard that it may not be as big of portions that you think. Well that was false. I did the 5 course tasting as well as the wine and non alcoholic pairings. Each course and pairing was in point. The wine played well with the food and made each dish stand out fantastically. This was one of the best tasting menus I have had in a while!
February 16, 2016|Another great evening.  The food and ser...|5|Another great evening. The food and service were great as usual. The menu was outstanding. Every piece of the experience was exceptional. The drinks created by the mixologist (Kristi) were outdone only by the chef's preparations in the kitchen. We wish we lived over Gracies and could call it our dining room!
February 14, 2016|Romantic Spot|5|Went here on Valentine's Day and the staff, meals, wine, and desserts were all perfect. Couldn't recommend a date place more highly.
February 14, 2016|We were there for Valentine's and had a great time|5|Great food, good drinks, but the bar eating area was cold compared to the main dining area.
February 14, 2016|We frequent Gracie's often. We had made ...|3|We frequent Gracie's often. We had made reservations there for Valentine's Day due to the past excellent experiences we had. Our friends who were recently engaged asked to join and about a week out I called to change the reservation. The girl on the phone was very rude. Telling me she wasn't sure if she would be able to accommodate that change. She was able to after being on hold for several minutes, then has the audacity to tell me we had to be out of there by 8:45. Our reservation was for 6:30, if it takes more than 2 hours to eat dinner, there's a problem. Unfortunately, this lack of customer service has made us change our opinion on Gracie's.
February 14, 2016|Phenomenal Meal!|5|I have been to Gracie's twice. The first time was about 12 years ago. I had a bad meal and poor service and never returned until Valentine's Day after friends and family insisted that I try it again. They told me that me first experience was an aberration. They were right. My girlfriend had the gnocchi appetizer and swordfish entree. I had the cream of celery soup and the rib eye steak. All of our courses were cooked to perfection and the service was equally wonderful. We will return. My only suggestion is that they add some side dishes to the menu. We would have like some veggies and a starch with our entrees.
February 13, 2016|Waited over an hour to get a table when ...|3|Waited over an hour to get a table when we had a reservation. Server was more interested in serving the table next to us which was middle aged bougie couple who were seated after us.
February 13, 2016|Gracie's never disappoints!|5|We had the 7 course chef's tasting menu with wine pairing! Each course was incredible and the wine pairings were perfect! I could have eaten each course as a main dish alone! I never wanted dinner to end! The staff was very attentive, even for such a busy night!
February 13, 2016|Good food experience.|4|Pros: The food was good and it was an interesting dining-experience. Cons: Valet driver was rude, the building was cold so I kept my winter coat on, the food was very salty, and although we had reservations we weren't seated for another 20minutes after our time.
February 13, 2016|One of, if not the best, PVD fine dining spots|5|There's a lot to love about Gracie's: the ambiance, the food, the wonderful little amuse bouches that come between courses. But this review is devoted to their service, which is wonderful. From the moment your car pulls up to the valet station, Gracie's has some of the best, most professional, and welcoming service staff in the City. The food was great as well, all of it perfectly timed and cooked as requested. I cannot wait to return! Wonderful place to bring a date.
February 12, 2016|Always such an experience|5|HUbby and I had a joint birthday/valentine's dinner and treated ourselves to the 7 course with wine. What a wonderful experience being served delectable surprise after surprise. We had wine from Spain, Italy, France, and Greece, a small glass of cava to celebrate the night, and an overall amazing food and service experience.
February 10, 2016|Don't ever take a group to this restaurant|1|"Had a reservation months ahead with this establishment for 8 people. When we arrived (on time) our reservation was ready and we were seated immediately. The restaurant was about 1/2 full. That is about all I can say good about this place. The wait staff was informative and helpful, but failed to keep us informed about our dinners. The waiter did warn us that if we ordered the ""4 course Chef menu"" it would take 3-3 1/2 hours to get served. We decided to order a la carte. The wait was excruciating. It took us over 3 1/2 hours to complete the meal. (we ordered within 15 minutes of arrival) The food, when it finally arrived was ok, nothing worth waiting 1 1/2 hours between the salad and main course. There were some items I can not explain from their menu - 3 orders of Swordfish - all plates exactly the same - 2 priced twice as much as the other. While this may be a decent place to bring a date for a LONG evening - I could not recommend it for a group. It is overpriced, the menu makes little to no sense, is not well explained."
February 10, 2016|Amazing Service|3|Service was some of the best in Providence, food on the other hand was just ok. It may have just been what we had but neither of us were impressed. Regardless will not be heading back. Too many other amazing and unexplored restaurants here in Providnece to try out!
February 5, 2016|Absolutely will be back!|5|Champagne upon arrival for my husband's birthday, beautiful table-scape, and helpful staff.. Just in the first few minutes! The food was amazing and the pace of the meal was perfect. I already requested we have MY birthday dinner here;)
January 30, 2016|Decent food but not worth the price|3|Arrived with a reservation, on time and was told to wait. So we stood in a cold room by the door for 5-10 minutes while they furnished our table, no one welcomed us or made us feel invited. Pretty poor way to start of a special night. Had the 7 course tasting with pairing. Some of the dishes lacked inspiration. Boulliebaise with no special teniques or ingredients. Just some mussels, calamari, and a 31/35 shrimp. I'm not spending 400 dollars on dinner for 2 to eat a dish I can pay 25 bucks for at any bistro. The menu lacked inspiration, and presented many traditional French dishes with no imagination. The dessert was laughable. A rock hard semifredo served on a 1 cm chocolate disc. How was I suppose to eat this without being clumsy and loud. While there were highlights, the octopus salad to start was great, and the wine pairings were perfect, I still left feeling that I got a bit ripped off.
January 30, 2016|The food was delicious, well prepared an...|5|The food was delicious, well prepared and the service very attentive without being overbearing! A delightful experience!
January 30, 2016|Off The Mark|4|Been to Gracie's a few times over the last few years. Always excellent. Seeing we were going to PPAC later in the evening, it would be the perfect place for dinner. As ALWAYS the food was top shelf, and the service started out pretty good at first. Then things took a dastardly turn like Cabaret did three quarters through the show. Ordered drinks, then was going to order some wine with dinner, but the waitress never offered and disappeared quickly. Ordered dessert and coffee............. We were finished with dessert, and I, my espresso, but my wife's coffee never arrived. The Manager, I think, arrived and was very accommodating. He adjusted our bill, probably for more than he should have. That lessened the suffering. Hate to slam such a good place. Feeling a little guilty about it, so we're going to half to go again to make sure the evening was a fluke.
January 29, 2016|Anniversary dinner|5|Absolutely wonderful experience!! We loved it! From the appetizer to the dessert and everything in between, it was delicious and an experience to remember!
January 26, 2016|Perfect for pre-theater!|5|I love the fact that Gracie's has a new policy which allows you to eat your first two courses leisurely before theater and then enjoy your dessert after the show. I can't imagine a better evening and it means that I was able to get get the 3 course menu and not rush!! Gracie's has outdone itself again!
January 22, 2016|Waitstaff were very accommodating- even ...|4|Waitstaff were very accommodating- even suggested we return after the theater to enjoy our dessert- great idea!
January 21, 2016|Superior rstaurant|5|Each of our 3 courses were five star...beet salad, swordfish and creme brûlée, exquisitley presented, everything cooked perfectly and presented in a true artistic culinary fashion. The atmosphere is gorgeous , nice lighting and the service at the bar top notch! Will be returning soon!
January 20, 2016|Gracie's was amazing. The only thing I c...|5|Gracie's was amazing. The only thing I could possibly say bad about it was we had to wait longer than intended even with a reservation. It was restaurant weeks so it was understandably busy. The bartender was very polite along with the other servers. The swordfish was perfect. The creme brulee was delicious but just on the thin side for me. The service was unbelievable.
January 20, 2016|We Love Gracie's!!!|5|"Gracie's is a ""must do"" If you enjoy amazing food! We consider ourselves ""foodies"" and when we find an amazing restaurant, we are loyal. Gracie's has a wonderful atmosphere, professional, friendly, informative staff, and food that absolutely delicious! Is is expensive? Not for the quality of what you receive. Gracie's is not to be missed if your like quality Providence dining."
January 19, 2016|wonderful treat|5|We loved every morsel and every bite. It was a pleasure eating here, I hope to visit again.
January 19, 2016|Gracie's was an amazing experience, once...|5|"Gracie's was an amazing experience, once again. Food was so delicious, palate cleansers were so much fun, and the presentation - both on the plate and to the table - was creative & added to the ""beautiful"" of the evening. If you visit RI, go to Gracie's. If you live in RI, definitely go to Gracie's!"
January 19, 2016|Great First Time Experience|5|My wife and I went out to dinner with another couple at Gracie's. For all of us it was our first experience there. The service was outstanding and the food was very good. We went because we had heard great reviews from our friends and we were not disappointed.
January 16, 2016|Amazing Dinner w/ Amazing Friends|5|The food and service were both phenomenal. The waiter we had gave the best suggestions for wine to pair with our meal and was very attentive. We dined as a group of 6 and loved the dining booth we were seated at with the plush pillows for comfort. The duck was amazing and one our friends is a pescatarian, which the chef was very accommodating to her requests. Best part were the small samples given between each course. The raspberry sorbet was so delicious I wish there was more than just a spoon full. This was our second time at Gracie's and it won't be our last.
January 16, 2016|Absolutely stunning in all aspects!|5|We knew going to Gracie's that they had won several awards for their food and wine list, but they exceeded all expectations! The service, the food, the bar, the wine, everything was absolutely flawless in every way! The quality of meal we got for the price was outstanding. Loved the extra touches like the spoon of sorbet in between courses and the complimentary macarons after dinner - even the valet left us 2 chocolate chip cookies in the car! Gracie's truly exceeded expectations and I can see why it's one of the top restaurants in RI!
January 16, 2016|Fabulous, as always|5|"My husband and I took his sister and her fiance to dinner at Gracie's. It was a combined ""congratulations on your engagement"" and ""farewell, we're going to miss you now that you're moving to the other side of the country"" dinner. We were delighted to treat them to dinner at the best restaurant in Providence. It was, as always, a fabulous meal. The service was impeccable, as was the food. The staff is consistently thoughtful, polite, and engaging. As someone with a dietary restriction, I always appreciate how careful they are with my meals. I can't say enough good things about Gracie's!"
Dined on January 16, 2016|Dolce Dining|4|We always consider Gracie's a special event. There is such charm and elegance mixed with an ease of service. We enjoyed our experience right from the greeting to the dessert. Everyone always makes a special effort to be engaging and making sure every need is met. Whenever we want to celebrate in style and be a bit extravagant, we choose this lovely venue to feel special, welcome and appreciated! Your menu is ever enticing and there is never an end to the niceties in treats and main course. Thank you for being an unique and enchanting cubby in the middle of bustling Providence. We will be back !
January 16, 2016|The Must-Go place in Providence! I went ...|5|The Must-Go place in Providence! I went to Gracie's during restaurant week. My friend and I had mostly every dishes in the restaurant week, and all of them were fantastic! This could be quite pricy in a regular days (not restaurant week), but I believe it's worth spending money. Serving was excellent and had great wine suggestions. Definitely will visit again!
January 15, 2016|Gracie's 1st time|3|The food was not anything special. Even though the service was nice, they did not seem to want to be there and you felt that. Made it feel like they didn't want to serve on me. The host stand even seemed like I was bothering them as they sat us.
January 15, 2016|First time at Gracie's|5|It was my first time going and it was suggested to me by some friends. I went with my best friend, and the two of us had a great night. The food was amazing, the staff was great. Jessica was our server, she was polite and very helpful. I would take a girl here on a first date in a heartbeat
January 14, 2016|Good food, great presentation, excellent service.|5|Ambiance is superb at Gracie's. Service is attentive and friendly. The food, for the most part, is creative and tasty.
January 14, 2016|Bryan & Sally were great. The food was a...|5|Bryan & Sally were great. The food was amazing as always! So creative and scrumptious!
January 13, 2016|My fave Providence dinner spot has a new rival!|5|"For years now I've been going to Bocaro's on date nights. It had long been my ""far and away"" #1 place to go for fine dining. I had always heard great things about Gracie's, but, like most humans, when you find something you deem to be perfect, I found it difficult to try any other spot. But last Wednesday, I did the hard thing to do, and decided to give another place a chance... so I made reservations at Gracie's. And what a great decision it turned out to be! I'm going to get my one criticism out of the way... We were seated about 30min after our reservation time. Normally that would be quite annoying. But there were a few open seats at the bar, so we had seat while we waited and enjoyed a very well made Martini. When our take was ready, there were many apologies for the wait, which was nice that it was an acknowledged lapse in service. Then it was all smooth sailing from there. Cheese plate appetizer - sounds boring, but no! Amazing! It's a must try. Duck breast - I'm a big fan of duck... And this preparation blew my expectations out of the water! Pasta dish - the name of which I can't remember but our server recommended it and described it as ""the most amazing bolognese you'll ever have""... He was spot on. Carrot cake dessert - a refreshingly small portion after all we had just eaten... But wow... The flavor was tremendous! Lastly... The thing that blew us both away were the ""extras"". Like the complimentary lemon sorbet to cleanse your pallet in between the appetizer and meals. The tiny treats given with the check. Even the mini cookies left by the valet attendant in your car as it's driven to curbside for you! Long story short... Reservations were just made again for this week! Gracie's is amazing!!"
January 13, 2016|my favorite Providence restaurant|5|Delicious meal, wonderful service, an opportunity to taste the wines i was considering for my meal. Do not miss
January 13, 2016|Heavenly Gnocchi|5|Gracies is my go to restaurant for self-indulgence. From the valet to hostess to server - you are made to feel special. While pricey for regular visits, taking advantage of Restaurant Week allows me to go at least three times a year. Then the main reason to go, the food! For me, flawless every time. Taste and presentation rule. My wish is the last thing I taste in this life is their gnocchi. Light and somehow served with sophistication. Kudos all around to this fine restaurant in a city filled with many opportunities for great food. Gracie's definitely in my top three!
January 13, 2016|Absolutely great|5|We have visited the restaurant several times. Always a good experience. Our visit during restaurant week in Providence was especially enjoyable because of the fixed price menu and reasonable price.
January 12, 2016|Our favorite!|5|Such a special experience! Great service and an amazing meal. Can't beat it. I was actually crushed that I was too full to finish my final restaurant week course. Everything was delicious and it's such a lovely spot.
January 12, 2016|Favorite Restaurant in Providence|5|We have been to Gracie's many times, and feel that it has the best food, service and ambience in Providence. We recommend it highly. They are always very wecoming, attentive to food allergies. We hagve friends who are gluten free and vegan, and they tell us that they never have a problem at Gracie's. The bread is fantastic, the amuse bouche a nice treat, the intermeezzo and uncommon addition nowadays, and the sweet treat at the end a lovely way to end a great experience. All of this is on top of whatever incredible courses that you order! One final note, we notice that their staff does not turn over a lot, which frequently indicates that they treat their employees well, too. Bravo!
January 2, 2016|We have been dining at Gracies for years...|5|We have been dining at Gracies for years, and every experience has been great, but this was the most amazing of all. Ironically, it was the night before they closed for their off-week in January. We had the seven course tasting menu, and it was outstanding. We identified our new favorites from this experience (think tuna!).
January 1, 2016|Best of the best|5|This was our first visit to Gracie's and it certainly will not be our last! We decided to go with the 9 course flight and it was amazing. The chef is a true master! The layers of flavor that came through in every bite left you wanting more. The waitstaff worked in synchronous harmony. Everything was attended to and you lacked for nothing. Gracie's gets an A++ in my book.
December 31, 2015|Long wait, no apology.|3|We had a dinner reservation on New Year's Eve for 9PM. We waited with no place to sit for over 40 minutes (I was seriously regretting my decision to wear heels) and when we were finally seated, we received no acknowledgement or apology for the absurd wait time. In fact, the hostess seemed downright annoyed when we asked how much longer the wait would be. Ultimately, the wait time made it impossible for us to make it to our plans for midnight. For that level of inconvenience, I would have expected a genuine apology at the very least. The food, as always, was great and our waiter was friendly. But I'll think twice before going back for a special occasion.
