Name|Price|Genre|Rating|Review Count
Pane e Vino Providence|3|Italian|4.28|1494
CAV Restaurant|2|Contemporary French / American|4.36|519
XO Cafe|2|American|4.01|383
Pat's Italian|2|Italian|4.67|3
Red Stripe|2|Contemporary American|4.16|627
Circe Restaurant & Bar|2|Contemporary American|4.36|279
Waterman Grille|2|Contemporary American|4.28|1252
Primecut|3|Steakhouse|4.08|13
Bravo Brasserie - Providence|2|American|3.98|428
Local 121|2|Contemporary American|4.16|940
The Dorrance|2|European|4.27|302
Cook & Brown Public House|2|American|4.13|338
Andino's Restaurant|2|Italian|4.41|395
Hemenway's|3|Seafood|4.38|2045
Jacky's Waterplace Restaurant (Downtown Providence)|2|Contemporary Asian|4.3|324
Bocado Tapas Wine Bar - Providence|2|Tapas / Small Plates|4.27|226
Siena - Providence|2|Italian|4.42|558
Camille's Restaurant|3|Italian|4.53|1021
G Pub|2|Gastro Pub|3.67|86
Shula's 347 Grill - Providence|3|Steak|3.81|269
Bluefin Grille|2|Seafood|3.71|14
Cafe Paragon|2|Contemporary European|3.49|73
Rosalina|2|Italian|4.27|162
Costantino's Venda Bar & Ristorante|2|Italian|4.46|63
Red Fin Crudo|2|Tapas / Small Plates|4.02|50
The Melting Pot - Providence|2|Fondue|3.94|81
Ten Prime Steak & Sushi - Providence|3|Steak|4.31|393
Spirito's Restaurant|2|Italian|4.28|268
Fleming's Steakhouse - Providence|3|Steak|4.3|508
Public Kitchen and Bar|2|Contemporary American|3.87|113
Nami|2|Japanese|4.26|81
Centro Restaurant & Lounge|3|Italian|3.85|87
Romeo's Kitchen|2|Mediterranean|4.29|7
Rooftop at Providence G|2|American|4.0|3
India Restaurant|2|Indian|4.42|276
Pot au Feu|3|Contemporary French|4.32|250
Jacky's Restaurant & Banquets (North Providence)|2|Pan-Asian|4.39|46
Shark Sushi Bar and Grille|3|Sushi|3.81|43
Gracie's|3|Contemporary American|4.59|1959
The Capital Grille - Providence|4|Steakhouse|4.46|1161
Providence Oyster Bar|3|Seafood|4.37|367
Cassarino's|2|Italian|4.24|89
Garde de la Mer|3|Contemporary French / American|4.29|82
Capriccio|3|Italian|4.35|769
Providence Coal Fired Pizza|2|Contemporary American|4.26|487
Parkside Rotisserie & Bar|2|Contemporary American|4.32|520
Mill's Tavern|3|Contemporary American|4.37|687
Federal Taphouse and Kitchen|2|American|4.13|467
Euro Bistro|2|Italian|5.0|1
McCormick & Schmick's Seafood - Providence|2|Seafood|3.68|879
Cafe Nuovo|3|Contemporary American|4.5|880
The Fire|2|Italian|3.88|108
