Name|Price|Genres|Rating|Review Count|Address
roba!dolce|2|Ice Cream & Frozen Yogurt /// Coffee & Tea|3.0|2|178 Angell St
Asian Bistro|2|Asian Fusion|2.5|4|123 Dorrance St
XO Steakhouse|3|Steakhouse|4.0|3|125 N Main St
Sura|2|Barbeque /// Korean|3.29|14|232 Westminster St
Fellini Pizzeria|1|Pizza|3.74|38|166 Wickenden St
The Capital Grille|3|Seafood /// Steakhouses /// Wine Bars|4.42|12|10 Memorial Blvd
Kartabar|2|Bar /// Mediterranean|3.68|22|284 Thayer St
Dok’s Deli|1|Delis /// Sandwiches|4.13|8|146 Ives St
East Side Pockets|1|Middle Eastern /// Greek /// Mediterranean|4.42|77|278 Thayer St
Alibi Cafe|1|Cafes|3.0|1|18 Bassett St
Adesso California Cafe|N/A|N/A|4.0|2|161 E Cushing St
Meeting Street Cafe|2|Cafe /// Breakfast & Brunch /// Traditional American|3.47|19|220 Meeting St
Silver Star Bakery|1|Bakery|4.0|3|150 Ives St
Mama Teresa of Providence|1|Restaurants|5.0|1|203 Westminster St
Pot au Feu|3|French|3.69|13|44 Custom House St
Bagel Gourmet Cafe|1|Bagels|3.67|3|222 Richmond St
Pakarang Exquisite Thai Cuisine|2|Thai|3.67|9|303 S Main St
Starbucks|2|Coffee & Tea|2.0|1|1 Financial Plz
United BBQ|1|Barbeque|3.88|26|146 Ives St
Tazza|2|American (New) /// Cafes /// Tapas/Small Plates /// Diners|3.5|165|250 Westminster St
The Blind Tailor Caffe|1|Cafe|4.0|1|45 Weybosset St
George’s Deli|1|Delis|3.0|4|167 Ives St
Kabob and Curry|2|Indian|4.0|1|261 Thayer St
Angkor Restaurant|2|Cambodian /// Thai /// Vietnamese|4.14|21|10 Traverse St
CilantroMex|1|Mexican|3.0|11|10 Westminster St
Cafe Zog|1|Coffee & Tea /// Bagels /// Sandwiches|2.85|13|239 Wickenden St
Cafe Francaise|1|Coffee & Tea /// Bakeries|4.0|1|100 Gaspee St
Rue-Bis|1|Sandwiches /// Desserts|3.4|5|95 South St
Cafe Noir|2|French /// Cafes|2.67|6|125 N Main St
Toledo Toledo Pizza In a Cone|1|Pizza|4.0|3|257 Thayer St
New Rivers|3|American (New)|3.69|16|7 Steeple St
Blake’s Tavern|2|Traditional American /// Irish|3.4|10|122 Washington St
Louis Family Restaurant|1|Diners /// Breakfast & Brunch|3.44|25|286 Brook St
Pinkberry|2|Ice Cream & Frozen Yogurt|4.0|1|128 Providence Pl
English Cellar Alehouse|2|British /// Pubs|2.83|6|165 Angell St
Ebar|2|Coffee & Tea /// Internet Cafe|4.0|1|Nordstrom
Ugly American|1|Burgers /// Modern American|3.43|7|167 Ives St
Reflections Cafe|1|Coffee & Tea /// Ice Cream & Frozen Yogurt /// Bagels|4.67|3|468 Wickenden St
Rue De L’espoir|2|American (New) /// French|3.19|16|99 Hope St
Benders Caffe|2|Coffee & Tea /// Juice Bar /// Sandwiches /// Bagels|2.5|2|129 Weybosset St
The Dark Lady|N/A|N/A|3.0|2|19 Snow St
Pie in the Sky|2|Jewelry /// Accessories|4.33|6|225 Thayer St
Juniper Frozen Yogurt|2|Ice Cream & Frozen Yogurt|3.78|9|229 Thayer St
PVD Pudding Pops|1|Ice Cream & Frozen Yogurt /// Market Stall|4.8|5|Providence
Al Forno Restaurant|3|Italian|4.18|45|577 S Water St
Starbucks|1|Coffee & Tea|3.0|2|102 Waterman St
Providence Cookie Co|N/A|N/A|5.0|1|15 Peck St
SideBar & Grill|2|Bars /// American (Traditional) /// American (New)|4.0|4|127 Dorrance St
Plan Bean|1|Coffee & Tea /// Bagels|4.5|2|128 N Main St
The Cheesecake Factory|2|Traditional American /// Desserts|3.43|21|94 Providence Place
The Point Tavern|2|Bars|3.0|1|302 Wickenden St
Ben & Jerry’s|1|Desserts /// Ice Cream & Frozen Yogurt|1.5|2|224 Thayer St
Napa Valley Grille|3|American (Traditional)|3.33|3|111 Providence Pl
Small Point Café|1|Coffee & Tea /// Modern American /// Desserts|3.5|16|230 Westminster St
Sawaddee Thai Restaurant|2|Thai|3.71|17|93 Hope St
Mike’s Calzones & Deli|1|Delis /// Pizza /// Salad|4.0|4|288 Thayer St
Corporate Cafe|1|Cafes|3.0|1|40 Westminster St
Geoff’s On Thayer|N/A|N/A|3.5|2|178 Angell St
Froyo World|1|Ice Cream & Frozen Yogurt|4.11|18|219 Thayer St
Better Burger Company|1|Burgers /// Breakfast & Brunch|2.63|16|215-217 Thayer St
McCurdy’s Junction House|2|Modern American /// Vegetarian|3.67|6|79 Ives St
Fleming’s Prime Steakhouse & Wine Bar|4|Steakhouses /// Wine Bars|4.24|17|One W Exchange St
Angkor Restaurant Express|2|Cambodian|3.33|3|129 Weybosset St
Joe’s American Bar & Grill|2|American (Traditional)|3.0|10|148 Providence Pl
Geoff’s Superlative Sandwiches|1|Sandwiches|3.71|21|163 Benefit St
Poco Loco Taco Truck|1|Mexican /// Food Trucks|4.0|7|200 Weybosset St
Fish Co Bar & Grill|2|Bars /// American (Traditional)|2.25|4|515 S Water St
The Duck and Bunny|2|Creperies /// Coffee & Tea|3.78|50|312 Wickenden St
Chipotle Mexican Grill|1|Mexican /// Fast Food|3.0|3|178 Angell St
Local 121|3|Bars /// American (New) /// French|3.77|39|121 Washington St
Parkside Rotisserie & Bar|3|American (New) /// Bars|3.69|13|76 S Main St
McCormick & Schmick’s Seafood & Steaks|3|Seafood /// Traditional American /// Steakhouse|2.83|12|11 Dorrance St
Chinese Iron Wok of Ri|2|Chinese|3.0|3|83 Benevolent St
Phonatic|2|Vietnamese|2.71|7|165 Angell Str
Ten Prime Steak & Sushi|3|Sushi Bars /// Steakhouse|3.95|19|55 Pine St
Dunkin Donuts|N/A|N/A|4.0|1|275 Thayer St
Quickly|1|Juice Bar /// Bubble Tea|2.25|4|10 Dorrance St
Haven Brothers|1|Diners /// Market Stall|3.63|8|12 Fulton And Dorrance St
Cheeseboy: Grilled Cheese To Go|1|American (New) /// Fast Food|4.33|3|Food Court
The Dorrance|3|Bars /// Modern American /// Venues & Event Spaces|4.47|17|60 Dorrance St
Capriccio|3|Modern American /// Italian /// Seafood|4.36|14|2 Pine St
Wings To Go|1|Barbeque|4.33|3|77 Ives St
Cafe Choklad|2|Coffee & Tea /// Desserts /// Specialty Food|4.38|8|2 Thomas St
Brick Alley Pizza|N/A|N/A|4.0|2|Corliss Landing
Spats Restaurant & Pub|2|Pub /// Restaurants|2.88|16|182 Angell St
Rick’s Roadhouse|2|Barbeque /// Burgers|3.25|16|370 Richmond St
Andreas Restaurant|2|Greek /// Mediterranean|3.41|22|268 Thayer St
City Gyro|1|Market Stall|5.0|2|1 Kennedy Plz
Ama’s|2|Japanese /// Seafood /// Bars|3.86|7|3 Luongo Memorial Sq
English Cellar Alehouse|2|British /// Pubs|3.16|19|165 Angell St
Flan Y Ajo|2|Tapas Bars|4.73|15|186 Union Street
Teriyaki & Korean House|2|Japanese /// Korean|4.38|8|217 Westminister  St
Championship Melt|1|Sandwiches /// Food Trucks|4.0|1|Providence
Neath’s New American Bistro|N/A|N/A|5.0|3|262 S Water St
Victoria’s Pizzeria|1|Pizza|2.0|11|184 Ives St
Chowder House Bar and Grill|2|Seafood /// Bars|2.0|2|525 S Water St
Petit Mange|1|Creperies /// Sandwiches|4.0|1|129 Weybosset St
Mama Kim’s Korean BBQ|1|Korean /// Food Trucks|4.43|21|Providence
Sushi Express|1|Sushi Bars|2.6|5|283 Thayer St
Solomon’s Market|2|Korean|2.5|2|404 Benefit St
Gourmet Heaven|2|Grocery|3.57|7|173 Weybosset St
Au Bon Pain|1|Sandwiches /// Bakeries|2.0|1|100 Westminster St
Fire & Ice|2|American (New) /// Mongolian|2.11|27|48 Providence Pl
The Blount Clam Shack and Soup Bar|2|Seafood /// Soup /// Fish & Chips|4.1|10|371 Richmond St
Viva Mexico Cantina & Grill|2|Mexican|1.83|6|129 Washington St
Tazza|2|American (New) /// Cafes /// Tapas/Small Plates /// Diners|3.54|35|250 Westminster St
Abyssinia|2|Ethiopian|4.28|29|333 Wickenden St
Dragon 2000|1|Chinese|5.0|1|127 Mathewson St
Brickway on Wickenden|1|Breakfast & Brunch|3.59|27|234 Wickenden St
Café La France|1|Sandwiches /// Coffee & Tea|2.8|5|100 Gaspee St
Hercules Mulligan’s Irish Pub|2|Pubs /// Irish|2.67|3|272 Thayer St
Providence Coal Fired Pizza|2|Pizza|4.42|12|385 Westminster St
O-Cha|2|Thai|3.5|6|221 Wickenden St
The Apartment|2|Lounges|2.6|5|373 Richmond St
Jacky’s Waterplace|3|Sushi Bars /// Steakhouses /// Cantonese|3.75|16|200 Exchange St
Spice Thai Bistro|2|Thai|2.0|9|120 Waterman St
Starbucks|2|Coffee & Tea|3.33|3|11 Dorrance St
Murphy’s Providence|2|Delis /// Pubs /// Sandwiches|3.57|7|100 Fountain St
The Red Fez|2|Pubs /// American (New)|3.8|46|49 Peck St
Centro Restaurant and Lounge|2|Italian /// Bar|4.0|3|Omni Hotel
Sakura Restaurant|2|Japanese /// Sushi Bars|3.48|29|231 Wickenden St
Olga’s Cup and Saucer|2|Bakeries /// Breakfast & Brunch /// Sandwiches|3.96|24|103 Point St
Eddie & Sons Diner|1|Diners|3.5|4|74 Dorrance St
Raphael Bar Risto|3|Italian|3.0|2|1 Union Station
Gourmet India|1|Indian /// Pakistani|3.75|8|Providence Place Mall
Blue State Coffee|1|Coffee & Tea|3.65|17|300 Thayer St
Pizza Queen|1|Pizza|2.71|7|215 Weybosset St
Soban|2|Korean|3.67|3|272 Thayer St
Bagel Gourmet Ole|1|Bakeries /// Sandwiches|4.0|4|288 Thayer St
Tommy’s Place|1|Traditional American /// Dive Bar|4.0|3|144 Westminster St
3 Steeple Street Bistro & Bar|2|American (New) /// Bars|4.0|4|125 Canal St
Café Yuni|2|Japanese /// Korean|4.5|2|10 Traverse St
The Wild Colonial Tavern|1|Pubs|3.82|11|250 S Water St
Eat 82|1|Modern American|3.0|4|82 Weybosset St
Asian Paradise Restaurant|N/A|N/A|2.0|1|165 Angell St
Via Via IV|1|Pizza|1.0|1|205 Meeting St
Haruki Express|1|Japanese /// Sushi Bars|3.0|6|112 Waterman St
Baja’s Tex Mex Grill|1|Tex-Mex|4.0|12|273 Thayer St
Gordito Burrito|1|Pizza /// Mexican|2.5|4|258 Thayer St
Amy’s Place|1|Modern American /// Breakfast & Brunch|3.08|13|214 Wickenden St
Nice Slice|1|Pizza /// Vegan|4.02|42|267 Thayer St
Roots Cafe|2|Bars /// Music Venues /// Coffee & Tea|4.0|1|276 Westminster St
Coffee Exchange|1|Coffee & Tea|4.29|35|207 Wickenden St
Bagel Gourmet|1|Bagels /// Sandwiches /// Breakfast & Brunch|4.13|8|250 Brook St
Jake’s Bar & Grille|2|Traditional American|2.0|1|373 Richmond St
Malachi’s|1|Coffee & Tea /// Cafe|4.25|4|134 Ives St
Sherri’s Cafe 101|1|Coffee & Tea /// Bagels|4.5|4|101 Dyer St
Tealuxe|1|Coffee & Tea|3.62|13|231 Thayer St
Spice Thai Bistro|2|Thai|1.25|4|120 Waterman St
Starbucks|2|Coffee & Tea|3.0|9|59 Chestnut St
The Whiskey Republic|2|Concert Hall /// Pub /// Karaoke|3.33|12|15 Bridge St
La Creperie|1|Creperies|3.73|30|82 Fones Aly
Guido’s Restaurant|2|Italian|3.0|5|100 Hope St
Bacaro|3|Wine Bars /// Italian /// Delis|3.94|17|262 S Water St
Fancheezical|1|Sandwiches /// Food Trucks|3.83|6|Providence
Wings & Things|1|Burgers /// Chicken Wings|2.75|4|250 Brook St
City Cafe|N/A|N/A|1.0|1|79 Dorrance St
Shanghai|2|Chinese /// Japanese|2.96|23|272 Thayer St
Hemenway’s|3|Seafood|3.93|27|121 S Main St
Pizza Pie-er|2|Pizza|3.35|17|374 Wickenden St
The Pizza Gourmet|2|Pizza|3.25|8|357 Hope St
Luxe Burger Bar|2|Burgers /// American (Traditional)|3.23|53|5 Memorial Blvd
Noodles 102|2|Asian Fusion /// Soup /// Chinese|4.0|7|102 Ives St
Au Bon Pain|1|Coffee & Tea /// Salad /// Sandwiches|3.25|4|223 Thayer St
Cuban Revolution|2|Cuban|3.03|29|50 Aborn St
XO Café|2|Modern American /// Breakfast & Brunch|3.5|2|125 N Main St
Mill’s Tavern|3|Seafood /// Steakhouse /// Salad|3.54|24|101 N Main St
Cafe Nuovo|3|American (Traditional)|4.44|9|1 Citizens Plz
Sakis Pizza|1|Pizza|3.0|1|199 Weybosset St
Aspire|2|Modern American|2.56|9|311 Westminster St
East Side Creamery And Pizzeria|1|Ice Cream & Frozen Yogurt /// Pizza /// Sandwiches|3.2|5|170 Ives St
Jolly Roger Cafe|1|Sandwiches|3.33|3|257 S Main St
Dunkin’ Donuts|1|Donuts /// Coffee & Tea|2.0|1|141 West Minister St
Giovanni’s Pizzeria|1|Pizza|5.0|1|85 Richmond St
Rí Rá Irish Pub|2|Pub /// Irish|3.44|18|50 Exchange Ter
Gavin’s Pub & Restaurant|2|Bar /// Pub|4.38|8|520 S Water St
Bolt Coffee Co|1|Coffee & Tea|4.5|73|122 Fountain St
Starbucks|1|Coffee & Tea|3.0|3|218 Thayer St
Ruth’s Chris Steak House|3|Steakhouse /// Seafood /// Traditional American|4.25|16|10 Memorial Blvd
Cafe la France|1|Cafe|3.0|6|65 Weybosset St
Subway|1|Sandwiches /// Fast Food|1.0|2|55 Eddy St
Charlie’s 404 Deli|1|Internet Cafes /// Delis /// Sandwiches|3.5|2|404 Benefit St
The ROI Food & Music|2|Burgers /// Sandwiches /// American (Traditional)|3.5|6|150 Chestnut St
Wings To Go|1|Restaurants|4.33|3|272 Thayer St
Blue Elephant|2|Modern American|3.6|5|312 Wickenden St
Gracie’s|3|American (New) /// Bars|4.28|40|194 Washington St
Tea In Sahara|1|Coffee & Tea /// Moroccan|3.92|12|69 Governor St
Agora Restaurant & Bar|N/A|N/A|3.5|4|1 W Exchange St
Harry’s Bar & Burger|1|Burgers /// Beer Bar|3.21|33|121 N Main St
Vanity|2|Modern American /// Bars|3.0|5|566 S Main St
Waterplace Restaurant|3|Dance Clubs /// Latin American /// Gluten-Free|2.88|8|1 Finance Way
Spike’s Junkyard Dogs|1|Hot Dogs|4.0|8|273 Thayer St
