Review Title|Review Date|Review Score|Review Text
ays ago|Not the same quality as the original cas...|2|Not the same quality as the original cassarino's10 years ago
February 27, 2016|Brian Fall River|3|The service was kind of poor but the food was fantastic.
February 27, 2016|Great Service|4|We arrived about an hour early do to a quick basketball game. They were able to accommodate us with only about a fifteen minute wait. The food was delicious and the helpings were enormous. An entrée got you two full meals. I also asked them to add sausage to the gnocchi, they did it with no hesitation. Well done!!
February 27, 2016|Great dinner spot on Federal Hill|4|Nice spot for an Italian dinner in Providence. It was really crowded on Saturday night, so reservations are a must on weekends. Three of us in our party got the linguine with clam sauce (white and red). Both sauces were excellent and the clams were very fresh. Great portion sizes!
February 27, 2016|Cassarino's|5|I absolutely LOVED eating here. Cassarino's is just as good, if not better than any Italian restaurant that I have been to in the North End of Boston. We weren't rushed out of the restaurant and the chefs took their time to cook the food. The food was very fresh. I had a delicious house salad with balsamic vinaigrette for an appetizer and for dinner I had the pasta primerava with olive oil, which was the best that I have ever tasted. The vegetables that they included blended well together. The vegetables included capers, olives, artichokes, sun-dried tomatoes, and broccoli. Also, the tomato sauce is the freshest that I have ever tasted and is well worth trying. Also, an added plus is that they accommodate food restrictions very well even though they don't have a separate gluten free menu. I have a gluten intolerance and a dairy allergy and they were able to easily substitute any pasta dish with gluten-free penne pasta and replace with Italian house dressing (which had dairy in it) with balsamic vinaigrette. The atmosphere was also very spacious and the staff was very friendly. This is definitely my new favorite Italian restaurant!!
February 27, 2016|Awesome time at Casserino's|5|Casserino's is my favorite restaurant on Federal Hill. Great food, great service, great time. Staff was very pleasant and attentive. Food was delicious. Staff attentive to requests. I have been going to Casserino's for over 15 years and have never been disappointed.
February 26, 2016|Cassarino's never disappoints!|5|"We took our son and his new girlfriend who were up from Florida to Cassarino's to celebrate his 25th birthday. The food was excellent and service great as well, as always. They wanted to try something ""very Rhode Island"" and I suggested Cassarino's because it is our favorite Italian restaurant on the hill. The calamari was really awesome, best around."
February 21, 2016|Enjoyed the entire experience.  Food was...|5|Enjoyed the entire experience. Food was great and the service was also
February 20, 2016|Best place on the hill.|5|Great food, great service, free valet parking. The chicken marsala was amazing.
February 20, 2016|very,very loud!   terrible choice!|2|And we where there to celebrate two birthdays! Very disappointed.
February 20, 2016|Service was slow Saturday night. We had ...|3|Service was slow Saturday night. We had to ask for menus, my napkin fell on the floor, the waiter noticed immediately, picked it up before I noticed, forgot to bring me another. We both ordered Veal dishes, but were given butter knives to use to cut. Food was good, but not up to their usual standards. We have been many times in the past, and had great meals and service, but this was not one of them.
February 20, 2016|Great atmosphere & great food!|4|Great atmosphere & great food!
February 15, 2016|Lunch on President's Day|4|As always, food is delicious. My sister, mom, and I shared calamari and Caesar salad then each had an entrée. I also had a nice glass of Riesling. I only gave three stars for service because we had a young man who although very nice, wasn't very polished in terms of serving in a nice restaurant. No biggie though. Won't be long before we return for the umpteenth time!!!
February 14, 2016|Perfect date night|5|Cassarino's has become our Valentine's dinner tradition for the past 5 years. You will need to make reservations in advance for any weekend or holiday dinner. If you can, request the top floor by the window for a beautiful view of the city and federal hill area. We love this place for a delicious meal in an intimate setting, and reasonably priced. Downstairs is more casual with a full bar, but upstairs has a more quiet romantic atmosphere, with the third floor being my favorite for the view. Complementary valet is also very convenient in the Federal Hill area. We've never been disappointed and plan to return for years to come <3
