Review Title|Review Date|Review Score|Review Text
February 27, 2016|Beautiful and romantic|5|My surprise to my husband, they handed him a rose as we sat down as requestoed, the wine was amazingly selected by our waiter. the food was outstanding if yu get a salad get the spinach oh my goodness. waiter very attentive and helped with our first UBER ride - Amazing gem of a restaurant.
February 12, 2016|calming atmosphere|3|Great ambiance but the signature drinks were awful. Food was excellent. Scallops were a little salty but cooked great.
February 11, 2016|accommmodating|4|We had to add to our party of 9 and make it 11 and they were very accommodating. Service was good but I thought a little slow but it was OK we were in no big rush. The food was great - no one had an issue. The ones who ordered Paninis said they were awesome.
December 29, 2015|Comfortably Elegant|5|Centro's location on the second floor of the Omni Hotel was a delightful find. The hotel is easy to find, plenty of nearby parking, and the gracious lobby provided a bustling energy upon arrival. The maître d' was attentive, greeted and guided us to our table and party. The restaurant was quiet allowing time to soak in the decor and atmosphere of comfortable elegance. Our server was very attentive in an unobtrusive way and patient with 3 friends with 35 years of history between them to talk about. I ordered the shrimp cocktail and was pleased with the four fresh jumbo shrimp served on ice with a lemon wedge and cocktail sauce on the side. They were chilled appropriately and had a decent snap to them. The sauce could have been stronger / needed more horseradish, but I do like a cocktail sauce that makes your eyes water and your sinuses sing. For my entrée I enjoyed greatly the rigatoni bolognese. A just right portion of al dente pasta lazed in a flavor-rich sauce laced with tender beef, pork and veal and freshly grated parmesan cheese. The taste and texture combinations were overwhelmingly satisfying and I found myself repeatedly expressing my pleasure over this dish. I complimented the meal with a glass of Iron Horse Estate chardonnay. We finished with flourless chocolate cake and lemon ricotta cheesecake, both of which were delightful. Would definitely return. Was a true pleasure of a meal.
December 25, 2015|Lovely Christmas meal!|4|we went on Christmas day for a quiet respite ...my absolute favorite is the pizza with truffle oil, cheese, and pancetta. I will go back just for that. Steak was cooked to perfection. Server was not at all educated on wines and service but she tried hard.
December 24, 2015|Waited 2 hours for food and when it came...|1|Waited 2 hours for food and when it came out, it was cold! I will MEVER be back and will NEVER recommend!!!!!!!
December 16, 2015|Best|5|The best food I've tasted in a long time. Awesome service. I will definately be back.
November 26, 2015|Thanksgiving dinner|3|"The food was good, the service was good but even though the restaurant was serving barley six tables I felt they were rushing us. My daughter was still eating and they were trying to clear her plate. Most restaurants do this, they are so eager to clear all the plates it makes those who are not finished feel like they need to hurry up and eat. I go out to relax not feel like I need to gobble down my food. We came here for the Thanksgiving dinner and they were so adherent to the menu they would not let my son switch the sides from potatoes to the green vegetable offering. How is it such a big deal to plate one over the other? The answer is it is not! For a hotel restaurant this is ""good"" but I don't want to go out for a good meal I want a great memorable meal. I would not return."
November 26, 2015|The Thanksgiving dinner was very skimpy ...|3|The Thanksgiving dinner was very skimpy for $40.00 quality was good but there was hardly any turkey in the plate
October 30, 2015|Rediculous|3|Our reservation was at 7 pm and we did not get our food until 830!!! The restaurant did not have many people in it, yet the waitor said that the kitchen was backed up. We did not receive our appetizer until 8pm an hour after we ordered. Food was good but not worth the hour and ahalf wait at all. It was a little bit of a let down seeing as though we loved the hotel and the convenience of the restaurant within it but after waiting almost 2 hours for four entrees I dont think i would go again.
August 29, 2015|Blah|3|Was uninspired and rather dull. Nothing particularly awful but nothing was particularly good either.
August 22, 2015|Excellent food and service|5|From the bread to the delicious eggplant appetizer to the bolognese and chicken parm to the excellent wine and great service everything was perfect
August 1, 2015|PARKING/FOOD/SERVER|4|Our server, Yasmine, was excellent. Very informative and helpful. The food was delicious! Chicken Parm, pizza and salmon dish. The only downside was the issue of parking - I was told we could park in the R I Convention Center Parking garage. So we did. No attendant was there - we got our ticket. When we left, the hostess signed the stub for free parking up to 3 hours (We were only there about 1 1/2 hours AND it was after 5 as required.) The parking attendant said the ticket was not the appropriate ticket. So we paid the $12.00. After having a delicious meal and good service, the ending was a huge disappointment. I immediately called the restaurant. She said (whoever answered the phone) that they did not reimburse for RI CC parking - so why did she sign the ticket for reimbursement? And by the way, their website AND the R I Local magazine both say they reimburse for up to 3 hours. So I am totally confused and not very happy about this. I have sent the restaurant an email regarding this issue also. As of yet, no response. I would recommend the restaurant but I would be cautious about the parking reimbursement.
July 6, 2015|Great service great food|5|From the begging to the end our server was onpoibt, the food and dessert choices are excellent, i would def. recommen to come here to impress some one awesome atmosphere and impecable service
June 20, 2015|Centro was great|4|My brother recommended Centro as a great place to stop by after seeing a show at the Dunkin Donuts Center in Providence. We tried it and it was terrific. Located within the Omni Hotel. The restaurant was beautifully decorated and the food and service was great. We will go again.
May 17, 2015|graduation|3|we ate hear 3 times during our stay. Twice for breakfast, and once for lunch. The service for the first breakfast was inadequate. Also waitstaff was standing around during our meal, in the dining area, drinking coffee and having conversations.
April 25, 2015|It was OK but nothing really special. No...|2|It was OK but nothing really special. Not worth the money.
April 7, 2015|Very Dissappointing|2|Very disappointed in Centro. We just moved into a building connected to hotel in which Centro is located and we're hoping it would be a go-to place for us. When we arrived, we asked for a quiet table and were led to a table near a large, noisy group. When we asked to change we were told that restaurant was very busy that night. In fact, there were many empty tables which remained empty. After saying she would check and leaving us standing for several minutes we were finally allowed to move to another table. Our waitperson was very nice. We ordered appetizers and then waited 45 minutes for them (after about 15 minutes the server said they would be right out). Then we waited a long time for main course. All in all it was a 2 1/2 hr meal. We might not have minded the wait but the food was not good. Sauce on my veal Picatta was pasty and served lukewarm. Crime brûlée with bananas and fruite compote had no discernible bananas and fruit compote was a strawberry in a dollop of whipped cream. Menu was disappointing-mostly standard Italian fare with little creativity. Providence has many better choices at the same price level.
February 14, 2015|nothing special|3|Ambiance was good, wait staff was excellent and that is about it. Hostess was MIA. The food was not good. The clams appetizer was flat, no taste at all. The cod and scallop entrees were mediocre. If you're a guest at the Omni and are too exhausted to go to one of the many great restaurants in Providence then settle in and eat at Centro. Beyond that, don't waste your money.
February 11, 2015|What happened?|2|I am giving this a two star rating only because I ate here over a year ago and had a very good experience. This time, however, they should get no more than 1 star. The waiter was extremely slow and I had to flag him down every time we wanted something. After half our table ordered veal, he came back 10 minutes later and said they were out. No big deal, that happens. As a result everyone at our table got chicken and EVERYONE of us thought the texture was way off. I honestly think they may have microwaved it! It was awful. We didn't have time to send it back because we were trying to get to a game. Furthermore, the waiter never even came by to ask how our meal was Unfortunately, I am not sure I will ever go back after such a bad experience. Too bad, because my first time there a couple of years ago it was very good.
January 28, 2015|Service and speed embarrassing, food average|2|I really wanted to like this place. It's location to the hotel and concert we were seeing was very appealing. The atmosphere is also great. However the service was terrible. We gave ourselves 2.5 hours for dinner before our show. And that was barely enough time to finish dinner. We waited about an hour for our entrees, and our waitress was rarely ever to be found. We had to threaten to leave before our food was finally brought out. The food wasn't bad. Nothing special. The staff could have at least got us a round of drinks or asked if we needed drinks during the long wait.
January 18, 2015|We stayed at the Omni and I got a fantas...|5|We stayed at the Omni and I got a fantastic birthday celebration dinner - took our time with some cocktails and shared appetizers and two delicious entrees and dessert. Service was on point and ambiance was romantic. Great spot!
January 17, 2015|Awful service, total dealbreaker|2|I came with a group of girls for a fun night out and we were all really excited to try a new place. The menu looked promising, the atmosphere was beautiful but it was a sore disappointment for all. The service was some of the worst I have ever personally experienced. We left feeling like we were a burden rather than having an enjoyable experience. It took almost 15 mins to get a glass of wine, the water and bread we requested never came and the bill took probably the most time to take care of with her. The food wasn't bad, but it wasn't anything to write home about either...and for the price, it wouldn't be a place I would come back to. It unfortunately just simply did not meet our expectations and next girls night we will be going elsewhere.
October 25, 2014|Won't go back|3|Nobody at door to greet us. Waited for table even though we had reservation. Waiter was distant and unfriendly. Too dark to read menu. No suggestions made. Didn't get our drinks until after appetizers. Nit a mention of friends birthday. A total fail.
