Review Title|Review Date|Review Score|Review Text
February 21, 2016|Spectacular Dining Experience 5 Stars!|5|Our server Cat was wonderful, she was very patient and gracious with us. Gave outstanding service. The menu was small but everything seemed super amazing, made it difficult to choose. The Flat Iron Steak was Delicious, the poached lobster was succulent, both a must! One of the guest at the table wasn't keen on entree of choice. Cat insisted on finding something that would make them happy. A new entree was sent out quickly, it was great how understanding and accommodating the restaurant was. I really enjoyed my time, the round booth was cozy and intimate. For dessert we got the creme brulee and the s'mores ice cream concoction. I will be coming back on my next visit to Rhode Island, thank you for making the evening memorable. Every bite was better than the next, a gem of a place.
February 19, 2016|Sam|5|Well thought out menu great value and look forward to going back
February 14, 2016|The food was really good and uniqueness ...|4|The food was really good and uniqueness desserts were the best part!
February 14, 2016|Sadly dissapointed|2|"Was really looking forward to trying out this local spot, featuring local ingredients. Unfortunately, not sure if they were caught off guard w/ Valentines Day brunch, but all was just ""ok"", which is not what I had hoped for. Service slow though personable (after they finally came over), and the food was fair at best. I take that back... the sticky bun was very good. I think the real kicker was my eggs benedict was sent out with massively overcooked bacon strips substituted, rather than the classic Canadian bacon (as obviously listed on the menu). If the server had apologized and stated that they had run out of the Canadian bacon (must have been the reason), I would have been ABSOLUTELY fine with it. But trying to sneak it under the radar... nope. Doesn't work. So... pretty sure I won't be returning, as just the sticky bun was good, but not good enough to warrant another try."
February 13, 2016|Terrific vibe|4|The restaurant has a great vibe and feeling for a date (I went there on Valentines Day with my wife of 35 years). We had a great time. My only complaint (and this was probably partly our fault for ordering it) was that the amount of food for a $65.00 meal for two left something to be desired. The steak though was delicious.
February 13, 2016|I had the best dessert in my entire life...|5|I had the best dessert in my entire life at 121! Always a great meal, and I always choose 121 to bring out of town guests.
February 13, 2016|Great Food. Amazing Service|5|Our dinner was amazing. The service was excellent and the food was beyond spectacular. I would definitely recommend this to anyone looking for a dinner for a special occasion or any other romantic dinner. The complimentary valet is also great so you aren't stuck looking for a parking spot
February 6, 2016|Loved the local sourcing. All the meals ...|5|Loved the local sourcing. All the meals were interesting and delicious.
February 6, 2016|Slow uninterested  server. Crazy loud bar.|2|The server was very slow and I'm interested in making a pleasurable evening for us. We had to move because the patrons next to us were so rowdy. It took forever to get our food it took forever to get our drinks. Food was on remarkable. More smiles were definitely needed from your help.
February 5, 2016|Fine downtown dining|5|Local 121 is a favored spot for us to have a pre-Trinity theater dinner. The menu and the bar menu are inventive, the food and drinks beautifully prepared and presented. The tables are large and well spaced, so we have never felt crowded in. The service is prompt, courteous, and unobtrusive. Not only would I, but I have recommended it to several friends. A+++
February 5, 2016|Delish|5|Local food, expert preparation, nice ambiance. Love the rabbit!
February 4, 2016|Better than ever|4|Local 121 was good when it opened although somewhat uneven. Then quality and consistency declined a bit. But now, it is better than ever -- up there with Providence’s best restaurants. I could order almost everything on the menu. Cost can be kept down with small plates. Cocktail list is creative. Desserts are terrific.
January 22, 2016|We love coming to Local 12|5|We love coming to Local 12
