Review Title|Review Date|Review Score|Review Text
February 28, 2016|Disappointing Overall Experience  Food to Service|1|I visited McCormick & Schmick's Seafood - Providence on Sunday 2/28/2016 to celebrate my husband's birthday. I saw that the restaurant had mixed reviews, but thought I would still give it a shot. I wished I hadn't. Online reviews where accurate. Our reservations were for 6:30p.m. Despite a fairly empty restaurant, the service was extremely slow (poor) with infrequent check-ins. The food quality wasn't what I expected at all. Very disappointing. I got the ultimate seafood grill. The seafood (scallops) didn't taste fresh and were dry and overcooked. The food was unappealing and it lacked presentation on the plate. The mash potatoes where cold. My husband got the stuff shrimp and filet. Filet was overcooked and had a strong charred taste to it. Definitely seems like it's a chain restaurant that doesn't take care in their preparation/presentation of the food. I regret celebrating his birthday there and wished I had picked a different restaurant. I won't frequent this or any other McCormick & Schmicks again.
February 28, 2016|Good Place, Poor Parking|4|The food is good, the service is good, the atmosphere is good. Parking is tricky.
February 26, 2016|Unfortunately, poor service. Average mea...|3|Unfortunately, poor service. Average meal
February 16, 2016|Review after 2 visits|4|I will probably go back because it is close to the hotel I stay at often, but the food is just average. My first time there, my food was brought out with my appetizer and it was cold by the time I started eating it. The second time I ordered scallops. The scallops were bitter and not any good.
February 15, 2016|Very good food!|5|We have eaten here several times and the food is always good. For a fabulous dessert, try the Chocolate Bag, but bring a couple of friends since you will need to share. We have had several tasty seafood entrees and they are made well with interesting side dishes. Staff are attentive but not intrusive. Valet parking is a plus in the city.
February 14, 2016|Do not recommend|1|Do not recommend
February 14, 2016|High priced for the level of service|3|The food is above average for what you'd expect from a hotel restaurant, but the level of service was did not match the price you pay for this food. I ordered the calamari for an appetizer. Something that has been previously done extremely well in Rhode Island, and wasn't disappointed, but I also wasn't blow away. The batter was just a little too heavy, and the overall flavor was typical for your standard Rhode Island calamari. For my meal I ordered the Ultimate Mixed Grill. I wasn't disappointed by the flavor. Everything tasted great. What I was disappointed by was the cook on the shrimp. The grilled shrimp was overcooked, and the baked stuffed shrimp was cold. The salmon and scallops were cooked perfectly and tasted great. My issues with the service provided was numerous. They made a first attempt to seat us in one direction only to find there was no table there that could seat 3. So on the second attempt we went in the other direction, and were sat right outside the kitchen. Not a huge deal, but the floors weren't very clean. There were used napkins and containers that had fallen off a shelf on the floor. I asked the waitress if I could get a side of the truffle chive mash. She asked me if I wanted a side or to sub out the mash that my entree came with. I looked to my wife to see if she would share the side with me. She agreed, and I told the waitress that I would take the extra side. When the food arrived the truffle chive mash was on my plate, and i never receive any additional side. The waitress would disappear at times. It took forever to get our bill. I could see frustration building at another table who had their coats on waiting for their bill as well. A manager never came around to see how things were going. To put plainly, for what you're paying, you'd expect a higher service standard.
February 14, 2016|Warm hearts, cold hands!|3|"Went for Valentines Day with my husband. Valet parking easy and cheap. We mentioned to the hostess that it was chilly when we entered the door. She stated ""the whole hotel is cold."" Understatement! We were then seated next to a window and asked to be moved. We were taken to another room and again sat next to a curtained window. I looked around, everyone in the restaurant was wearing their coats. Kindly, the server placed us at a different table. This did not help. Personal heaters under tables. I was really surprised they played off the lack of heat when we initially complained. The restaurant could not have been more than 50 degrees. We were freezing most of the meal, it was such a disappointment to shop, buy a wonderful dress that I kept covered the entire time in my drab coat. We joked that the table cloth would also be worn by the end of dinner. Our server was very nice, energetic and understanding. He recommended a bottle of wine, they were out of. We had been seated for 30 minutes before this came to our attention. The bread took longer than expected and was less than average. Just more a filler than anything. The calamari was average. Oysters were outstanding according to my husband. My Mahi Mahi was amazing and the Marlin was very good but not my favorite! For desert we ordered the ""chocolate bag"" it did not disappoint and was so delicious we saved some to take home for our girls to enjoy. Which they did the next day. I still am in disbelief how cold this restaurant was, I feel they were obligated to inform patrons of the total lack of heat. Especially since they called my phone 3 times to confirm the reservations. It would have been better to make an informed decision than getting stuck eating in a miserable environment. With all the patrons in their coats, everyone looked fit to enjoy an evening ice skating rather than enjoying a lovely meal. Took 30 minutes to get our car back at the end of night. I had high hopes for this place, big let down."
February 14, 2016|Cold and cold|1|Placed was terrible would never go back restaurant was cold and food was tasteless and overpriced
February 14, 2016|I ordered the mixed grill did not like i...|3|I ordered the mixed grill did not like it. It was extremely cold inside of the restaurant I asked the waiter he explained to me that the building was old and it takes a while for the heat to kick in. Last time I ate there I enjoyed it this time not so much
