Review Title|Review Date|Review Score|Review Text
ays ago|A Fantastic Evening!!! Highly recommend!|5|You all need to experience the wonderful service, unique ambiance, and deliciously satisfying food at Pot au Feu! My daughters and I celebrated my birthday. We were treated like VIPs from the moment we walked in the door until our fond farewell. Service was exactly what it should be--friendly, knowledgeable, efficient, and professional. We started with the escargot--so tender--perfect with the restaurant's warm freshly baked bread. The complimentary organic salads of baby greens were a prefect touch--with such yummy home made dressings. Go for the blue cheese! Our meals--steak frites, beef bourgignon, and half chicken-- were all perfectly prepared. Attractively plated, hot, and so delicious! Very generous portions had us all bringing home leftovers Dessert of creme brûlée and pot au chocolat were the perfect finish to a magical night. Both the owner and chef checked in with us during the evening. On every level the personal time and attention made our evening a delight! A night to remember! Highly recommend!
February 27, 2016|Service was unacceptable|1|We didn't get seated until almost half an hour past our reservation. An hour after we were seated, our entrees still hadn't come, and we had to leave. The appetizer was good.
February 27, 2016|Seating horrid - decline in food quality|2|"I have been to the restaurant on a few occasions. Prior experiences offered excellent food, service and ambiance. I made reservations over 2 weeks before 2/27/2016. Made 2 follow up calls to the restaurant verifying same due to my last 2 Open Table reservations were not on record when we arrived at 2 different restaurants. It was an Open Table issue that necessitated follow up calls. We had an early dinner time of 6:30. I dropped 2 women companions at the door then parked blocks away. When I arrived at the restaurant found our party had been seated at a table obviously there for the night - inches from service area entire wait staff trying to do their job while encumbered by a patron table in their way. I asked about relocating to a different table (7 were empty) was told ""they are reserved"". I responded as was ours weeks ago. This being a special event for one of my guests I did not escalate or make a fuss. If this were just a dinner out I would have left to seek other arrangements. The staff was overwhelmed with work ( staff worked very hard and were pleasant - simply not enough staff) , several menu items were 'out', noise level at our location prevented real conversation. My meal was awful, shrimp and scallop dish served cold with a runny sauce, vegetables were also cold and overcooked. My guests said there meals were fine (they were being polite). I will not return to this location and have retracted my positive reviews to family and friends. Shame the one true French bistro in the area has gone downhill."
February 26, 2016|Pot au feu and the Providence French Film Festival|5|"I was visiting Providence, as I do every year, for the Providence French Film festival. I was staying with a friend who has moved to Jamestown. He went to Brown, but he, his wife and his aunt had never been to the Pot au feu. It was a good thing that we did go there, because the experience at the Pot-au-feu was the bright spot of the evening. Even with the presence of Geraldine Pailhas, who acted in the film and whose daughter attends Brown, the film ""Le dos rouge"" was a disappointment. But not the restaurant. I think that we will remember the dinner we had here long after we have forgotten ""Le dos rouge"""
February 26, 2016|Food a disappointment.|4|Been enjoying the Pot au Feu since they first opened. Never had a bad meal or felt disappointed until our last visit. We both selected the Bouillabaisse and agreed it was the worst we have ever had anywhere. At $32 or $34 dollars it should have had some actual fresh shell fish and white fish in it. The cod had passed it prime, the scallops were tiny bay scallops that were tasteless and rubbery and the shell fish was a joke without going into anymore specifics. It was a huge disappointment and will make us think long and hard before going again. The bread, pate and salad all seemed to be less tasty than in all of the past visits. The room was not even half filled on a Friday night so we wonder what the future holds. Very sad to see this happen.
February 20, 2016|Birthday celebration|5|Food was good company was great,restaurant was lovely what more could we have asked for. There we're eight of us and plenty of room around the table. Service was great. Thanks for a great night!
February 20, 2016|Love this spot, owner so nice as well!|5|My wife and I visit for special occasions, typically our anniversary. The owners, host is so nice a true gentlemen. His staff is super nice and his chef skilled! The dinner spot is totally like in Paris as is the flair of the room. Parking easy, the walk nice and the vib perfect. Five stars!
February 14, 2016|Very poor service|2|Went on Valentine's Day and it looked like extra tables had been crammed into the space. Waited 45 minutes to be seated, then another 30 before anyone even stopped by the table. Service slow all night; very little checking in. Saw the bread girl more than our server. 3 hour meal. Food was rather bland compared to previous visits. A couple of unopened shells in the bouillabaisse.
February 13, 2016|Overpriced - Disappointing|2|Overcrowded seating. Waitress & staff kept bumping into us & our table. Cocktail made incorrectly had to be sent back. The salad was no better than what I could have gotten from a packaged bag from Stop & Shop. One meal overcooked, one meal under cooked. It may have been a little better if it wasn't the Saturday of Valentines & if we gotten seated near a wall instead of in the middle of the room. Our bad luck of the draw I guess. The overall experience left me feeling as though I would have been better off throwing my $140 out the window as I drove by. No Valet parking on a zero degree night should have been enough advanced warning that service wasn't a top priority of this establishment
January 30, 2016|Great expereince to return to Pot Au Feu|4|It has been a very long time since I was at this Pot au Feu and am so glad I rediscovered it. The food and atmosphere was great!
January 22, 2016|Great Feu!|4|Good food, but great desserts. Went for restaurant week so reservation was necessary. Main course was a bit cold but lobster bisque appetizer and crepes and chocolate mousse for desert were outstanding!
January 15, 2016|This is one of our favorite places in Pr...|5|This is one of our favorite places in Providence. We went for my wife's birthday dinner. The food was tremendous and the atmosphere was excellent. The owner stopped at every table and talked to every patron in the restaurant. You generally feel welcome. The server was knowledgeable about the menu and made perfect recommendations. This is far better than any of the expensive steakhouses in Providence. You can't beat it for a special night out.
January 15, 2016|Overall nice experience|4|Appetizers great. Escargot was amazing. Entrees were not on the same level as the appetizers. Ambiance and overall appearance added to experience. The food could be slightly improved to validate the prices. Friendly staff.
January 13, 2016|romantic french cafe|5|We've been coming here for birthday and anniversaries for almost 40 years. As good as ever! Beef bourguignon and creme brulee to die for!
January 8, 2016|The escargot was outstanding. The best w...|5|The escargot was outstanding. The best we've had since Paris. Food was authentic and so delicious. We met the owner and the chef; both were attentive and kind. Can't wait to go back.
