restaurant_id|name
W-RJfufcf-GtIPrdyrJ6pQ|roba!dolce
jfZXp0POls-M2cgSxsS8fw|Asian Bistro
KCVy3xDOhMZBCbbLRsXvVw|XO Steakhouse
AKfHinPZ5vdPdHRzpvSWtw|Sura
xsciMH9Wvl6o3sUdCsz8gw|Fellini Pizzeria
ILLYK1PwY2F5c__Dhycopw|The Capital Grille
rPT6ak3-KvOJTxnIzYNH0w|Kartabar
ooNlNmDvLdmPuR_b_b2Rww|Dok's Deli
P-2zSdHB1rudqS5oGNIlqg|East Side Pockets
TZqSbTyzsVVcHR9K2fUvcQ|Alibi Cafe
GLoChe_wCEtZU9Ky1QYVMQ|Adesso California Cafe
-1K9xLVS8HnG8n0g7Xq7mQ|Meeting Street Café
L_0dqYPcUK8LrCxbSmwxkA|Silver Star Bakery
KFfXz86HU9Svn3y_ngFnsQ|Mama Teresa of Providence
wfS1G5lrjx_SGWBuG2690g|Pot Au Feu
YEwDXqS6WaT37N3ZQIhbiw|Bagel Gourmet Cafe
VmWymzt1wSYtjpm6oDXFjA|Pakarang Exquisite Thai Cuisine
OeAOGUMAv7Yh0u9x79Jp9A|Starbucks Coffee
hs1bNW1pkKYGoXQ39P2Ffw|United BBQ
nqW0bWZresih2sqvOQ1diw|Taza Caffe
HCCoVdXfEViQ0V0WIeI_xA|Souper Bowls
N_7H_bcdjIPToXsfCTxglg|George's Deli
NiC9LXPp-OgQcrpqOyRu3Q|Kabob N Curry
uwi8IfY3AQO1iJ1I0B336g|Angkor Restaurant
uaPEPXxiEf8rNFbzFyy3Cw|Cilantro Mexican Grill
HPDZZjKAi4vmtLEvYmk2Hw|Cafe Zog
WNjgfcndwa3h4bc4hc-Y4Q|Cafe Francaise
2fTayx8rmxVAz23BSVH1aA|Rue-Bis
2wu_RvBn3QYANniI6oD4pA|Cafe Noir
SFeabOilq0-oEhI_BNj62A|Toledo Toledo Pizza In a Cone
RIzlH7t_wVhiTFklmYC1RA|New Rivers
YwHAVxQyHC3NekG8wUTtew|Blake's Tavern
5ZLz8TTa1AHQJ7ZBEMUBAw|Loui's Restaurant
xvb-6QQdvCePXl4GV56_Sw|Pinkberry Frozen Yogurt
zOtmzrVbiiUjsqrPBLPq2w|Coco Pazzo
OpI_3VA-qbYfyyS8_a-w6g|Nordstrom EBar
9H1o-FdVnFrwKDDqTB5oBA|Ugly American
jqV58g6tYX4Sx_BLx2ysMg|Reflections Cafe
87h9WI6h9cjNHxQd0FizBA|Rue De L'espoir
Y36qI_q817O0Wkm8QBIahg|Benders Caffe
DduaYOg-hYThz871mDoVHQ|Dark Lady
ASpO-JqCKBWNR08vhdbiTg|Pie in the Sky
e3OqPQ6ayfhIXI04FXy3Ig|Juniper Frozen Yogurt
SWwP5Na6Z_-rrrt7z0yVmQ|Pvd Pudding Pops
fUBqSWOI5EkyXboVvov4hA|Al Forno Restaurant
_RRfUE5mb3kuje0R8ASuJA|Starbucks Coffee
__rO-3gkVgaHRH158jA8OA|Providence Cookie Co
5q1rfOna_PlzdTI24MpqqQ|SideBar & Grill
B57ux1Vy2ahWbfmbVmmKSg|Plan Bean
ahAvfTdZnblSR6S4ZpXCtw|The Cheesecake Factory
ul09J6JglI0j-iRyYkO51g|The Point Tavern
NKVltLT41jYd8A1YPhkxnQ|Ben & Jerry's Ice Cream & Frozen Yogurt
mUMGNgo6x1Tlj75o-P3UHA|Napa Valley Grille
IL96KSxK3ov1m-1WQV8MLQ|Small Point Café
it9mZRfzo9DsFmddSESLbw|Sawaddee Thai Restaurant
YA1V1bpw0PPjAmztikduNA|Mike's Calzone
TSPQ-c1Sin-at6pUUMycfA|Corporate Cafe Inc the
nYFw5b30Td79jjm3cjABVw|Geoff's On Thayer
mdqwn32B4RVJI8_MQLXXHg|Froyoworld
A6dVeZf0ZKgOqKxB7y0F0w|Better Burger Company
8WGDqkmiwlq50SRIcB_X6w|McCurdy's Junction House
ezfOX2z0EOFH6UOQyrkRpA|Fleming's Prime Steakhouse & Wine Bar
wvzMYKKidWIWgPHFXeUW1g|Angkor Restaurant Express
AMcQOPu1hcSl7f6iguru3Q|Joe's American Bar & Grill
t2tHuFNhPhlknnML7kzLww|Geoff's Superlative Sandwiches
L3uemg97EJZ1SfjEE60Qvw|Poco Loco Taco Truck
_dyFKoP9aoYty0Ot_lW0AA|Fish Co Bar & Grill
BbkF6j51IbcX-ed1f-bnhA|The Duck and Bunny
8S7RKI8swuq8V-4ZN9cDvQ|Chipotle
L59t1jk6ONNKPLWG0nLN3w|Local 121
1M5pHJqGLL_-t74M37uQ0Q|Parkside Rotisserie & Bar
x05vLVOH2OQr-8ATmfItRg|McCormick & Schmick's
T1fAeUIvj8ZLIoDGFKpIsw|Chinese Iron Wok of Ri
JUC2w_byPiyEbXrufEik-w|Phonatic
zR6m1J5Y_3RndYcLIRROeg|Ten Prime Steak & Sushi
jFT6OdowrTlzt0VeJoStkg|Dunkin Donuts
lu1rX1xpg7hbcWPnfOWMMQ|Quickly
dQfvxeuNNqku7mozkk4Y3w|Haven Brothers
hh92MQDje3zsN1jXi6uRKQ|Cheeseboy: Grilled Cheese To Go
BxmSFfCPQN_bg24l44a56Q|The Dorrance
Dn-6ZmMqHW_ATU1I-nrNjw|Capriccio
V5DHGTNGGdyHawRWcaDfoA|Wings To Go
24CV8Si8DulpStT7s71Agw|Cafe Choklad
