id|name|review_count|useful|funny|cool
ssXwMsdDH77-GsFDlXo_FQ|Tina M.|2|4|2|3
XO1D-qihZwWmbci6nXbeeQ|Catherine F.|1|15|3|11
8uv8ZjJC1CzZPNj4LBFMVA|D. F.|1|42|4|8
HsIjCTEjKXvqerOuo_tYKw|Ellie S.|1|0|0|0
X0gzPtsvfp19XSFfC1NcpQ|Prnay C.|1|0|0|0
DRRFomzqrMvc887RXFARhQ|Leigh C.|1|28|4|10
fSFeumgZY0pFqeZ2A4uRfQ|Rogaa S.|1|6|1|1
JsQ6e1QEaD2jDmZcUj4fAQ|Tristan S.|3|15|7|9
V2UvWWhl2K5x1wdhBH5DwQ|Justin J.|1|0|0|0
2EAB3NufHCCu4-nB4xseYQ|La Louve N.|1|0|0|0
ed9eUaL7a0pWpbbpbgGosA|Greg N.|4|95|64|35
FXW16a1QddonpF-h3NtxPg|Christian S.|3|30|7|7
h8Eagh24Ys6wljL3iQQhVg|Will D.|3|21|3|11
86VQVloINJWeq3EsF1mIPg|John J.|2|13|0|2
adrDnFPsjdPy_JzGWAJHLA|Jade L.|2|0|1|0
FO0xWtb16t5Zi2JC_7WU4Q|George G.|1|0|0|0
NIzD4MuvzqPbUodpar08Vg|Sam B.|1|2|0|1
KI195SOK3XV2WI_OyuOHOg|Bryan C.|1|3|0|3
qsHzI829rRUhQ_pCyqgfpA|Ryan B.|1|78|59|33
kclidYtG1l1qpHpfIlrttQ|Casey B.|1|6|6|6
HfqryVciqknGA3J6cWBFGQ|Peter G.|3|18|16|15
r0zqyYdr8GBybgwys-WPHQ|Brandi M.|1|22|6|11
fudvE7DR8U2d9JJt9R216w|Sarah E.|3|123|32|67
dPgm8wLD5eezXpz8ZNz-4Q|K D.|1|21|5|12
xUcV0ksAXkk7uuIaIsZ3-A|Ana R.|4|210|44|70
ybIoXWnrkfC12PJKTs7pJA|Joanna K.|6|473|217|291
er9iW6a7CUHE5bLO4ye5Hw|Ed G.|4|27|4|14
dQ8pqNXhR-N6QFYSqACXdg|Jeff K.|1|3|0|1
BVS9dttQihhhUGPwX8N9vQ|Toni M.|5|66|6|23
x892A_jsMXLmTTwd_xhTWA|Steven L.|1|2|1|0
FRXWVQgJKSNnsjoOQd7d9g|Brian D.|1|11|1|6
xgO_3icJzM3-unfXrBB-Bg|Chris K.|1|28|9|12
x0ssJ-DivE8juk2jKRZ7_A|J Jason B.|1|110|101|49
TXJogJeII5zxklNgDh9u5Q|Tank B.|1|8|2|6
t9WWnHRQ-TvbiT7gqpTT_g|Jeff J.|1|2|3|0
7Jt1EbG3Vmrd9osByQSQpg|Kim K.|1|2|0|0
BeJeIEpaLR_amvSQVrk_dQ|Leesha Z.|6|61|18|25
smK233okr7aII6RNRgL4QA|Erin N.|4|148|51|60
4TCOItk-gIJROyNA5ftZ-Q|Alma C.|26|52|23|20
n-LldBEfaqqXfRHhKi-7lA|Briana B.|2|6|2|7
Rvn-Ymc8_9z4vbcm2ZwenQ|Ryna D.|6|364|47|278
6-AbQ3qrtJ2BR2WBG0IxpA|danielle l.|8|283|92|159
bFvv4qHsdwTg9Ur2zCztkw|Claudia L.|4|5|0|2
OYP5ji4eEemu-EOMebeQ2w|Mike H.|4|26|9|23
1QuwE2zdmu0VZbzHgQtKJQ|Bruce D.|2|17|3|8
IpyuGwBAe3xyE8rlfTpjEA|Trina K.|1|222|60|172
UPOd3X8RCbmpwCAi-hKkxQ|Loan L.|2|173|58|67
26Y-67KTR5pLdp7veHbIZw|Joseph D.|3|98|32|42
FY_t03co42yzE0tClBHVhg|Alfred A.|1|7|4|4
t_a-JCQSLAZFC73ZViTSqA|Jefferson L.|2|202|55|74
YF92e4kjHHiIZcjmKBVJbA|Annie J.|8|114|40|54
3HkA0metkd8BJ36ISwB6uQ|B M.|1|1|0|0
FlvxeXfNW8IHDYDIsHjSgg|David F.|2|268|125|111
gdhfAX56TwudohFbpX-xXw|Kimberly C.|1|0|0|0
w632gyGzUzqIhFhP3KFfFA|David C.|1|8|4|5
M__lfv-IoF5A73Bn8QlcVA|Tee B.|1|6|1|1
2e7SB35LXfoBKh54jYqZqA|Lorna O.|1|0|0|0
8uzcR0Xhon8e4cN5hdOQOg|Ian W.|1|3|0|1
W7u1VsDg-THWI2bUb1kD7A|Stace P.|1|0|0|0
rh1mNvqnze4zB9qmggtUIA|Nate G.|1|2|0|0
di2qq3I54ayhNnQVt6RFKA|Tyrone W.|2|48|14|23
HKXGPVGRFD-0Md1Mr8OIAw|Amanda P.|1|12|2|3
yXY9g_UXhtISvvib_d8Czg|Johny C.|1|57|48|50
bQt6kIy_PycMJWqZJDTefg|Zoey C.|3|27|8|9
hGeXKYWkqJgFC1u_Sh6kCg|Andy H.|5|4099|3042|3349
zhfWNCJDg7iPLdmn7sdG2w|Ifrad I.|1|13|0|6
