business_id,stars,takeout,drivethru,outdoorseating,caters,noise,delivery,attire,gf_dinner,reservations,classy,waiter,alcohol,Sandwiches,Bars,Chinese,Dessert,Italian,Cafes,Mediterranean,Japanese,French,Food Trucks,Non-American,American,Non-White,Asian,Latin American,Thai,Brunch,Pizza,Korean,European
usSROUMiAgPcxV3Ym0OxMQ,3.5,1,0,1,0,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
8Nm_jcCYtMXYW0ODSHDiXA,4.5,1,0,0,1,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,1,0,0,1,0,1,1,0,0,0,0,0,0
QVZBd_eu0oJ4IN0md2XPTQ,5.0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
2SwC8wqpZC4B9iFVTgYT9A,4.0,1,0,1,1,0,0,1,1,1,0,1,1,0,1,0,0,0,0,1,0,0,0,1,1,1,0,0,0,0,0,0,0
qUeBDN0D8SC93KeAHhiL-g,4.5,0,0,1,1,0,0,1,1,1,1,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
1vQLTKwmcmZXtNzfKEvMmA,3.0,1,0,0,1,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,1,0,0,1,0,1,1,0,0,0,0,0,0
jrSGpWnVJy8jqgN6XSC7Nw,4.0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
z4cCguoHdU48pj6sXMIzqg,2.5,1,0,1,0,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
sbTF0cLKZH6_BP8BLARVDg,2.5,0,0,1,0,1,0,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
90Fqfzd8zD9AuuNBSv9lAg,4.0,1,0,0,1,0,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
